# dramratebench arch=blackhole magic=0x44524231 grid=12x10 clock_mhz=1350 banks=8
# bytes_per_reader=1048576 tx_bytes=4096 num_tx=256 repeats=3 samecore=absent-on-this-part
# agg_bytes_per_cycle = num_readers * bytes_per_reader / max(t1-t0); each
# reader differences its OWN clock, so a per-core clock epoch cancels
arm,repeat,point,num_readers,num_tx,tx_bytes,bytes_per_reader,total_bytes,max_cycles,min_cycles,agg_bytes_per_cycle,agg_gb_per_s,per_reader_bytes_per_cycle,distinct_banks,distinct_dram_cores,tags_ok,max_barrier_spins,measured_readers
onechan,0,0,1,256,4096,1048576,1048576,22666,22666,46.2621,62.454,46.2621,1,1,1,0,1
fanchan,0,1,1,256,4096,1048576,1048576,22646,22646,46.3029,62.509,46.3029,1,1,1,0,1
onechan,0,2,2,256,4096,1048576,2097152,51204,51168,40.9568,55.292,20.4784,1,1,2,29982,2
fanchan,0,3,2,256,4096,1048576,2097152,22644,22517,92.6140,125.029,46.3070,2,2,2,29899,2
onechan,0,4,4,256,4096,1048576,4194304,96906,67835,43.2822,58.431,10.8205,1,1,4,56217,4
fanchan,0,5,4,256,4096,1048576,4194304,28482,22657,147.2616,198.803,36.8154,4,4,4,56702,4
onechan,0,6,8,256,4096,1048576,8388608,183950,61876,45.6027,61.564,5.7003,1,1,8,77479,8
fanchan,0,7,8,256,4096,1048576,8388608,44567,22625,188.2247,254.103,23.5281,8,8,8,77139,8
onechan,0,8,12,256,4096,1048576,12582912,272341,59475,46.2028,62.374,3.8502,1,1,12,85848,12
fanchan,0,9,12,256,4096,1048576,12582912,72490,24322,173.5813,234.335,14.4651,8,8,12,85846,12
onechan,0,10,16,256,4096,1048576,16777216,360998,107039,46.4745,62.741,2.9047,1,1,16,90839,16
fanchan,0,11,16,256,4096,1048576,16777216,79262,23750,211.6678,285.752,13.2292,8,8,16,91458,16
onechan,0,12,24,256,4096,1048576,25165824,535262,103487,47.0159,63.471,1.9590,1,1,24,95781,24
fanchan,0,13,24,256,4096,1048576,25165824,124312,35332,202.4408,273.295,8.4350,8,8,24,95595,24
onechan,0,14,32,256,4096,1048576,33554432,711055,111795,47.1896,63.706,1.4747,1,1,32,98666,32
fanchan,0,15,32,256,4096,1048576,33554432,141840,35474,236.5654,319.363,7.3927,8,8,32,98613,32
onechan,0,16,48,256,4096,1048576,50331648,1068860,102827,47.0891,63.570,0.9810,1,1,48,100950,48
fanchan,0,17,48,256,4096,1048576,50331648,256850,65774,195.9574,264.542,4.0824,8,8,48,105472,48
onechan,0,18,120,256,4096,1048576,125829120,2667613,92939,47.1692,63.678,0.3931,1,1,120,104327,120
fanchan,0,19,120,256,4096,1048576,125829120,560693,60074,224.4171,302.963,1.8701,8,8,120,104547,120
onechan,1,0,1,256,4096,1048576,1048576,22641,22641,46.3131,62.523,46.3131,1,1,1,0,1
fanchan,1,1,1,256,4096,1048576,1048576,22640,22640,46.3152,62.526,46.3152,1,1,1,0,1
onechan,1,2,2,256,4096,1048576,2097152,45517,45360,46.0740,62.200,23.0370,1,1,2,29559,2
fanchan,1,3,2,256,4096,1048576,2097152,22618,22516,92.7205,125.173,46.3602,2,2,2,29419,2
onechan,1,4,4,256,4096,1048576,4194304,91137,64090,46.0220,62.130,11.5055,1,1,4,57316,4
fanchan,1,5,4,256,4096,1048576,4194304,28129,22627,149.1096,201.298,37.2774,4,4,4,56017,4
onechan,1,6,8,256,4096,1048576,8388608,181638,62484,46.1831,62.347,5.7729,1,1,8,76662,8
fanchan,1,7,8,256,4096,1048576,8388608,44364,22644,189.0859,255.266,23.6357,8,8,8,76845,8
onechan,1,8,12,256,4096,1048576,12582912,272357,59476,46.2001,62.370,3.8500,1,1,12,85264,12
fanchan,1,9,12,256,4096,1048576,12582912,73715,24165,170.6968,230.441,14.2247,8,8,12,85305,12
onechan,1,10,16,256,4096,1048576,16777216,363706,107557,46.1285,62.273,2.8830,1,1,16,90648,16
fanchan,1,11,16,256,4096,1048576,16777216,78926,24244,212.5689,286.968,13.2856,8,8,16,90442,16
onechan,1,12,24,256,4096,1048576,25165824,535876,103539,46.9620,63.399,1.9568,1,1,24,95332,24
fanchan,1,13,24,256,4096,1048576,25165824,123084,34779,204.4606,276.022,8.5192,8,8,24,95288,24
onechan,1,14,32,256,4096,1048576,33554432,712858,112643,47.0703,63.545,1.4709,1,1,32,98028,32
fanchan,1,15,32,256,4096,1048576,33554432,141502,34834,237.1304,320.126,7.4103,8,8,32,97287,32
onechan,1,16,48,256,4096,1048576,50331648,1068908,101840,47.0870,63.567,0.9810,1,1,48,98443,48
fanchan,1,17,48,256,4096,1048576,50331648,260932,64997,192.8918,260.404,4.0186,8,8,48,96837,48
onechan,1,18,120,256,4096,1048576,125829120,2668855,93518,47.1472,63.649,0.3929,1,1,120,98061,120
fanchan,1,19,120,256,4096,1048576,125829120,538479,51784,233.6751,315.461,1.9473,8,8,120,92153,120
onechan,2,0,1,256,4096,1048576,1048576,22641,22641,46.3131,62.523,46.3131,1,1,1,0,1
fanchan,2,1,1,256,4096,1048576,1048576,22625,22625,46.3459,62.567,46.3459,1,1,1,0,1
onechan,2,2,2,256,4096,1048576,2097152,51196,51161,40.9632,55.300,20.4816,1,1,2,24932,2
fanchan,2,3,2,256,4096,1048576,2097152,22650,22515,92.5895,124.996,46.2947,2,2,2,25018,2
onechan,2,4,4,256,4096,1048576,4194304,92382,65144,45.4017,61.292,11.3504,1,1,4,47482,4
fanchan,2,5,4,256,4096,1048576,4194304,28203,22708,148.7184,200.770,37.1796,4,4,4,47404,4
onechan,2,6,8,256,4096,1048576,8388608,182846,62893,45.8780,61.935,5.7347,1,1,8,64676,8
fanchan,2,7,8,256,4096,1048576,8388608,44405,22639,188.9113,255.030,23.6139,8,8,8,64518,8
onechan,2,8,12,256,4096,1048576,12582912,276685,60356,45.4774,61.394,3.7898,1,1,12,71078,12
fanchan,2,9,12,256,4096,1048576,12582912,73500,24491,171.1961,231.115,14.2663,8,8,12,71015,12
onechan,2,10,16,256,4096,1048576,16777216,359101,106501,46.7200,63.072,2.9200,1,1,16,74680,16
fanchan,2,11,16,256,4096,1048576,16777216,79430,23941,211.2201,285.147,13.2013,8,8,16,73997,16
onechan,2,12,24,256,4096,1048576,25165824,536676,103355,46.8920,63.304,1.9538,1,1,24,77911,24
fanchan,2,13,24,256,4096,1048576,25165824,123782,34715,203.3076,274.465,8.4712,8,8,24,77191,24
onechan,2,14,32,256,4096,1048576,33554432,712336,111445,47.1048,63.591,1.4720,1,1,32,78652,32
fanchan,2,15,32,256,4096,1048576,33554432,141102,35018,237.8027,321.034,7.4313,8,8,32,77838,32
onechan,2,16,48,256,4096,1048576,50331648,1068063,101064,47.1242,63.618,0.9818,1,1,48,79132,48
fanchan,2,17,48,256,4096,1048576,50331648,260411,65799,193.2777,260.925,4.0266,8,8,48,78397,48
onechan,2,18,120,256,4096,1048576,125829120,2670072,92733,47.1257,63.620,0.3927,1,1,120,81351,120
fanchan,2,19,120,256,4096,1048576,125829120,548784,66425,229.2872,309.538,1.9107,8,8,120,82195,120
