2026-08-12 21:57:35.190 | info     |          Device | Opening user mode device driver (tt_cluster.cpp:228)
2026-08-12 21:57:35.190 | info     |             UMD | Cluster constructor started. (cluster.cpp:348)
2026-08-12 21:57:35.191 | info     |             UMD | Creating TopologyDiscovery for architecture: blackhole (topology_discovery.cpp:95)
2026-08-12 21:57:35.191 | info     |             UMD | Starting topology discovery. (topology_discovery.cpp:114)
2026-08-12 21:57:35.202 | info     |             UMD | Established firmware bundle version: 19.6.0 (topology_discovery.cpp:574)
2026-08-12 21:57:35.202 | info     |             UMD | Completed topology discovery. (topology_discovery.cpp:118)
2026-08-12 21:57:35.350 | info     |             UMD | Opening local chip ids/PCIe ids: {0, 1}/[0, 1] and remote chip ids {} (cluster.cpp:168)
2026-08-12 21:57:35.350 | info     |             UMD | IOMMU: disabled (cluster.cpp:142)
2026-08-12 21:57:35.350 | info     |             UMD | KMD version: 2.10.0 (cluster.cpp:145)
2026-08-12 21:57:35.350 | info     |             UMD | Cluster constructor completed. (cluster.cpp:520)
2026-08-12 21:57:35.355 | info     |             UMD | Starting devices in cluster (cluster.cpp:1024)
2026-08-12 21:57:35.485 | info     |             UMD | Starting devices in cluster completed. (cluster.cpp:1032)
2026-08-12 21:57:36.431 | info     |     Distributed | Using auto discovery to generate mesh graph. (metal_env.cpp:408)
2026-08-12 21:57:36.431 | info     |     Distributed | Constructing control plane using auto-discovery (no mesh graph descriptor). (metal_env.cpp:470)
2026-08-12 21:57:36.431 | warning  |          Always | Unknown motherboard 'ProLiant DL385 Gen10 Plus' for chip_id=0 (bus_id=0x27) — falling back to bus_id as tray_id. Add this motherboard and its bus IDs to mobo_to_bus_ids in physical_system_discovery.cpp. (physical_system_discovery.cpp:89)
2026-08-12 21:57:36.431 | warning  |          Always | Unknown motherboard 'ProLiant DL385 Gen10 Plus' for chip_id=1 (bus_id=0x83) — falling back to bus_id as tray_id. Add this motherboard and its bus IDs to mobo_to_bus_ids in physical_system_discovery.cpp. (physical_system_discovery.cpp:89)
2026-08-12 21:57:36.432 | warning  |          Fabric | TopologyMapper auto-discovery: Downgrading to mesh shape 1x1 (1 total nodes) for 2 physical chips. Some physical chips may not be used. This may indicate connectivity issues, topology mismatches, or insufficient fabric links between chips. Verify your physical chip connectivity and ensure that the fabric links are correctly configured. (topology_mapper.cpp:1696)
2026-08-12 21:57:36.433 | info     |          Fabric | Logical multi-mesh adjacency: intermesh degree histogram {0:1}; intra-mesh degree histograms mesh0 {0:1} (topology_mapper_utils.cpp:2342)
2026-08-12 21:57:36.433 | info     |          Fabric | Physical multi-mesh adjacency: intermesh degree histogram {0:1}; intra-mesh degree histograms mesh0 {0:2} (topology_mapper_utils.cpp:2350)
2026-08-12 21:57:36.454 | info     |    BuildKernels | Using pre-compiled firmware from: /home/nx09/nx09/nebriscv/tt-metal-0.74/tt-metal/tt_metal/pre-compiled/13617218422840890655/ (build_env_manager.cpp:347)
2026-08-12 21:57:36.454 | info     |    BuildKernels | Using pre-compiled firmware from: /home/nx09/nx09/nebriscv/tt-metal-0.74/tt-metal/tt_metal/pre-compiled/13617218422840890655/ (build_env_manager.cpp:347)
2026-08-12 21:57:36.483 | warning  |           Metal | Opening subset of mmio devices slows down UMD read/write to remote chips. If opening more devices, consider using CreateDevices API. (device_manager.cpp:261)
phase A [t1]: done (1 issuing thread), 80 rows written to /home/nx09/nx09/nebriscv/tt_traces/dvalid/3-dirty-once.csv
phase A [t2]: done (2 issuing threads), 240 rows written to /home/nx09/nx09/nebriscv/tt_traces/dvalid/3-dirty-once.csv
phase A [t3]: done (3 issuing threads), 480 rows written to /home/nx09/nx09/nebriscv/tt_traces/dvalid/3-dirty-once.csv
phase B [LoFi]: done, 488 rows written to /home/nx09/nx09/nebriscv/tt_traces/dvalid/3-dirty-once.csv
phase B [HiFi2]: done, 496 rows written to /home/nx09/nx09/nebriscv/tt_traces/dvalid/3-dirty-once.csv
phase B [HiFi4]: done, 504 rows written to /home/nx09/nx09/nebriscv/tt_traces/dvalid/3-dirty-once.csv

==============================================================================
tensixbench summary [blackhole] -- slopes only, no absolute measurement is a cost
==============================================================================
dvalid setup: once -- one SETDVALID for the tile (X1, de-confounded)

probe          variant unit      thr     cyc/block  cyc/instr      R^2
loop_overhead  t1      -         1            2.00      0.000   1.0000
NOP            t1      NONE      1           65.85      0.998   1.0000
DMANOP         t1      TDMA      1           65.86      0.998   1.0000
SFPNOP         t1      SFPU      1           65.86      0.998   1.0000
SFPMOV         t1      SFPU      1           65.87      0.998   1.0000
SFPADD         t1      SFPU      1           65.86      0.998   1.0000
SFPMUL         t1      SFPU      1           65.87      0.998   1.0000
SFPMAD         t1      SFPU      1           65.86      0.998   1.0000
SFPABS         t1      SFPU      1           65.87      0.998   1.0000
SETDMAREG      t1      THCON     1           65.86      0.998   1.0000
ADDDMAREG      t1      THCON     1          192.23      2.972   1.0000
MULDMAREG      t1      THCON     1          192.20      2.972   1.0000
SHIFTDMAREG    t1      THCON     1          192.23      2.972   1.0000
CMPDMAREG      t1      THCON     1          192.20      2.972   1.0000
RDCFG          t1      CFG       1           65.86      0.998   1.0000
SETRWC         t1      MATH      1           65.86      0.998   1.0000
INCRWC         t1      MATH      1           65.87      0.998   1.0000
MVMUL          t1      MATH      1           65.85      0.998   1.0000
ELWADD         t1      MATH      1           65.85      0.998   1.0000
ELWMUL         t1      MATH      1           65.86      0.998   1.0000
loop_overhead  t2      -         0            2.00      0.000   1.0000
NOP            t2      NONE      0           65.83      0.997   1.0000
DMANOP         t2      TDMA      0          127.98      1.968   1.0000
SFPNOP         t2      SFPU      0          127.91      1.967   1.0000
SFPMOV         t2      SFPU      0          127.95      1.968   1.0000
SFPADD         t2      SFPU      0          127.85      1.966   1.0000
SFPMUL         t2      SFPU      0          127.77      1.965   1.0000
SFPMAD         t2      SFPU      0          127.93      1.968   1.0000
SFPABS         t2      SFPU      0          127.94      1.968   1.0000
SETDMAREG      t2      THCON     0          127.88      1.967   1.0000
ADDDMAREG      t2      THCON     0          384.85      5.982   1.0000
MULDMAREG      t2      THCON     0          384.09      5.970   1.0000
SHIFTDMAREG    t2      THCON     0          384.05      5.969   1.0000
CMPDMAREG      t2      THCON     0          384.07      5.970   1.0000
RDCFG          t2      CFG       0          127.67      1.964   1.0000
SETRWC         t2      MATH      0          127.99      1.969   1.0000
INCRWC         t2      MATH      0          127.95      1.968   1.0000
MVMUL          t2      MATH      0          391.10      6.080   1.0000
ELWADD         t2      MATH      0          390.28      6.067   1.0000
ELWMUL         t2      MATH      0          390.21      6.066   1.0000
loop_overhead  t2      -         1            2.00      0.000   1.0000
NOP            t2      NONE      1           65.87      0.998   1.0000
DMANOP         t2      TDMA      1          127.97      1.968   1.0000
SFPNOP         t2      SFPU      1          128.08      1.970   1.0000
SFPMOV         t2      SFPU      1          128.01      1.969   1.0000
SFPADD         t2      SFPU      1          128.06      1.970   1.0000
SFPMUL         t2      SFPU      1          128.00      1.969   1.0000
SFPMAD         t2      SFPU      1          128.00      1.969   1.0000
SFPABS         t2      SFPU      1          128.00      1.969   1.0000
SETDMAREG      t2      THCON     1          128.00      1.969   1.0000
ADDDMAREG      t2      THCON     1          385.00      5.984   1.0000
MULDMAREG      t2      THCON     1          384.16      5.971   1.0000
SHIFTDMAREG    t2      THCON     1          384.24      5.973   1.0000
CMPDMAREG      t2      THCON     1          384.25      5.973   1.0000
RDCFG          t2      CFG       1          127.59      1.962   1.0000
SETRWC         t2      MATH      1          128.00      1.969   1.0000
INCRWC         t2      MATH      1          128.00      1.969   1.0000
MVMUL          t2      MATH      1          390.86      6.076   1.0000
ELWADD         t2      MATH      1          390.18      6.065   1.0000
ELWMUL         t2      MATH      1          390.15      6.065   1.0000
loop_overhead  t3      -         0            2.00      0.000   1.0000
NOP            t3      NONE      0           65.86      0.998   1.0000
DMANOP         t3      TDMA      0          192.44      2.976   1.0000
SFPNOP         t3      SFPU      0          192.26      2.973   1.0000
SFPMOV         t3      SFPU      0          192.09      2.970   1.0000
SFPADD         t3      SFPU      0          192.11      2.970   1.0000
SFPMUL         t3      SFPU      0          192.12      2.971   1.0000
SFPMAD         t3      SFPU      0          192.12      2.971   1.0000
SFPABS         t3      SFPU      0          192.20      2.972   1.0000
SETDMAREG      t3      THCON     0          192.19      2.972   1.0000
ADDDMAREG      t3      THCON     0          577.89      8.998   1.0000
MULDMAREG      t3      THCON     0          576.15      8.971   1.0000
SHIFTDMAREG    t3      THCON     0          576.16      8.971   1.0000
CMPDMAREG      t3      THCON     0          576.15      8.971   1.0000
RDCFG          t3      CFG       0          190.82      2.950   1.0000
SETRWC         t3      MATH      0          192.19      2.972   1.0000
INCRWC         t3      MATH      0          192.20      2.972   1.0000
MVMUL          t3      MATH      0          776.53     12.102   1.0000
ELWADD         t3      MATH      0          774.04     12.063   1.0000
ELWMUL         t3      MATH      0          774.02     12.063   1.0000
loop_overhead  t3      -         1            2.00      0.000   1.0000
NOP            t3      NONE      1           65.87      0.998   1.0000
DMANOP         t3      TDMA      1          191.99      2.969   1.0000
SFPNOP         t3      SFPU      1          192.00      2.969   1.0000
SFPMOV         t3      SFPU      1          192.00      2.969   1.0000
SFPADD         t3      SFPU      1          192.00      2.969   1.0000
SFPMUL         t3      SFPU      1          192.15      2.971   1.0000
SFPMAD         t3      SFPU      1          192.11      2.971   1.0000
SFPABS         t3      SFPU      1          192.15      2.971   1.0000
SETDMAREG      t3      THCON     1          192.10      2.970   1.0000
ADDDMAREG      t3      THCON     1          577.94      8.999   1.0000
MULDMAREG      t3      THCON     1          576.07      8.970   1.0000
SHIFTDMAREG    t3      THCON     1          576.00      8.969   1.0000
CMPDMAREG      t3      THCON     1          576.15      8.971   1.0000
RDCFG          t3      CFG       1          190.42      2.944   0.9999
SETRWC         t3      MATH      1          192.28      2.973   1.0000
INCRWC         t3      MATH      1          192.24      2.973   1.0000
MVMUL          t3      MATH      1          776.47     12.101   1.0000
ELWADD         t3      MATH      1          774.03     12.063   1.0000
ELWMUL         t3      MATH      1          774.00     12.063   1.0000
loop_overhead  t3      -         2            2.00      0.000   1.0000
NOP            t3      NONE      2           65.86      0.998   1.0000
DMANOP         t3      TDMA      2          192.03      2.969   1.0000
SFPNOP         t3      SFPU      2          192.02      2.969   1.0000
SFPMOV         t3      SFPU      2          192.01      2.969   1.0000
SFPADD         t3      SFPU      2          191.99      2.969   1.0000
SFPMUL         t3      SFPU      2          192.05      2.970   1.0000
SFPMAD         t3      SFPU      2          191.97      2.968   1.0000
SFPABS         t3      SFPU      2          192.09      2.970   1.0000
SETDMAREG      t3      THCON     2          192.05      2.969   1.0000
ADDDMAREG      t3      THCON     2          577.95      8.999   1.0000
MULDMAREG      t3      THCON     2          576.28      8.973   1.0000
SHIFTDMAREG    t3      THCON     2          576.24      8.973   1.0000
CMPDMAREG      t3      THCON     2          576.37      8.975   1.0000
RDCFG          t3      CFG       2          190.62      2.947   1.0000
