# tensixbench raw points -- see docs/plans/tensix-cost-benchmark.md
# arch=blackhole magic=0x7B10CE05 unroll=64 probe_mask=0x30000001 dvalid_setup=once src_format=undefined src_style=undefined mm_block=8 variants=t1,t3 fidelities=LoFi,HiFi2,HiFi4
phase,variant,probe_id,probe,unit,active_threads,thread,n,unroll,cycles
A,t1,0,loop_overhead,-,1,1,32,64,76
A,t1,0,loop_overhead,-,1,1,64,64,140
A,t1,0,loop_overhead,-,1,1,96,64,204
A,t1,0,loop_overhead,-,1,1,128,64,268
A,t1,28,C12_XTHREAD,CFG-C12,1,1,32,64,6113
A,t1,28,C12_XTHREAD,CFG-C12,1,1,64,64,12254
A,t1,28,C12_XTHREAD,CFG-C12,1,1,96,64,18398
A,t1,28,C12_XTHREAD,CFG-C12,1,1,128,64,24542
A,t1,29,C12_XTHREAD_NULL,CFG-C12,1,1,32,64,4195
A,t1,29,C12_XTHREAD_NULL,CFG-C12,1,1,64,64,8331
A,t1,29,C12_XTHREAD_NULL,CFG-C12,1,1,96,64,12491
A,t1,29,C12_XTHREAD_NULL,CFG-C12,1,1,128,64,16651
A,t3,0,loop_overhead,-,3,0,32,64,76
A,t3,0,loop_overhead,-,3,0,64,64,140
A,t3,0,loop_overhead,-,3,0,96,64,204
A,t3,0,loop_overhead,-,3,0,128,64,268
A,t3,28,C12_XTHREAD,CFG-C12,3,0,32,64,4198
A,t3,28,C12_XTHREAD,CFG-C12,3,0,64,64,8331
A,t3,28,C12_XTHREAD,CFG-C12,3,0,96,64,12491
A,t3,28,C12_XTHREAD,CFG-C12,3,0,128,64,16651
A,t3,29,C12_XTHREAD_NULL,CFG-C12,3,0,32,64,4200
A,t3,29,C12_XTHREAD_NULL,CFG-C12,3,0,64,64,8331
A,t3,29,C12_XTHREAD_NULL,CFG-C12,3,0,96,64,12491
A,t3,29,C12_XTHREAD_NULL,CFG-C12,3,0,128,64,16651
A,t3,0,loop_overhead,-,3,1,32,64,76
A,t3,0,loop_overhead,-,3,1,64,64,140
A,t3,0,loop_overhead,-,3,1,96,64,204
A,t3,0,loop_overhead,-,3,1,128,64,268
A,t3,28,C12_XTHREAD,CFG-C12,3,1,32,64,10034
A,t3,28,C12_XTHREAD,CFG-C12,3,1,64,64,20369
A,t3,28,C12_XTHREAD,CFG-C12,3,1,96,64,30581
A,t3,28,C12_XTHREAD,CFG-C12,3,1,128,64,40400
A,t3,29,C12_XTHREAD_NULL,CFG-C12,3,1,32,64,4192
A,t3,29,C12_XTHREAD_NULL,CFG-C12,3,1,64,64,8331
A,t3,29,C12_XTHREAD_NULL,CFG-C12,3,1,96,64,12491
A,t3,29,C12_XTHREAD_NULL,CFG-C12,3,1,128,64,16651
A,t3,0,loop_overhead,-,3,2,32,64,76
A,t3,0,loop_overhead,-,3,2,64,64,140
A,t3,0,loop_overhead,-,3,2,96,64,204
A,t3,0,loop_overhead,-,3,2,128,64,268
A,t3,28,C12_XTHREAD,CFG-C12,3,2,32,64,4194
A,t3,28,C12_XTHREAD,CFG-C12,3,2,64,64,8331
A,t3,28,C12_XTHREAD,CFG-C12,3,2,96,64,12491
A,t3,28,C12_XTHREAD,CFG-C12,3,2,128,64,16651
A,t3,29,C12_XTHREAD_NULL,CFG-C12,3,2,32,64,4193
A,t3,29,C12_XTHREAD_NULL,CFG-C12,3,2,64,64,8331
A,t3,29,C12_XTHREAD_NULL,CFG-C12,3,2,96,64,12491
A,t3,29,C12_XTHREAD_NULL,CFG-C12,3,2,128,64,16651
