# tensixbench raw points -- see docs/plans/tensix-cost-benchmark.md
# arch=blackhole magic=0x7B10CE05 unroll=64 probe_mask=0x3FF04601 dvalid_setup=once src_format=undefined src_style=undefined mm_block=8 variants=t1 fidelities=LoFi,HiFi2,HiFi4
phase,variant,probe_id,probe,unit,active_threads,thread,n,unroll,cycles
A,t1,0,loop_overhead,-,1,1,32,64,76
A,t1,0,loop_overhead,-,1,1,64,64,140
A,t1,0,loop_overhead,-,1,1,96,64,204
A,t1,0,loop_overhead,-,1,1,128,64,268
A,t1,9,SETDMAREG,THCON,1,1,32,64,2138
A,t1,9,SETDMAREG,THCON,1,1,64,64,4235
A,t1,9,SETDMAREG,THCON,1,1,96,64,6347
A,t1,9,SETDMAREG,THCON,1,1,128,64,8459
A,t1,10,ADDDMAREG,THCON,1,1,32,64,6058
A,t1,10,ADDDMAREG,THCON,1,1,64,64,12221
A,t1,10,ADDDMAREG,THCON,1,1,96,64,18369
A,t1,10,ADDDMAREG,THCON,1,1,128,64,24513
A,t1,14,RDCFG,CFG,1,1,32,64,2137
A,t1,14,RDCFG,CFG,1,1,64,64,4235
A,t1,14,RDCFG,CFG,1,1,96,64,6347
A,t1,14,RDCFG,CFG,1,1,128,64,8459
A,t1,20,RDCFG_STALL,CFG-LAT,1,1,32,64,6115
A,t1,20,RDCFG_STALL,CFG-LAT,1,1,64,64,12254
A,t1,20,RDCFG_STALL,CFG-LAT,1,1,96,64,18398
A,t1,20,RDCFG_STALL,CFG-LAT,1,1,128,64,24542
A,t1,21,SETDMA_STALL,THCON-LAT,1,1,32,64,6116
A,t1,21,SETDMA_STALL,THCON-LAT,1,1,64,64,12254
A,t1,21,SETDMA_STALL,THCON-LAT,1,1,96,64,18398
A,t1,21,SETDMA_STALL,THCON-LAT,1,1,128,64,24542
A,t1,22,RDCFG_CFGSTALL,CFG-LAT,1,1,32,64,6115
A,t1,22,RDCFG_CFGSTALL,CFG-LAT,1,1,64,64,12254
A,t1,22,RDCFG_CFGSTALL,CFG-LAT,1,1,96,64,18398
A,t1,22,RDCFG_CFGSTALL,CFG-LAT,1,1,128,64,24542
A,t1,23,RMWCIB_CFGSTALL,CFG-LAT,1,1,32,64,6116
A,t1,23,RMWCIB_CFGSTALL,CFG-LAT,1,1,64,64,12254
A,t1,23,RMWCIB_CFGSTALL,CFG-LAT,1,1,96,64,18398
A,t1,23,RMWCIB_CFGSTALL,CFG-LAT,1,1,128,64,24542
A,t1,24,SETDMA_CFGSTALL,THCON-LAT,1,1,32,64,6115
A,t1,24,SETDMA_CFGSTALL,THCON-LAT,1,1,64,64,12254
A,t1,24,SETDMA_CFGSTALL,THCON-LAT,1,1,96,64,18398
A,t1,24,SETDMA_CFGSTALL,THCON-LAT,1,1,128,64,24542
A,t1,25,RMWCIB0,CFG,1,1,32,64,2138
A,t1,25,RMWCIB0,CFG,1,1,64,64,4235
A,t1,25,RMWCIB0,CFG,1,1,96,64,6347
A,t1,25,RMWCIB0,CFG,1,1,128,64,8459
A,t1,26,RDCFG_DEP,CFG-DEP,1,1,32,64,6113
A,t1,26,RDCFG_DEP,CFG-DEP,1,1,64,64,12253
A,t1,26,RDCFG_DEP,CFG-DEP,1,1,96,64,18397
A,t1,26,RDCFG_DEP,CFG-DEP,1,1,128,64,24541
A,t1,27,RDCFG_INDEP,CFG-DEP,1,1,32,64,6114
A,t1,27,RDCFG_INDEP,CFG-DEP,1,1,64,64,12253
A,t1,27,RDCFG_INDEP,CFG-DEP,1,1,96,64,18397
A,t1,27,RDCFG_INDEP,CFG-DEP,1,1,128,64,24541
A,t1,28,C12_XTHREAD,CFG-C12,1,1,32,64,6113
A,t1,28,C12_XTHREAD,CFG-C12,1,1,64,64,12254
A,t1,28,C12_XTHREAD,CFG-C12,1,1,96,64,18398
A,t1,28,C12_XTHREAD,CFG-C12,1,1,128,64,24542
A,t1,29,C12_XTHREAD_NULL,CFG-C12,1,1,32,64,4195
A,t1,29,C12_XTHREAD_NULL,CFG-C12,1,1,64,64,8331
A,t1,29,C12_XTHREAD_NULL,CFG-C12,1,1,96,64,12491
A,t1,29,C12_XTHREAD_NULL,CFG-C12,1,1,128,64,16651
