label,arm,inner,launches,wall_s,launches_per_s
idle-0,idle,0,34036,48.001242,709.065
rv-200000,rv,200000,19588,48.002432,408.063
noc-4096,noc,4096,16362,48.000633,340.871
mm-4096,mm,4096,29599,48.000049,616.645
sfpu-4096,sfpu,4096,23820,48.001008,496.240
rv-800000,rv,800000,8630,48.003313,179.779
noc-16384,noc,16384,6415,48.007289,133.626
mm-16384,mm,16384,21448,48.000564,446.828
sfpu-16384,sfpu,16384,12651,48.003055,263.546
noc-4096__control,noc,4096,16365,48.000929,340.931
idle-0,idle,0,34052,48.000456,709.410
rv-200000,rv,200000,19616,48.001792,408.651
noc-4096,noc,4096,16379,48.001427,341.219
mm-4096,mm,4096,29477,48.001332,614.087
sfpu-4096,sfpu,4096,23828,48.001443,496.402
rv-800000,rv,800000,8628,48.000365,179.749
noc-16384,noc,16384,6413,48.000256,133.603
mm-16384,mm,16384,21441,48.001511,446.673
sfpu-16384,sfpu,16384,12593,48.002559,262.340
noc-4096__control,noc,4096,16375,48.000449,341.143
idle-0,idle,0,34129,48.000900,711.008
rv-200000,rv,200000,19593,48.001887,408.171
noc-4096,noc,4096,16324,48.002000,340.069
mm-4096,mm,4096,29618,48.001067,617.028
sfpu-4096,sfpu,4096,23846,48.000562,496.786
rv-800000,rv,800000,8630,48.005087,179.773
noc-16384,noc,16384,6416,48.007222,133.647
mm-16384,mm,16384,21467,48.001881,447.212
sfpu-16384,sfpu,16384,12650,48.000331,263.540
noc-4096__control,noc,4096,16366,48.002688,340.939
idle-0,idle,0,34091,48.001043,710.214
rv-200000,rv,200000,19572,48.000710,407.744
noc-4096,noc,4096,16009,48.001845,333.508
mm-4096,mm,4096,29468,48.000900,613.905
sfpu-4096,sfpu,4096,23769,48.000073,495.187
rv-800000,rv,800000,8628,48.000665,179.748
noc-16384,noc,16384,6415,48.001389,133.642
mm-16384,mm,16384,21435,48.001106,446.552
sfpu-16384,sfpu,16384,12566,48.001928,261.781
noc-4096__control,noc,4096,16305,48.001066,339.680
idle-0,idle,0,33361,48.001546,694.998
rv-200000,rv,200000,19641,48.001964,409.171
noc-4096,noc,4096,16377,48.000447,341.184
mm-4096,mm,4096,29520,48.000446,614.994
sfpu-4096,sfpu,4096,23832,48.000687,496.493
rv-800000,rv,800000,8581,48.004294,178.755
noc-16384,noc,16384,6421,48.004190,133.759
mm-16384,mm,16384,22267,48.001312,463.883
sfpu-16384,sfpu,16384,12643,48.001745,263.386
noc-4096__control,noc,4096,16422,48.000516,342.121
idle-0,idle,0,34572,48.000360,720.245
rv-200000,rv,200000,19560,48.000454,407.496
noc-4096,noc,4096,16455,48.002812,342.792
mm-4096,mm,4096,29486,48.001369,614.274
sfpu-4096,sfpu,4096,23838,48.001399,496.611
rv-800000,rv,800000,8618,48.000572,179.540
noc-16384,noc,16384,6416,48.003071,133.658
mm-16384,mm,16384,21402,48.000140,445.874
sfpu-16384,sfpu,16384,12664,48.002058,263.822
noc-4096__control,noc,4096,16447,48.000135,342.645
