session,cycle,slot,label,arm,inner,status,launches,wall_s,launches_per_s,power_w,power_sd_w,samples,attempts,sample_failures,pre_idle_w,pre_idle_samples,delta_w,aiclk_mhz,temp_c,sysfs_aiclk_mean,sysfs_aiclk_min,sysfs_aiclk_max,sysfs_aiclk_drift_pct,sysfs_arcclk_mean,therm_trip_delta,clock_samples,power_bracket_w,bracket_lag_s,bracket_samples,tt_smi_version,note
20260813T134114,0,0,baseline,baseline,0,ok,0,40,0,36.7917,1.1025,24,24,0,36.0000,2,0.7917,800.0,38.5,800.0,800.0,800.0,0.000,800.0,0,96,,,0,6.2.0,
20260813T134114,0,1,idle-0,idle,0,ok,34036,48.001242,709.065,64.6000,1.2175,35,35,0,37.5000,2,27.1000,1350.0,46.7,1350.0,1350.0,1350.0,0.000,800.0,0,139,,,0,6.2.0,
20260813T134114,0,2,rv-200000,rv,200000,ok,19588,48.002432,408.063,67.0000,0.4924,34,34,0,38.5000,2,28.5000,1350.0,51.1,1350.0,1350.0,1350.0,0.000,800.0,0,138,,,0,6.2.0,
20260813T134114,0,3,noc-4096,noc,4096,ok,16362,48.000633,340.871,67.5882,0.7014,34,34,0,38.0000,2,29.5882,1350.0,52.8,1350.0,1350.0,1350.0,0.000,800.0,0,138,,,0,6.2.0,
20260813T134114,0,4,mm-4096,mm,4096,ok,29599,48.000049,616.645,68.1714,1.0428,35,35,0,40.0000,2,28.1714,1350.0,53.5,1350.0,1350.0,1350.0,0.000,800.0,0,138,,,0,6.2.0,
20260813T134114,0,5,sfpu-4096,sfpu,4096,ok,23820,48.001008,496.240,67.9412,0.8856,34,34,0,39.0000,2,28.9412,1350.0,54.0,1350.0,1350.0,1350.0,0.000,800.0,0,138,,,0,6.2.0,
20260813T134114,0,6,rv-800000,rv,800000,ok,8630,48.003313,179.779,68.0588,0.8507,34,34,0,39.0000,2,29.0588,1350.0,54.2,1349.9,1343.0,1350.0,0.519,800.0,0,138,,,0,6.2.0,
20260813T134114,0,7,noc-16384,noc,16384,ok,6415,48.007289,133.626,68.3529,0.8486,34,34,0,39.0000,2,29.3529,1350.0,54.5,1350.0,1350.0,1350.0,0.000,800.0,0,138,,,0,6.2.0,
20260813T134114,0,8,mm-16384,mm,16384,ok,21448,48.000564,446.828,68.8235,0.9365,34,34,0,39.0000,2,29.8235,1350.0,54.6,1350.0,1350.0,1350.0,0.000,800.0,0,137,,,0,6.2.0,
20260813T134114,0,9,sfpu-16384,sfpu,16384,ok,12651,48.003055,263.546,68.2941,0.6291,34,34,0,39.0000,2,29.2941,1350.0,54.5,1349.9,1343.0,1350.0,0.519,800.0,0,138,,,0,6.2.0,
20260813T134114,0,10,noc-4096__control,noc,4096,ok,16365,48.000929,340.931,68.2647,0.6656,34,34,0,39.0000,2,29.2647,1350.0,54.6,1350.0,1350.0,1350.0,0.000,800.0,0,137,,,0,6.2.0,
20260813T134114,1,0,baseline,baseline,0,ok,0,40,0,38.4783,0.5108,23,23,0,39.0000,2,-0.5217,800.0,46.6,800.0,800.0,800.0,0.000,800.0,0,96,,,0,6.2.0,
20260813T134114,1,1,idle-0,idle,0,ok,34052,48.000456,709.410,66.6667,0.9574,33,33,0,37.5000,2,29.1667,1350.0,50.5,1349.9,1343.0,1350.0,0.519,800.0,0,138,,,0,6.2.0,
20260813T134114,1,2,rv-200000,rv,200000,ok,19616,48.001792,408.651,67.6667,0.7773,33,33,0,38.5000,2,29.1667,1350.0,53.0,1349.9,1343.0,1350.0,0.519,800.0,0,137,,,0,6.2.0,
20260813T134114,1,3,noc-4096,noc,4096,ok,16379,48.001427,341.219,67.9118,0.9651,34,34,0,39.0000,2,28.9118,1350.0,53.8,1350.0,1350.0,1350.0,0.000,800.0,0,137,,,0,6.2.0,
20260813T134114,1,4,mm-4096,mm,4096,ok,29477,48.001332,614.087,68.2059,1.0668,34,34,0,40.5000,2,27.7059,1350.0,54.2,1350.0,1350.0,1350.0,0.000,800.0,0,137,,,0,6.2.0,
20260813T134114,1,5,sfpu-4096,sfpu,4096,ok,23828,48.001443,496.402,68.3529,0.8121,34,34,0,42.0000,2,26.3529,1350.0,54.4,1350.0,1350.0,1350.0,0.000,800.0,0,138,,,0,6.2.0,
20260813T134114,1,6,rv-800000,rv,800000,ok,8628,48.000365,179.749,68.2647,0.8637,34,34,0,39.0000,2,29.2647,1350.0,54.4,1350.0,1350.0,1350.0,0.000,800.0,0,137,,,0,6.2.0,
20260813T134114,1,7,noc-16384,noc,16384,ok,6413,48.000256,133.603,68.1765,0.7165,34,34,0,39.0000,2,29.1765,1350.0,54.5,1350.0,1350.0,1350.0,0.000,800.0,0,137,,,0,6.2.0,
20260813T134114,1,8,mm-16384,mm,16384,ok,21441,48.001511,446.673,68.6857,0.9322,35,35,0,39.0000,2,29.6857,1350.0,54.6,1350.0,1350.0,1350.0,0.000,800.0,0,137,,,0,6.2.0,
20260813T134114,1,9,sfpu-16384,sfpu,16384,ok,12593,48.002559,262.340,68.2353,0.6541,34,34,0,39.0000,2,29.2353,1350.0,54.5,1350.0,1350.0,1350.0,0.000,800.0,0,137,,,0,6.2.0,
