phase,i,t_start,t_end,t_mid,dt_s,ok,power_w,voltage_v,current_a,aiclk_mhz,temp_c,error
run,0,1786624877.083771,1786624878.261071,1786624877.672421,0.590981,1,36.0000,0.7400,49.0000,800.0000,38.7000,
run,1,1786624878.261186,1786624879.338086,1786624878.799636,1.718196,1,36.0000,0.7400,49.0000,800.0000,38.6000,
run,2,1786624879.338207,1786624880.385370,1786624879.861788,2.780348,1,36.0000,0.7400,50.0000,800.0000,38.7000,
run,3,1786624880.385540,1786624881.439157,1786624880.912348,3.830908,1,39.0000,0.7400,54.0000,800.0000,38.6000,
run,4,1786624881.439266,1786624882.462029,1786624881.950647,4.869207,1,36.0000,0.7400,49.0000,800.0000,38.5000,
run,5,1786624882.462134,1786624883.503033,1786624882.982584,5.901144,1,36.0000,0.7400,50.0000,800.0000,38.6000,
run,6,1786624883.503142,1786624884.576482,1786624884.039812,6.958372,1,38.0000,0.7400,52.0000,800.0000,38.5000,
run,7,1786624884.576587,1786624885.646624,1786624885.111606,8.030165,1,39.0000,0.7400,54.0000,800.0000,39.1000,
run,8,1786624885.646779,1786624886.699881,1786624886.173330,9.091889,1,36.0000,0.7400,49.0000,800.0000,38.2000,
run,9,1786624886.699991,1786624887.734619,1786624887.217305,10.135865,1,36.0000,0.7400,49.0000,800.0000,38.4000,
run,10,1786624887.734710,1786624888.779070,1786624888.256890,11.175450,1,36.0000,0.7400,50.0000,800.0000,38.7000,
run,11,1786624888.779177,1786624889.855228,1786624889.317203,12.235762,1,37.0000,0.7400,50.0000,800.0000,38.5000,
run,12,1786624889.855402,1786624890.910683,1786624890.383042,13.301602,1,36.0000,0.7400,49.0000,800.0000,38.4000,
run,13,1786624890.910826,1786624891.940082,1786624891.425454,14.344014,1,38.0000,0.7400,52.0000,800.0000,38.6000,
run,14,1786624891.940391,1786624892.962547,1786624892.451469,15.370028,1,36.0000,0.7400,50.0000,800.0000,38.6000,
run,15,1786624892.962656,1786624894.002771,1786624893.482713,16.401273,1,36.0000,0.7400,49.0000,800.0000,38.2000,
run,16,1786624894.002820,1786624895.039928,1786624894.521374,17.439934,1,39.0000,0.7400,54.0000,800.0000,38.7000,
run,17,1786624895.040045,1786624896.099073,1786624895.569559,18.488119,1,37.0000,0.7400,50.0000,800.0000,38.4000,
run,18,1786624896.099255,1786624897.150225,1786624896.624740,19.543300,1,38.0000,0.7400,52.0000,800.0000,38.7000,
run,19,1786624897.150326,1786624898.181847,1786624897.666086,20.584646,1,36.0000,0.7400,49.0000,800.0000,38.2000,
run,20,1786624898.181953,1786624899.222364,1786624898.702159,21.620718,1,36.0000,0.7400,49.0000,800.0000,38.5000,
run,21,1786624899.222414,1786624900.261885,1786624899.742150,22.660709,1,37.0000,0.7400,50.0000,800.0000,38.5000,
run,22,1786624900.262003,1786624901.318255,1786624900.790129,23.708689,1,36.0000,0.7400,49.0000,800.0000,38.2000,
run,23,1786624901.318492,1786624902.374513,1786624901.846503,24.765062,1,36.0000,0.7400,50.0000,800.0000,38.4000,
run,24,1786624902.374629,1786624903.367993,1786624902.871311,25.789870,1,36.0000,0.7400,49.0000,800.0000,38.4000,
run,25,1786624903.368099,1786624904.380867,1786624903.874483,26.793042,1,36.0000,0.7400,49.0000,800.0000,38.4000,
run,26,1786624904.380980,1786624905.480125,1786624904.930552,27.849112,1,36.0000,0.7400,50.0000,800.0000,38.2000,
run,27,1786624905.480243,1786624906.529825,1786624906.005034,28.923594,1,36.0000,0.7400,49.0000,800.0000,38.4000,
run,28,1786624906.530037,1786624907.534689,1786624907.032363,29.950922,1,38.0000,0.7400,52.0000,800.0000,38.5000,
run,29,1786624907.534802,1786624908.519602,1786624908.027202,30.945761,1,37.0000,0.7400,50.0000,800.0000,38.2000,
run,30,1786624908.519709,1786624909.512084,1786624909.015896,31.934456,1,39.0000,0.7400,54.0000,800.0000,38.7000,
run,31,1786624909.512192,1786624910.564952,1786624910.038572,32.957131,1,36.0000,0.7400,49.0000,800.0000,38.5000,
run,32,1786624910.564998,1786624911.583488,1786624911.074243,33.992803,1,37.0000,0.7400,50.0000,800.0000,38.4000,
run,33,1786624911.583631,1786624912.588207,1786624912.085919,35.004478,1,37.0000,0.7400,50.0000,800.0000,38.4000,
run,34,1786624912.588355,1786624913.625525,1786624913.106940,36.025500,1,36.0000,0.7400,49.0000,800.0000,38.5000,
run,35,1786624913.625579,1786624914.684876,1786624914.155227,37.073787,1,38.0000,0.7400,52.0000,800.0000,38.5000,
run,36,1786624914.685112,1786624915.680970,1786624915.183041,38.101601,1,36.0000,0.7400,49.0000,800.0000,38.4000,
run,37,1786624915.681075,1786624916.672884,1786624916.176979,39.095539,1,36.0000,0.7400,49.0000,800.0000,38.2000,
run,38,1786624916.673095,1786624917.704882,1786624917.188988,40.107548,1,36.0000,0.7400,49.0000,800.0000,38.4000,
