phase,i,t_start,t_end,t_mid,dt_s,ok,power_w,voltage_v,current_a,aiclk_mhz,temp_c,error
run,0,1786625133.465440,1786625134.753682,1786625134.109561,0.646864,1,82.0000,0.8600,96.0000,1350.0000,53.6000,
run,1,1786625134.753798,1786625135.748434,1786625135.251116,1.788419,1,67.0000,0.8600,78.0000,1350.0000,53.2000,
run,2,1786625135.748543,1786625136.741544,1786625136.245043,2.782347,1,68.0000,0.8600,79.0000,1350.0000,53.4000,
run,3,1786625136.741750,1786625137.793018,1786625137.267384,3.804688,1,67.0000,0.8600,78.0000,1350.0000,53.5000,
run,4,1786625137.793127,1786625138.817205,1786625138.305166,4.842469,1,69.0000,0.8600,81.0000,1350.0000,53.4000,
run,5,1786625138.817253,1786625139.829926,1786625139.323590,5.860893,1,67.0000,0.8600,78.0000,1350.0000,53.4000,
run,6,1786625139.830033,1786625140.833096,1786625140.331565,6.868868,1,67.0000,0.8600,78.0000,1350.0000,53.2000,
run,7,1786625140.833202,1786625141.826137,1786625141.329670,7.866973,1,68.0000,0.8600,79.0000,1350.0000,53.6000,
run,8,1786625141.826454,1786625142.879329,1786625142.352891,8.890195,1,69.0000,0.8600,81.0000,1350.0000,53.7000,
run,9,1786625142.879377,1786625143.882603,1786625143.380990,9.918293,1,68.0000,0.8600,79.0000,1350.0000,53.6000,
run,10,1786625143.882650,1786625144.875047,1786625144.378849,10.916152,1,67.0000,0.8600,78.0000,1350.0000,53.6000,
run,11,1786625144.875159,1786625145.867635,1786625145.371397,11.908700,1,67.0000,0.8600,78.0000,1350.0000,53.7000,
run,12,1786625145.867743,1786625146.859880,1786625146.363812,12.901115,1,67.0000,0.8600,78.0000,1350.0000,53.6000,
run,13,1786625146.860093,1786625147.913807,1786625147.386950,13.924253,1,67.0000,0.8600,78.0000,1350.0000,53.5000,
run,14,1786625147.913916,1786625148.935416,1786625148.424666,14.961970,1,69.0000,0.8600,81.0000,1350.0000,53.6000,
