t,aiclk,arcclk,axiclk,therm_trip
1786625452.158914,800,800,960,0
1786625452.410715,800,800,960,0
1786625452.661197,800,800,960,0
1786625452.911694,800,800,960,0
1786625453.162122,800,800,960,0
1786625453.412627,800,800,960,0
1786625453.663053,800,800,960,0
1786625453.913545,800,800,960,0
1786625454.164125,800,800,960,0
1786625454.415005,800,800,960,0
1786625454.665745,800,800,960,0
1786625454.916170,800,800,960,0
1786625455.166693,800,800,960,0
1786625455.417154,800,800,960,0
1786625455.667638,800,800,960,0
1786625455.918064,800,800,960,0
1786625456.168548,800,800,960,0
1786625456.418976,800,800,960,0
1786625456.669513,800,800,960,0
1786625456.919936,800,800,960,0
1786625457.170487,800,800,960,0
1786625457.420945,800,800,960,0
1786625457.671424,800,800,960,0
1786625457.921848,800,800,960,0
1786625458.172298,800,800,960,0
1786625458.422722,800,800,960,0
1786625458.673148,800,800,960,0
1786625458.923633,800,800,960,0
1786625459.174165,800,800,960,0
1786625459.424685,800,800,960,0
1786625459.675493,800,800,960,0
1786625459.925960,800,800,960,0
1786625460.176477,800,800,960,0
1786625460.426905,800,800,960,0
1786625460.677433,800,800,960,0
1786625460.927878,800,800,960,0
1786625461.178301,800,800,960,0
1786625461.428747,800,800,960,0
1786625461.679174,800,800,960,0
1786625461.929664,800,800,960,0
1786625462.180093,800,800,960,0
1786625462.430653,800,800,960,0
1786625462.681177,800,800,960,0
1786625462.931872,800,800,960,0
1786625463.182545,800,800,960,0
1786625463.433144,800,800,960,0
1786625463.683712,800,800,960,0
1786625463.934135,800,800,960,0
1786625464.184624,800,800,960,0
1786625464.435143,800,800,960,0
1786625464.685781,800,800,960,0
1786625464.936207,800,800,960,0
1786625465.186708,800,800,960,0
1786625465.437149,800,800,960,0
1786625465.687634,800,800,960,0
1786625465.938059,800,800,960,0
1786625466.188543,800,800,960,0
1786625466.438967,800,800,960,0
1786625466.689471,800,800,960,0
1786625466.939898,800,800,960,0
1786625467.190419,800,800,960,0
1786625467.440854,800,800,960,0
1786625467.691304,800,800,960,0
1786625467.941728,800,800,960,0
1786625468.192162,800,800,960,0
1786625468.442687,800,800,960,0
1786625468.693126,800,800,960,0
1786625468.943615,800,800,960,0
1786625469.194044,800,800,960,0
1786625469.444739,800,800,960,0
1786625469.695600,800,800,960,0
1786625469.946093,800,800,960,0
1786625470.196586,800,800,960,0
1786625470.447011,800,800,960,0
1786625470.697503,800,800,960,0
1786625470.947931,800,800,960,0
1786625471.198427,800,800,960,0
1786625471.448882,800,800,960,0
1786625471.699364,800,800,960,0
1786625471.949797,800,800,960,0
1786625472.200219,800,800,960,0
1786625472.450696,800,800,960,0
1786625472.701161,800,800,960,0
1786625472.951665,800,800,960,0
1786625473.202085,800,800,960,0
1786625473.452584,800,800,960,0
1786625473.703010,800,800,960,0
1786625473.953516,800,800,960,0
1786625474.203993,800,800,960,0
1786625474.454538,800,800,960,0
1786625474.705000,800,800,960,0
1786625474.955651,800,800,960,0
1786625475.206074,800,800,960,0
1786625475.456574,800,800,960,0
1786625475.706998,800,800,960,0
1786625475.957491,800,800,960,0
1786625476.207916,800,800,960,0
1786625476.458400,800,800,960,0
1786625476.708861,800,800,960,0
1786625476.959288,800,800,960,0
1786625477.209707,800,800,960,0
1786625477.460144,800,800,960,0
1786625477.710637,800,800,960,0
1786625477.961244,800,800,960,0
1786625478.211722,800,800,960,0
1786625478.462146,800,800,960,0
1786625478.712623,800,800,960,0
1786625478.963045,800,800,960,0
1786625479.213531,800,800,960,0
1786625479.463977,800,800,960,0
1786625479.714529,800,800,960,0
1786625479.964999,800,800,960,0
1786625480.215667,800,800,960,0
1786625480.466147,800,800,960,0
1786625480.716684,800,800,960,0
1786625480.967109,800,800,960,0
1786625481.217592,800,800,960,0
1786625481.468034,800,800,960,0
1786625481.718522,800,800,960,0
1786625481.968949,800,800,960,0
1786625482.219437,800,800,960,0
1786625482.469863,800,800,960,0
1786625482.720289,800,800,960,0
1786625482.970715,800,800,960,0
1786625483.221225,800,800,960,0
1786625483.471723,800,800,960,0
1786625483.722148,800,800,960,0
1786625483.972627,800,800,960,0
1786625484.223059,800,800,960,0
1786625484.473565,800,800,960,0
1786625484.724079,800,800,960,0
1786625484.974655,800,800,960,0
1786625485.225453,800,800,960,0
1786625485.475890,800,800,960,0
1786625485.726366,800,800,960,0
1786625485.976842,800,800,960,0
1786625486.227269,800,800,960,0
1786625486.477743,800,800,960,0
1786625486.728166,800,800,960,0
1786625486.978640,800,800,960,0
1786625487.229066,800,800,960,0
1786625487.479572,800,800,960,0
1786625487.729994,800,800,960,0
1786625487.980482,800,800,960,0
1786625488.230909,800,800,960,0
1786625488.481384,800,800,960,0
1786625488.731843,800,800,960,0
1786625488.982266,800,800,960,0
1786625489.232764,800,800,960,0
1786625489.483202,800,800,960,0
1786625489.733681,800,800,960,0
1786625489.984219,800,800,960,0
1786625490.234867,800,800,960,0
1786625490.485298,800,800,960,0
1786625490.735730,800,800,960,0
1786625490.986151,800,800,960,0
1786625491.236660,800,800,960,0
1786625491.487102,800,800,960,0
1786625491.737582,800,800,960,0
1786625491.988006,800,800,960,0
1786625492.238490,800,800,960,0
1786625492.488917,800,800,960,0
1786625492.739435,800,800,960,0
1786625492.989869,800,800,960,0
