t,aiclk,arcclk,axiclk,therm_trip
1786625495.455442,800,800,960,0
1786625495.707184,800,800,960,0
1786625495.957715,1350,800,960,0
1786625496.208153,1350,800,960,0
1786625496.458647,1350,800,960,0
1786625496.709070,1350,800,960,0
1786625496.959598,1350,800,960,0
1786625497.210048,1350,800,960,0
1786625497.460543,1350,800,960,0
1786625497.711002,1350,800,960,0
1786625497.961486,1350,800,960,0
1786625498.211899,1350,800,960,0
1786625498.462375,1350,800,960,0
1786625498.712790,1350,800,960,0
1786625498.963221,1350,800,960,0
1786625499.213693,1350,800,960,0
1786625499.464148,1350,800,960,0
1786625499.714683,1350,800,960,0
1786625499.965130,1350,800,960,0
1786625500.215682,1350,800,960,0
1786625500.466101,1350,800,960,0
1786625500.716579,1350,800,960,0
1786625500.967023,1350,800,960,0
1786625501.217505,1350,800,960,0
1786625501.467923,1350,800,960,0
1786625501.718422,1350,800,960,0
1786625501.968846,1350,800,960,0
1786625502.219344,1350,800,960,0
1786625502.469776,1350,800,960,0
1786625502.720245,1350,800,960,0
1786625502.970784,1350,800,960,0
1786625503.221253,1350,800,960,0
1786625503.471796,1350,800,960,0
1786625503.722267,1350,800,960,0
1786625503.972800,1350,800,960,0
1786625504.223252,1350,800,960,0
1786625504.473764,1350,800,960,0
1786625504.724235,1350,800,960,0
1786625504.974771,1350,800,960,0
1786625505.225302,1350,800,960,0
1786625505.475779,1350,800,960,0
1786625505.726266,1350,800,960,0
1786625505.976755,1350,800,960,0
1786625506.227179,1350,800,960,0
1786625506.477719,1350,800,960,0
1786625506.728219,1350,800,960,0
1786625506.978724,1350,800,960,0
1786625507.229173,1350,800,960,0
1786625507.479660,1350,800,960,0
1786625507.730093,1350,800,960,0
1786625507.980583,1350,800,960,0
1786625508.231018,1350,800,960,0
1786625508.481585,1350,800,960,0
1786625508.732018,1350,800,960,0
1786625508.982515,1350,800,960,0
1786625509.232940,1350,800,960,0
1786625509.483411,1350,800,960,0
1786625509.733844,1350,800,960,0
1786625509.984261,1350,800,960,0
1786625510.234755,1350,800,960,0
1786625510.485232,1350,800,960,0
1786625510.735715,1350,800,960,0
1786625510.986135,1350,800,960,0
1786625511.236614,1350,800,960,0
1786625511.487036,1350,800,960,0
1786625511.737531,1350,800,960,0
1786625511.987954,1350,800,960,0
1786625512.238493,1350,800,960,0
1786625512.488961,1350,800,960,0
1786625512.739442,1350,800,960,0
1786625512.989862,1350,800,960,0
1786625513.240288,1350,800,960,0
1786625513.490713,1350,800,960,0
1786625513.741133,1350,800,960,0
1786625513.991619,1350,800,960,0
1786625514.242041,1350,800,960,0
1786625514.492520,1350,800,960,0
1786625514.742955,1350,800,960,0
1786625514.993474,1350,800,960,0
1786625515.243931,1350,800,960,0
1786625515.494478,1350,800,960,0
1786625515.744899,1350,800,960,0
1786625515.995371,1350,800,960,0
1786625516.245803,1350,800,960,0
1786625516.496329,1350,800,960,0
1786625516.746749,1350,800,960,0
1786625516.997169,1350,800,960,0
1786625517.247699,1350,800,960,0
1786625517.498119,1350,800,960,0
1786625517.748596,1350,800,960,0
1786625517.999055,1350,800,960,0
1786625518.249538,1350,800,960,0
1786625518.499958,1350,800,960,0
1786625518.750430,1350,800,960,0
1786625519.000851,1350,800,960,0
1786625519.251327,1350,800,960,0
1786625519.501750,1350,800,960,0
1786625519.752169,1350,800,960,0
1786625520.002642,1350,800,960,0
1786625520.253094,1350,800,960,0
1786625520.503623,1350,800,960,0
1786625520.754100,1350,800,960,0
1786625521.004584,1350,800,960,0
1786625521.255073,1350,800,960,0
1786625521.505611,1350,800,960,0
1786625521.756215,1350,800,960,0
1786625522.006898,1350,800,960,0
1786625522.257595,1350,800,960,0
1786625522.508109,1350,800,960,0
1786625522.758599,1350,800,960,0
1786625523.009018,1350,800,960,0
1786625523.259496,1350,800,960,0
1786625523.509922,1350,800,960,0
1786625523.760398,1350,800,960,0
1786625524.010818,1350,800,960,0
1786625524.261240,1350,800,960,0
1786625524.511716,1350,800,960,0
1786625524.762190,1350,800,960,0
1786625525.012674,1350,800,960,0
1786625525.263093,1350,800,960,0
1786625525.513661,1350,800,960,0
1786625525.764151,1350,800,960,0
1786625526.014643,1350,800,960,0
1786625526.265117,1350,800,960,0
1786625526.515641,1350,800,960,0
1786625526.766066,1350,800,960,0
1786625527.016542,1350,800,960,0
1786625527.266961,1350,800,960,0
1786625527.517428,1350,800,960,0
1786625527.767844,1350,800,960,0
1786625528.018333,1350,800,960,0
1786625528.268757,1350,800,960,0
1786625528.519219,1350,800,960,0
1786625528.769714,1350,800,960,0
1786625529.020135,1350,800,960,0
1786625529.270623,1350,800,960,0
1786625529.521050,1350,800,960,0
1786625529.771578,1350,800,960,0
1786625530.021997,1343,800,960,0
1786625530.272485,1350,800,960,0
1786625530.522912,1350,800,960,0
1786625530.773494,1350,800,960,0
1786625531.023913,1350,800,960,0
1786625531.274388,1350,800,960,0
1786625531.524858,1350,800,960,0
1786625531.775289,1350,800,960,0
1786625532.025711,1350,800,960,0
1786625532.276132,1350,800,960,0
1786625532.526612,1350,800,960,0
1786625532.777043,1350,800,960,0
1786625533.027537,1350,800,960,0
1786625533.277961,1350,800,960,0
1786625533.528447,1350,800,960,0
1786625533.778864,1350,800,960,0
1786625534.029304,1350,800,960,0
1786625534.279747,1350,800,960,0
1786625534.530169,1350,800,960,0
1786625534.780673,1350,800,960,0
1786625535.031094,1350,800,960,0
1786625535.281576,1350,800,960,0
1786625535.532000,1350,800,960,0
