phase,i,t_start,t_end,t_mid,dt_s,ok,power_w,voltage_v,current_a,aiclk_mhz,temp_c,error
run,0,1786625495.470982,1786625496.829551,1786625496.150267,0.682031,1,80.0000,0.8600,94.0000,1350.0000,47.5000,
run,1,1786625496.830045,1786625497.826057,1786625497.328051,1.859815,1,66.0000,0.8600,77.0000,1350.0000,47.3000,
run,2,1786625497.826164,1786625498.818183,1786625498.322173,2.853938,1,64.0000,0.8600,75.0000,1350.0000,47.5000,
run,3,1786625498.818228,1786625499.826611,1786625499.322420,3.854184,1,64.0000,0.8600,75.0000,1350.0000,47.6000,
run,4,1786625499.826864,1786625500.866234,1786625500.346549,4.878313,1,67.0000,0.8600,78.0000,1350.0000,47.8000,
run,5,1786625500.866454,1786625501.850149,1786625501.358302,5.890066,1,64.0000,0.8600,75.0000,1350.0000,48.2000,
run,6,1786625501.850255,1786625502.840828,1786625502.345542,6.877306,1,67.0000,0.8600,78.0000,1350.0000,48.2000,
run,7,1786625502.840940,1786625503.837243,1786625503.339092,7.870856,1,64.0000,0.8600,75.0000,1350.0000,48.5000,
run,8,1786625503.837350,1786625504.869028,1786625504.353189,8.884953,1,64.0000,0.8600,75.0000,1350.0000,48.9000,
run,9,1786625504.869134,1786625505.909666,1786625505.389400,9.921165,1,64.0000,0.8600,75.0000,1350.0000,48.7000,
run,10,1786625505.909877,1786625506.906944,1786625506.408410,10.940175,1,67.0000,0.8600,78.0000,1350.0000,49.1000,
run,11,1786625506.907045,1786625507.898497,1786625507.402771,11.934536,1,67.0000,0.8600,78.0000,1350.0000,49.3000,
run,12,1786625507.898607,1786625508.889020,1786625508.393813,12.925578,1,67.0000,0.8600,78.0000,1350.0000,49.3000,
run,13,1786625508.889127,1786625509.917660,1786625509.403393,13.935158,1,67.0000,0.8600,78.0000,1350.0000,49.4000,
run,14,1786625509.917769,1786625510.948697,1786625510.433233,14.964997,1,64.0000,0.8600,75.0000,1350.0000,49.5000,
run,15,1786625510.948910,1786625511.974648,1786625511.461779,15.993543,1,66.0000,0.8600,77.0000,1350.0000,49.6000,
run,16,1786625511.974697,1786625512.967476,1786625512.471087,17.002851,1,67.0000,0.8600,78.0000,1350.0000,49.5000,
run,17,1786625512.967523,1786625513.943111,1786625513.455317,17.987081,1,66.0000,0.8600,77.0000,1350.0000,50.0000,
run,18,1786625513.943225,1786625514.994884,1786625514.469054,19.000819,1,67.0000,0.8600,78.0000,1350.0000,49.9000,
run,19,1786625514.994991,1786625516.035089,1786625515.515040,20.046805,1,66.0000,0.8600,77.0000,1350.0000,50.0000,
run,20,1786625516.035268,1786625517.110095,1786625516.572682,21.104446,1,67.0000,0.8600,78.0000,1350.0000,50.4000,
run,21,1786625517.110143,1786625518.135981,1786625517.623062,22.154827,1,67.0000,0.8600,78.0000,1350.0000,50.3000,
run,22,1786625518.136028,1786625519.147492,1786625518.641760,23.173524,1,67.0000,0.8600,78.0000,1350.0000,50.5000,
run,23,1786625519.147609,1786625520.205811,1786625519.676710,24.208474,1,67.0000,0.8600,78.0000,1350.0000,50.5000,
