t,aiclk,arcclk,axiclk,therm_trip
1786625815.111199,800,800,960,0
1786625815.363353,800,800,960,0
1786625815.613843,1350,800,960,0
1786625815.864358,1350,800,960,0
1786625816.114780,1350,800,960,0
1786625816.365205,1350,800,960,0
1786625816.615752,1350,800,960,0
1786625816.866442,1350,800,960,0
1786625817.117035,1350,800,960,0
1786625817.367703,1350,800,960,0
1786625817.618356,1350,800,960,0
1786625817.868780,1350,800,960,0
1786625818.119199,1350,800,960,0
1786625818.369694,1350,800,960,0
1786625818.620171,1350,800,960,0
1786625818.870665,1350,800,960,0
1786625819.121085,1350,800,960,0
1786625819.371560,1350,800,960,0
1786625819.622034,1350,800,960,0
1786625819.872553,1350,800,960,0
1786625820.122984,1350,800,960,0
1786625820.373502,1350,800,960,0
1786625820.623977,1350,800,960,0
1786625820.874478,1350,800,960,0
1786625821.124896,1350,800,960,0
1786625821.375368,1350,800,960,0
1786625821.625834,1350,800,960,0
1786625821.876255,1350,800,960,0
1786625822.126743,1350,800,960,0
1786625822.377217,1350,800,960,0
1786625822.627802,1350,800,960,0
1786625822.878289,1350,800,960,0
1786625823.128708,1350,800,960,0
1786625823.379126,1350,800,960,0
1786625823.629684,1350,800,960,0
1786625823.880218,1350,800,960,0
1786625824.130891,1350,800,960,0
1786625824.381564,1350,800,960,0
1786625824.632204,1350,800,960,0
1786625824.882841,1350,800,960,0
1786625825.133519,1350,800,960,0
1786625825.384130,1350,800,960,0
1786625825.634835,1350,800,960,0
1786625825.885500,1350,800,960,0
1786625826.136120,1350,800,960,0
1786625826.386795,1350,800,960,0
1786625826.637490,1350,800,960,0
1786625826.888097,1350,800,960,0
1786625827.138779,1350,800,960,0
1786625827.389472,1350,800,960,0
1786625827.640099,1350,800,960,0
1786625827.890733,1350,800,960,0
1786625828.141155,1350,800,960,0
1786625828.391641,1350,800,960,0
1786625828.642165,1350,800,960,0
1786625828.892672,1350,800,960,0
1786625829.143101,1350,800,960,0
1786625829.393609,1350,800,960,0
1786625829.644079,1350,800,960,0
1786625829.894628,1350,800,960,0
1786625830.145268,1350,800,960,0
1786625830.395942,1350,800,960,0
1786625830.646657,1350,800,960,0
1786625830.897225,1350,800,960,0
1786625831.147911,1350,800,960,0
1786625831.398608,1350,800,960,0
1786625831.649306,1350,800,960,0
1786625831.899933,1350,800,960,0
1786625832.150410,1350,800,960,0
1786625832.400842,1350,800,960,0
1786625832.651312,1350,800,960,0
1786625832.901849,1350,800,960,0
1786625833.152269,1350,800,960,0
1786625833.402767,1350,800,960,0
1786625833.653231,1350,800,960,0
1786625833.903722,1350,800,960,0
1786625834.154139,1350,800,960,0
1786625834.404633,1350,800,960,0
1786625834.655098,1350,800,960,0
1786625834.905608,1350,800,960,0
1786625835.156028,1350,800,960,0
1786625835.406523,1350,800,960,0
1786625835.656985,1350,800,960,0
1786625835.907487,1350,800,960,0
1786625836.157905,1350,800,960,0
1786625836.408400,1350,800,960,0
1786625836.658870,1350,800,960,0
1786625836.909332,1350,800,960,0
1786625837.159939,1350,800,960,0
1786625837.410639,1350,800,960,0
1786625837.661270,1350,800,960,0
1786625837.911911,1350,800,960,0
1786625838.162657,1350,800,960,0
1786625838.413362,1350,800,960,0
1786625838.663985,1350,800,960,0
1786625838.914581,1350,800,960,0
1786625839.165007,1350,800,960,0
1786625839.415505,1350,800,960,0
1786625839.665964,1350,800,960,0
1786625839.916501,1350,800,960,0
1786625840.167108,1350,800,960,0
1786625840.417816,1350,800,960,0
1786625840.668521,1350,800,960,0
1786625840.919066,1350,800,960,0
1786625841.169554,1350,800,960,0
1786625841.420003,1350,800,960,0
1786625841.670519,1350,800,960,0
1786625841.920977,1350,800,960,0
1786625842.171453,1350,800,960,0
1786625842.421900,1350,800,960,0
1786625842.672410,1350,800,960,0
1786625842.922890,1350,800,960,0
1786625843.173633,1350,800,960,0
1786625843.424357,1350,800,960,0
1786625843.674980,1350,800,960,0
1786625843.925559,1350,800,960,0
1786625844.175977,1350,800,960,0
1786625844.426494,1350,800,960,0
1786625844.676960,1350,800,960,0
1786625844.927483,1350,800,960,0
1786625845.177989,1350,800,960,0
1786625845.428499,1350,800,960,0
1786625845.678957,1350,800,960,0
1786625845.929490,1350,800,960,0
1786625846.179918,1350,800,960,0
1786625846.430445,1350,800,960,0
1786625846.680943,1350,800,960,0
1786625846.931476,1350,800,960,0
1786625847.181900,1350,800,960,0
1786625847.432413,1350,800,960,0
1786625847.682876,1350,800,960,0
1786625847.933331,1350,800,960,0
1786625848.183752,1350,800,960,0
1786625848.434265,1350,800,960,0
1786625848.684788,1350,800,960,0
1786625848.935243,1350,800,960,0
1786625849.185722,1350,800,960,0
1786625849.436182,1350,800,960,0
1786625849.686695,1350,800,960,0
1786625849.937176,1350,800,960,0
1786625850.187660,1350,800,960,0
1786625850.438130,1350,800,960,0
1786625850.688644,1350,800,960,0
1786625850.939125,1350,800,960,0
1786625851.189621,1350,800,960,0
1786625851.440083,1350,800,960,0
1786625851.690596,1350,800,960,0
1786625851.941057,1350,800,960,0
1786625852.191558,1350,800,960,0
1786625852.442025,1350,800,960,0
1786625852.692552,1350,800,960,0
1786625852.943012,1350,800,960,0
1786625853.193493,1350,800,960,0
1786625853.444009,1350,800,960,0
1786625853.694526,1350,800,960,0
1786625853.944986,1350,800,960,0
1786625854.195469,1350,800,960,0
1786625854.445935,1350,800,960,0
1786625854.696456,1350,800,960,0
1786625854.946925,1350,800,960,0
1786625855.197400,1350,800,960,0
1786625855.447865,1350,800,960,0
1786625855.698319,1350,800,960,0
1786625855.948794,1350,800,960,0
1786625856.199221,1350,800,960,0
1786625856.449745,1350,800,960,0
1786625856.700202,1350,800,960,0
1786625856.950733,1350,800,960,0
1786625857.201158,1350,800,960,0
1786625857.451681,1350,800,960,0
1786625857.702152,1350,800,960,0
1786625857.952680,1350,800,960,0
1786625858.203101,1350,800,960,0
1786625858.453695,1350,800,960,0
1786625858.704151,1350,800,960,0
1786625858.954680,1350,800,960,0
1786625859.205103,1350,800,960,0
1786625859.455637,1350,800,960,0
1786625859.706092,1350,800,960,0
1786625859.956617,1350,800,960,0
