t,aiclk,arcclk,axiclk,therm_trip
1786625921.459217,800,800,960,0
1786625921.711135,800,800,960,0
1786625921.961668,800,800,960,0
1786625922.212107,1350,800,960,0
1786625922.462590,1350,800,960,0
1786625922.713012,1350,800,960,0
1786625922.963532,1350,800,960,0
1786625923.213961,1350,800,960,0
1786625923.464453,1350,800,960,0
1786625923.714873,1350,800,960,0
1786625923.965325,1350,800,960,0
1786625924.215993,1350,800,960,0
1786625924.466509,1350,800,960,0
1786625924.716967,1350,800,960,0
1786625924.967481,1350,800,960,0
1786625925.217993,1350,800,960,0
1786625925.468478,1350,800,960,0
1786625925.718896,1350,800,960,0
1786625925.969421,1350,800,960,0
1786625926.219997,1350,800,960,0
1786625926.470484,1350,800,960,0
1786625926.720908,1350,800,960,0
1786625926.971419,1350,800,960,0
1786625927.221856,1350,800,960,0
1786625927.472332,1350,800,960,0
1786625927.722755,1350,800,960,0
1786625927.973176,1350,800,960,0
1786625928.223667,1350,800,960,0
1786625928.474088,1350,800,960,0
1786625928.724611,1350,800,960,0
1786625928.975068,1350,800,960,0
1786625929.225909,1350,800,960,0
1786625929.476677,1350,800,960,0
1786625929.727102,1350,800,960,0
1786625929.977628,1350,800,960,0
1786625930.228143,1350,800,960,0
1786625930.478624,1350,800,960,0
1786625930.729067,1350,800,960,0
1786625930.979662,1350,800,960,0
1786625931.230502,1350,800,960,0
1786625931.481051,1350,800,960,0
1786625931.731537,1350,800,960,0
1786625931.981958,1350,800,960,0
1786625932.232447,1350,800,960,0
1786625932.482912,1350,800,960,0
1786625932.733429,1350,800,960,0
1786625932.983851,1350,800,960,0
1786625933.234291,1350,800,960,0
1786625933.484712,1350,800,960,0
1786625933.735136,1350,800,960,0
1786625933.985653,1350,800,960,0
1786625934.236430,1350,800,960,0
1786625934.486985,1350,800,960,0
1786625934.737466,1350,800,960,0
1786625934.987886,1350,800,960,0
1786625935.238312,1350,800,960,0
1786625935.488794,1350,800,960,0
1786625935.739215,1350,800,960,0
1786625935.989701,1350,800,960,0
1786625936.240169,1350,800,960,0
1786625936.490797,1350,800,960,0
1786625936.741249,1350,800,960,0
1786625936.991737,1350,800,960,0
1786625937.242154,1350,800,960,0
1786625937.492630,1350,800,960,0
1786625937.743062,1350,800,960,0
1786625937.993549,1350,800,960,0
1786625938.243968,1350,800,960,0
1786625938.494443,1350,800,960,0
1786625938.744863,1350,800,960,0
1786625938.995291,1350,800,960,0
1786625939.245745,1350,800,960,0
1786625939.496606,1350,800,960,0
1786625939.747170,1350,800,960,0
1786625939.997656,1350,800,960,0
1786625940.248074,1350,800,960,0
1786625940.498655,1350,800,960,0
1786625940.749118,1350,800,960,0
1786625940.999606,1350,800,960,0
1786625941.250106,1350,800,960,0
1786625941.500963,1350,800,960,0
1786625941.751610,1350,800,960,0
1786625942.002028,1350,800,960,0
1786625942.252513,1350,800,960,0
1786625942.502935,1350,800,960,0
1786625942.753405,1350,800,960,0
1786625943.003828,1350,800,960,0
1786625943.254289,1350,800,960,0
1786625943.504717,1350,800,960,0
1786625943.755135,1350,800,960,0
1786625944.005610,1350,800,960,0
1786625944.256069,1350,800,960,0
1786625944.506579,1350,800,960,0
1786625944.757169,1350,800,960,0
1786625945.007668,1350,800,960,0
1786625945.258090,1350,800,960,0
1786625945.508669,1350,800,960,0
1786625945.759087,1350,800,960,0
1786625946.009569,1350,800,960,0
1786625946.260074,1350,800,960,0
1786625946.510913,1350,800,960,0
1786625946.761527,1350,800,960,0
1786625947.011946,1350,800,960,0
1786625947.262422,1350,800,960,0
1786625947.512842,1350,800,960,0
1786625947.763261,1350,800,960,0
1786625948.013733,1350,800,960,0
1786625948.264153,1350,800,960,0
1786625948.514637,1350,800,960,0
1786625948.765090,1350,800,960,0
1786625949.015584,1350,800,960,0
1786625949.266032,1350,800,960,0
1786625949.516891,1350,800,960,0
1786625949.767642,1350,800,960,0
1786625950.018063,1350,800,960,0
1786625950.268544,1350,800,960,0
1786625950.518969,1350,800,960,0
1786625950.769546,1350,800,960,0
1786625951.019968,1350,800,960,0
1786625951.270505,1350,800,960,0
1786625951.521007,1350,800,960,0
1786625951.771485,1350,800,960,0
1786625952.021908,1350,800,960,0
1786625952.272382,1350,800,960,0
1786625952.522805,1350,800,960,0
1786625952.773249,1350,800,960,0
1786625953.023751,1350,800,960,0
1786625953.274172,1350,800,960,0
1786625953.524662,1350,800,960,0
1786625953.775088,1350,800,960,0
1786625954.025606,1350,800,960,0
1786625954.276067,1350,800,960,0
1786625954.526953,1350,800,960,0
1786625954.777715,1350,800,960,0
1786625955.028136,1350,800,960,0
1786625955.278625,1350,800,960,0
1786625955.529046,1350,800,960,0
1786625955.779624,1350,800,960,0
1786625956.030051,1350,800,960,0
1786625956.280611,1350,800,960,0
1786625956.531476,1350,800,960,0
1786625956.782051,1350,800,960,0
1786625957.032556,1350,800,960,0
1786625957.282983,1350,800,960,0
1786625957.533461,1350,800,960,0
1786625957.783879,1350,800,960,0
1786625958.034303,1350,800,960,0
1786625958.284730,1350,800,960,0
1786625958.535157,1350,800,960,0
1786625958.785644,1350,800,960,0
1786625959.036067,1350,800,960,0
1786625959.286600,1350,800,960,0
1786625959.537480,1350,800,960,0
1786625959.788070,1350,800,960,0
1786625960.038557,1350,800,960,0
1786625960.289019,1350,800,960,0
1786625960.539496,1350,800,960,0
1786625960.789936,1350,800,960,0
1786625961.040519,1350,800,960,0
1786625961.291045,1350,800,960,0
1786625961.541939,1350,800,960,0
1786625961.792704,1350,800,960,0
1786625962.043175,1350,800,960,0
1786625962.293649,1350,800,960,0
1786625962.544074,1350,800,960,0
1786625962.794551,1350,800,960,0
1786625963.044975,1350,800,960,0
1786625963.295452,1350,800,960,0
1786625963.545875,1350,800,960,0
1786625963.796295,1350,800,960,0
1786625964.046716,1350,800,960,0
1786625964.297167,1350,800,960,0
1786625964.547988,1350,800,960,0
1786625964.798781,1350,800,960,0
1786625965.049212,1350,800,960,0
1786625965.299687,1350,800,960,0
1786625965.550116,1350,800,960,0
1786625965.800597,1350,800,960,0
1786625966.051117,1350,800,960,0
1786625966.301707,1350,800,960,0
1786625966.552578,1350,800,960,0
1786625966.803259,1350,800,960,0
1786625967.053756,1350,800,960,0
1786625967.304176,1350,800,960,0
1786625967.554665,1350,800,960,0
