t,aiclk,arcclk,axiclk,therm_trip
1786626549.384549,800,800,960,0
1786626549.636160,800,800,960,0
1786626549.886690,800,800,960,0
1786626550.137172,1350,800,960,0
1786626550.387686,1350,800,960,0
1786626550.638221,1350,800,960,0
1786626550.888765,1350,800,960,0
1786626551.139247,1350,800,960,0
1786626551.389840,1350,800,960,0
1786626551.640320,1350,800,960,0
1786626551.890757,1350,800,960,0
1786626552.141210,1350,800,960,0
1786626552.391751,1350,800,960,0
1786626552.642218,1350,800,960,0
1786626552.892761,1350,800,960,0
1786626553.143234,1350,800,960,0
1786626553.393762,1350,800,960,0
1786626553.644233,1350,800,960,0
1786626553.894790,1350,800,960,0
1786626554.145266,1350,800,960,0
1786626554.395777,1350,800,960,0
1786626554.646491,1350,800,960,0
1786626554.896965,1350,800,960,0
1786626555.147510,1350,800,960,0
1786626555.397988,1350,800,960,0
1786626555.648514,1350,800,960,0
1786626555.899200,1350,800,960,0
1786626556.149743,1350,800,960,0
1786626556.400263,1350,800,960,0
1786626556.650780,1350,800,960,0
1786626556.901229,1350,800,960,0
1786626557.151763,1350,800,960,0
1786626557.402191,1350,800,960,0
1786626557.652715,1350,800,960,0
1786626557.903136,1350,800,960,0
1786626558.153615,1350,800,960,0
1786626558.404041,1350,800,960,0
1786626558.654568,1350,800,960,0
1786626558.905029,1350,800,960,0
1786626559.155582,1350,800,960,0
1786626559.406008,1350,800,960,0
1786626559.656483,1350,800,960,0
1786626559.906905,1350,800,960,0
1786626560.157454,1350,800,960,0
1786626560.407879,1350,800,960,0
1786626560.658337,1350,800,960,0
1786626560.908775,1350,800,960,0
1786626561.159194,1350,800,960,0
1786626561.409690,1350,800,960,0
1786626561.660176,1350,800,960,0
1786626561.910651,1350,800,960,0
1786626562.161074,1350,800,960,0
1786626562.411555,1350,800,960,0
1786626562.661976,1350,800,960,0
1786626562.912471,1350,800,960,0
1786626563.162896,1350,800,960,0
1786626563.413481,1350,800,960,0
1786626563.664055,1350,800,960,0
1786626563.914691,1350,800,960,0
1786626564.165265,1350,800,960,0
