t,aiclk,arcclk,axiclk,therm_trip
1786626229.621773,800,800,960,0
1786626229.873542,800,800,960,0
1786626230.124014,1350,800,960,0
1786626230.374517,1350,800,960,0
1786626230.624937,1350,800,960,0
1786626230.875415,1350,800,960,0
1786626231.125871,1350,800,960,0
1786626231.376411,1350,800,960,0
1786626231.626833,1350,800,960,0
1786626231.877272,1350,800,960,0
1786626232.127757,1350,800,960,0
1786626232.378178,1350,800,960,0
1786626232.628674,1350,800,960,0
1786626232.879096,1350,800,960,0
1786626233.129617,1350,800,960,0
1786626233.380107,1350,800,960,0
1786626233.630596,1350,800,960,0
1786626233.881014,1350,800,960,0
1786626234.131493,1350,800,960,0
1786626234.381912,1350,800,960,0
1786626234.632420,1350,800,960,0
1786626234.882839,1350,800,960,0
1786626235.133290,1350,800,960,0
1786626235.383712,1350,800,960,0
1786626235.634132,1350,800,960,0
1786626235.884619,1350,800,960,0
1786626236.135037,1350,800,960,0
1786626236.385517,1350,800,960,0
1786626236.635947,1350,800,960,0
1786626236.886438,1350,800,960,0
1786626237.136896,1350,800,960,0
1786626237.387369,1350,800,960,0
1786626237.637792,1350,800,960,0
1786626237.888212,1350,800,960,0
1786626238.138738,1350,800,960,0
1786626238.389234,1350,800,960,0
1786626238.639734,1350,800,960,0
1786626238.890153,1350,800,960,0
1786626239.140629,1350,800,960,0
1786626239.391052,1350,800,960,0
1786626239.641531,1350,800,960,0
1786626239.891948,1350,800,960,0
1786626240.142435,1350,800,960,0
1786626240.392863,1350,800,960,0
1786626240.643298,1350,800,960,0
1786626240.893719,1350,800,960,0
1786626241.144140,1350,800,960,0
1786626241.394632,1350,800,960,0
1786626241.645053,1350,800,960,0
1786626241.895538,1350,800,960,0
1786626242.145960,1350,800,960,0
1786626242.396442,1350,800,960,0
1786626242.646864,1350,800,960,0
1786626242.897290,1350,800,960,0
1786626243.147713,1350,800,960,0
1786626243.398168,1350,800,960,0
1786626243.648710,1350,800,960,0
1786626243.899132,1350,800,960,0
1786626244.149605,1350,800,960,0
1786626244.400025,1350,800,960,0
1786626244.650514,1350,800,960,0
1786626244.900958,1350,800,960,0
1786626245.151452,1350,800,960,0
1786626245.401872,1350,800,960,0
1786626245.652291,1350,800,960,0
1786626245.902739,1350,800,960,0
1786626246.153159,1350,800,960,0
1786626246.403633,1350,800,960,0
1786626246.654050,1350,800,960,0
1786626246.904528,1350,800,960,0
1786626247.154946,1350,800,960,0
1786626247.405425,1350,800,960,0
1786626247.655843,1350,800,960,0
1786626247.906327,1350,800,960,0
1786626248.156745,1350,800,960,0
1786626248.407210,1350,800,960,0
1786626248.657768,1350,800,960,0
1786626248.908185,1350,800,960,0
1786626249.158686,1350,800,960,0
1786626249.409105,1350,800,960,0
1786626249.659601,1350,800,960,0
1786626249.910040,1350,800,960,0
1786626250.160528,1350,800,960,0
1786626250.410951,1350,800,960,0
1786626250.661436,1350,800,960,0
1786626250.911855,1350,800,960,0
1786626251.162331,1350,800,960,0
1786626251.412805,1350,800,960,0
1786626251.663232,1350,800,960,0
1786626251.913706,1350,800,960,0
1786626252.164126,1350,800,960,0
1786626252.414609,1350,800,960,0
1786626252.665041,1350,800,960,0
1786626252.915530,1350,800,960,0
1786626253.165951,1350,800,960,0
1786626253.416430,1350,800,960,0
1786626253.666882,1350,800,960,0
1786626253.917437,1350,800,960,0
1786626254.167857,1350,800,960,0
1786626254.418329,1350,800,960,0
1786626254.668759,1350,800,960,0
1786626254.919180,1350,800,960,0
