t,aiclk,arcclk,axiclk,therm_trip
1786626698.599855,800,800,960,0
1786626698.852164,800,800,960,0
1786626699.102698,800,800,960,0
1786626699.353158,1350,800,960,0
1786626699.603648,1350,800,960,0
1786626699.854095,1350,800,960,0
1786626700.104617,1350,800,960,0
1786626700.355162,1350,800,960,0
1786626700.605738,1350,800,960,0
1786626700.856179,1350,800,960,0
1786626701.106677,1350,800,960,0
1786626701.357098,1350,800,960,0
1786626701.607603,1350,800,960,0
1786626701.858068,1350,800,960,0
1786626702.108563,1350,800,960,0
1786626702.358986,1350,800,960,0
1786626702.609501,1350,800,960,0
1786626702.859958,1350,800,960,0
1786626703.110462,1350,800,960,0
1786626703.360932,1350,800,960,0
1786626703.611411,1350,800,960,0
1786626703.861876,1350,800,960,0
1786626704.112329,1350,800,960,0
1786626704.362758,1350,800,960,0
1786626704.613209,1350,800,960,0
1786626704.863688,1350,800,960,0
1786626705.114157,1350,800,960,0
1786626705.364743,1350,800,960,0
1786626705.615165,1350,800,960,0
1786626705.865636,1350,800,960,0
1786626706.116104,1350,800,960,0
1786626706.366605,1350,800,960,0
1786626706.617071,1350,800,960,0
1786626706.867548,1350,800,960,0
1786626707.117970,1350,800,960,0
1786626707.368496,1350,800,960,0
1786626707.618948,1350,800,960,0
1786626707.869469,1350,800,960,0
1786626708.119926,1350,800,960,0
1786626708.370453,1350,800,960,0
1786626708.620908,1350,800,960,0
1786626708.871445,1350,800,960,0
1786626709.121903,1350,800,960,0
1786626709.372439,1350,800,960,0
1786626709.622897,1350,800,960,0
1786626709.873403,1350,800,960,0
1786626710.123879,1350,800,960,0
1786626710.374315,1350,800,960,0
1786626710.624839,1350,800,960,0
1786626710.875204,1350,800,960,0
1786626711.125615,1350,800,960,0
1786626711.376088,1350,800,960,0
1786626711.626878,1350,800,960,0
1786626711.877315,1350,800,960,0
1786626712.127736,1350,800,960,0
1786626712.378161,1350,800,960,0
1786626712.628666,1350,800,960,0
1786626712.879120,1350,800,960,0
1786626713.129596,1350,800,960,0
1786626713.380048,1350,800,960,0
1786626713.630526,1350,800,960,0
1786626713.880946,1350,800,960,0
1786626714.131420,1350,800,960,0
1786626714.381841,1350,800,960,0
1786626714.632330,1350,800,960,0
1786626714.882779,1350,800,960,0
1786626715.133199,1350,800,960,0
1786626715.383714,1350,800,960,0
1786626715.634248,1350,800,960,0
1786626715.884773,1350,800,960,0
1786626716.135224,1350,800,960,0
1786626716.385740,1350,800,960,0
1786626716.636214,1350,800,960,0
1786626716.886739,1350,800,960,0
1786626717.137210,1350,800,960,0
1786626717.387734,1350,800,960,0
1786626717.638202,1350,800,960,0
1786626717.888726,1350,800,960,0
1786626718.139198,1350,800,960,0
1786626718.389728,1350,800,960,0
1786626718.640199,1350,800,960,0
1786626718.890750,1350,800,960,0
1786626719.141217,1350,800,960,0
1786626719.391744,1350,800,960,0
1786626719.642215,1350,800,960,0
1786626719.892737,1350,800,960,0
1786626720.143213,1350,800,960,0
1786626720.393762,1350,800,960,0
1786626720.644242,1350,800,960,0
1786626720.894837,1350,800,960,0
1786626721.145308,1350,800,960,0
1786626721.395783,1350,800,960,0
1786626721.646251,1350,800,960,0
1786626721.896769,1350,800,960,0
1786626722.147222,1350,800,960,0
1786626722.397739,1350,800,960,0
1786626722.648219,1350,800,960,0
1786626722.898737,1350,800,960,0
1786626723.149209,1350,800,960,0
1786626723.399732,1350,800,960,0
1786626723.650207,1350,800,960,0
1786626723.900723,1350,800,960,0
1786626724.151193,1350,800,960,0
1786626724.401713,1350,800,960,0
1786626724.652190,1350,800,960,0
1786626724.902735,1350,800,960,0
1786626725.153205,1350,800,960,0
1786626725.403729,1350,800,960,0
1786626725.654197,1350,800,960,0
1786626725.904778,1350,800,960,0
1786626726.155243,1350,800,960,0
1786626726.405768,1350,800,960,0
1786626726.656192,1350,800,960,0
1786626726.906705,1350,800,960,0
1786626727.157157,1350,800,960,0
1786626727.407629,1350,800,960,0
1786626727.658050,1350,800,960,0
1786626727.908526,1350,800,960,0
1786626728.158983,1350,800,960,0
1786626728.409467,1350,800,960,0
1786626728.659974,1350,800,960,0
1786626728.910456,1350,800,960,0
1786626729.160938,1350,800,960,0
1786626729.411416,1350,800,960,0
1786626729.661838,1350,800,960,0
1786626729.912261,1350,800,960,0
1786626730.162734,1350,800,960,0
1786626730.413154,1350,800,960,0
1786626730.663684,1350,800,960,0
1786626730.914222,1350,800,960,0
1786626731.164745,1350,800,960,0
1786626731.415189,1350,800,960,0
1786626731.665716,1350,800,960,0
1786626731.916190,1350,800,960,0
1786626732.166713,1350,800,960,0
1786626732.417192,1350,800,960,0
1786626732.667713,1350,800,960,0
1786626732.918184,1350,800,960,0
1786626733.168707,1350,800,960,0
1786626733.419179,1350,800,960,0
1786626733.669701,1350,800,960,0
1786626733.920174,1350,800,960,0
1786626734.170700,1350,800,960,0
1786626734.421127,1350,800,960,0
1786626734.671610,1350,800,960,0
1786626734.922030,1350,800,960,0
1786626735.172506,1350,800,960,0
1786626735.422944,1350,800,960,0
1786626735.673409,1350,800,960,0
1786626735.923856,1350,800,960,0
1786626736.174392,1350,800,960,0
1786626736.424812,1350,800,960,0
1786626736.675242,1350,800,960,0
1786626736.925723,1350,800,960,0
1786626737.176147,1350,800,960,0
1786626737.426638,1350,800,960,0
1786626737.677109,1350,800,960,0
1786626737.927621,1350,800,960,0
1786626738.178095,1350,800,960,0
1786626738.428614,1350,800,960,0
1786626738.679184,1350,800,960,0
1786626738.929709,1350,800,960,0
1786626739.180193,1350,800,960,0
1786626739.430708,1350,800,960,0
1786626739.681165,1350,800,960,0
1786626739.931710,1350,800,960,0
1786626740.182205,1350,800,960,0
1786626740.432729,1350,800,960,0
1786626740.683168,1350,800,960,0
1786626740.933690,1350,800,960,0
1786626741.184224,1350,800,960,0
1786626741.434746,1350,800,960,0
1786626741.685169,1350,800,960,0
1786626741.935657,1350,800,960,0
1786626742.186100,1350,800,960,0
1786626742.436622,1350,800,960,0
1786626742.687131,1350,800,960,0
1786626742.937650,1350,800,960,0
1786626743.188074,1350,800,960,0
1786626743.438548,1350,800,960,0
1786626743.689002,1350,800,960,0
1786626743.939476,1350,800,960,0
1786626744.189900,1350,800,960,0
1786626744.440422,1350,800,960,0
1786626744.690891,1350,800,960,0
1786626744.941360,1350,800,960,0
1786626745.191833,1350,800,960,0
1786626745.442256,1350,800,960,0
1786626745.692734,1350,800,960,0
1786626745.943197,1350,800,960,0
1786626746.193696,1350,800,960,0
1786626746.444223,1350,800,960,0
1786626746.694720,1350,800,960,0
1786626746.945180,1350,800,960,0
1786626747.195680,1350,800,960,0
1786626747.446143,1350,800,960,0
1786626747.696629,1350,800,960,0
1786626747.947073,1350,800,960,0
1786626748.197594,800,800,960,0
1786626748.448015,800,800,960,0
1786626748.698528,800,800,960,0
1786626748.949011,800,800,960,0
1786626749.199512,800,800,960,0
1786626749.449937,800,800,960,0
1786626749.700414,800,800,960,0
