phase,i,t_start,t_end,t_mid,dt_s,ok,power_w,voltage_v,current_a,aiclk_mhz,temp_c,error
run,0,1786627699.611769,1786627700.909548,1786627700.260659,0.652100,1,84.0000,0.8600,98.0000,1350.0000,54.6000,
run,1,1786627700.909790,1786627701.910483,1786627701.410136,1.801578,1,67.0000,0.8600,78.0000,1350.0000,54.3000,
run,2,1786627701.910583,1786627702.900109,1786627702.405346,2.796788,1,67.0000,0.8600,78.0000,1350.0000,54.4000,
run,3,1786627702.900213,1786627703.884420,1786627703.392316,3.783758,1,69.0000,0.8600,81.0000,1350.0000,54.4000,
run,4,1786627703.884465,1786627704.868161,1786627704.376313,4.767755,1,68.0000,0.8600,79.0000,1350.0000,54.5000,
run,5,1786627704.868260,1786627705.853071,1786627705.360666,5.752107,1,67.0000,0.8600,78.0000,1350.0000,54.5000,
run,6,1786627705.853379,1786627706.840579,1786627706.346979,6.738420,1,67.0000,0.8600,78.0000,1350.0000,54.4000,
run,7,1786627706.840682,1786627707.832010,1786627707.336346,7.727787,1,68.0000,0.8600,79.0000,1350.0000,54.5000,
run,8,1786627707.832107,1786627708.817594,1786627708.324851,8.716292,1,69.0000,0.8600,81.0000,1350.0000,54.4000,
run,9,1786627708.817693,1786627709.803973,1786627709.310833,9.702275,1,68.0000,0.8600,79.0000,1350.0000,54.5000,
run,10,1786627709.804020,1786627710.777769,1786627710.290894,10.682336,1,67.0000,0.8600,78.0000,1350.0000,54.9000,
run,11,1786627710.778005,1786627711.759732,1786627711.268869,11.660310,1,69.0000,0.8600,81.0000,1350.0000,54.5000,
run,12,1786627711.759832,1786627712.754877,1786627712.257354,12.648796,1,67.0000,0.8600,78.0000,1350.0000,54.8000,
run,13,1786627712.754975,1786627713.740568,1786627713.247771,13.639213,1,67.0000,0.8600,78.0000,1350.0000,54.8000,
run,14,1786627713.740665,1786627714.723902,1786627714.232284,14.623725,1,69.0000,0.8600,81.0000,1350.0000,54.8000,
run,15,1786627714.724002,1786627715.711830,1786627715.217916,15.609358,1,69.0000,0.8600,81.0000,1350.0000,54.8000,
run,16,1786627715.711929,1786627716.696436,1786627716.204183,16.595624,1,69.0000,0.8600,81.0000,1350.0000,54.8000,
run,17,1786627716.696683,1786627717.678590,1786627717.187637,17.579078,1,69.0000,0.8600,81.0000,1350.0000,54.6000,
run,18,1786627717.678690,1786627718.662862,1786627718.170776,18.562217,1,68.0000,0.8600,79.0000,1350.0000,54.9000,
run,19,1786627718.662958,1786627719.653740,1786627719.158349,19.549791,1,67.0000,0.8600,78.0000,1350.0000,54.8000,
run,20,1786627719.653839,1786627720.650707,1786627720.152273,20.543715,1,69.0000,0.8600,81.0000,1350.0000,54.8000,
run,21,1786627720.650807,1786627721.636781,1786627721.143794,21.535236,1,69.0000,0.8600,81.0000,1350.0000,54.8000,
run,22,1786627721.637013,1786627722.623389,1786627722.130201,22.521642,1,69.0000,0.8600,81.0000,1350.0000,54.8000,
run,23,1786627722.623484,1786627723.607925,1786627723.115705,23.507146,1,69.0000,0.8600,81.0000,1350.0000,54.9000,
run,24,1786627723.608022,1786627724.596368,1786627724.102195,24.493637,1,68.0000,0.8600,79.0000,1350.0000,54.8000,
run,25,1786627724.596465,1786627725.584639,1786627725.090552,25.481993,1,68.0000,0.8600,79.0000,1350.0000,54.9000,
run,26,1786627725.584738,1786627726.569525,1786627726.077131,26.468573,1,68.0000,0.8600,79.0000,1350.0000,54.6000,
run,27,1786627726.569759,1786627727.557136,1786627727.063447,27.454889,1,68.0000,0.8600,79.0000,1350.0000,55.0000,
run,28,1786627727.557231,1786627728.539699,1786627728.048465,28.439907,1,69.0000,0.8600,81.0000,1350.0000,55.0000,
run,29,1786627728.539794,1786627729.522535,1786627729.031165,29.422606,1,69.0000,0.8600,81.0000,1350.0000,54.8000,
run,30,1786627729.522634,1786627730.497746,1786627730.010190,30.401631,1,69.0000,0.8600,81.0000,1350.0000,54.9000,
run,31,1786627730.497844,1786627731.468757,1786627730.983301,31.374742,1,68.0000,0.8600,79.0000,1350.0000,54.9000,
run,32,1786627731.468991,1786627732.462575,1786627731.965783,32.357225,1,69.0000,0.8600,81.0000,1350.0000,54.8000,
run,33,1786627732.462674,1786627733.449194,1786627732.955934,33.347376,1,69.0000,0.8600,81.0000,1350.0000,54.9000,
run,34,1786627733.449369,1786627734.433498,1786627733.941434,34.332875,1,69.0000,0.8600,81.0000,1350.0000,54.9000,
run,35,1786627734.433681,1786627735.405971,1786627734.919826,35.311268,1,68.0000,0.8600,79.0000,1350.0000,54.9000,
run,36,1786627735.406069,1786627736.390916,1786627735.898492,36.289934,1,68.0000,0.8600,79.0000,1350.0000,54.9000,
run,37,1786627736.391149,1786627737.378071,1786627736.884610,37.276052,1,68.0000,0.8600,79.0000,1350.0000,55.1000,
run,38,1786627737.378169,1786627738.358433,1786627737.868301,38.259742,1,68.0000,0.8600,79.0000,1350.0000,55.3000,
run,39,1786627738.358531,1786627739.344020,1786627738.851275,39.242717,1,69.0000,0.8600,81.0000,1350.0000,54.9000,
run,40,1786627739.344115,1786627740.326397,1786627739.835257,40.226698,1,69.0000,0.8600,81.0000,1350.0000,55.1000,
run,41,1786627740.326446,1786627741.317723,1786627740.822084,41.213526,1,68.0000,0.8600,79.0000,1350.0000,55.0000,
run,42,1786627741.317769,1786627742.302694,1786627741.810232,42.201673,1,69.0000,0.8600,81.0000,1350.0000,54.9000,
run,43,1786627742.302922,1786627743.290738,1786627742.796830,43.188271,1,68.0000,0.8600,79.0000,1350.0000,55.0000,
run,44,1786627743.290831,1786627744.270411,1786627743.780621,44.172062,1,68.0000,0.8600,79.0000,1350.0000,55.3000,
run,45,1786627744.270507,1786627745.253821,1786627744.762164,45.153606,1,68.0000,0.8600,79.0000,1350.0000,55.0000,
run,46,1786627745.253916,1786627746.229574,1786627745.741745,46.133187,1,69.0000,0.8600,81.0000,1350.0000,54.9000,
run,47,1786627746.229668,1786627747.220909,1786627746.725288,47.116730,1,68.0000,0.8600,79.0000,1350.0000,55.0000,
run,48,1786627747.221149,1786627748.228788,1786627747.724968,48.116410,1,68.0000,0.8600,79.0000,1350.0000,55.1000,
run,49,1786627748.228887,1786627749.213906,1786627748.721396,49.112838,1,68.0000,0.8600,79.0000,1350.0000,55.0000,
run,50,1786627749.214005,1786627750.201868,1786627749.707936,50.099378,1,39.0000,0.7400,54.0000,800.0000,52.8000,
