phase,i,t_start,t_end,t_mid,dt_s,ok,power_w,voltage_v,current_a,aiclk_mhz,temp_c,error
run,0,1786627326.003805,1786627327.460756,1786627326.732281,0.731371,1,82.0000,0.8600,96.0000,1350.0000,53.6000,
run,1,1786627327.460917,1786627328.436879,1786627327.948898,1.947989,1,69.0000,0.8600,81.0000,1350.0000,53.4000,
run,2,1786627328.436993,1786627329.442873,1786627328.939933,2.939023,1,67.0000,0.8600,78.0000,1350.0000,53.5000,
run,3,1786627329.442979,1786627330.467056,1786627329.955017,3.954108,1,67.0000,0.8600,78.0000,1350.0000,53.5000,
run,4,1786627330.467167,1786627331.513731,1786627330.990449,4.989540,1,69.0000,0.8600,81.0000,1350.0000,53.7000,
run,5,1786627331.513921,1786627332.513036,1786627332.013479,6.012569,1,69.0000,0.8600,81.0000,1350.0000,53.5000,
run,6,1786627332.513156,1786627333.534603,1786627333.023880,7.022970,1,69.0000,0.8600,81.0000,1350.0000,53.6000,
run,7,1786627333.534711,1786627334.533475,1786627334.034093,8.033184,1,67.0000,0.8600,78.0000,1350.0000,53.6000,
run,8,1786627334.533582,1786627335.555423,1786627335.044502,9.043593,1,67.0000,0.8600,78.0000,1350.0000,53.5000,
run,9,1786627335.555533,1786627336.580522,1786627336.068028,10.067118,1,69.0000,0.8600,81.0000,1350.0000,53.9000,
run,10,1786627336.580740,1786627337.619561,1786627337.100151,11.099241,1,68.0000,0.8600,79.0000,1350.0000,53.6000,
run,11,1786627337.619674,1786627338.637398,1786627338.128536,12.127627,1,69.0000,0.8600,81.0000,1350.0000,53.9000,
run,12,1786627338.637508,1786627339.631583,1786627339.134545,13.133636,1,67.0000,0.8600,78.0000,1350.0000,53.9000,
run,13,1786627339.631686,1786627340.658631,1786627340.145159,14.144249,1,69.0000,0.8600,81.0000,1350.0000,54.0000,
run,14,1786627340.658681,1786627341.695071,1786627341.176876,15.175967,1,67.0000,0.8600,78.0000,1350.0000,54.0000,
run,15,1786627341.695377,1786627342.703777,1786627342.199577,16.198667,1,67.0000,0.8600,78.0000,1350.0000,54.1000,
run,16,1786627342.703826,1786627343.725809,1786627343.214818,17.213908,1,67.0000,0.8600,78.0000,1350.0000,53.7000,
run,17,1786627343.725919,1786627344.715862,1786627344.220891,18.219981,1,68.0000,0.8600,79.0000,1350.0000,54.1000,
run,18,1786627344.715970,1786627345.734179,1786627345.225075,19.224165,1,68.0000,0.8600,79.0000,1350.0000,54.0000,
run,19,1786627345.734550,1786627346.775064,1786627346.254807,20.253897,1,68.0000,0.8600,79.0000,1350.0000,54.3000,
run,20,1786627346.775269,1786627347.812569,1786627347.293919,21.293010,1,69.0000,0.8600,81.0000,1350.0000,54.3000,
run,21,1786627347.812673,1786627348.817540,1786627348.315107,22.314197,1,69.0000,0.8600,81.0000,1350.0000,54.3000,
run,22,1786627348.817649,1786627349.981654,1786627349.399652,23.398742,1,69.0000,0.8600,81.0000,1350.0000,54.4000,
run,23,1786627349.981745,1786627351.034519,1786627350.508132,24.507222,1,69.0000,0.8600,81.0000,1350.0000,54.3000,
run,24,1786627351.034636,1786627352.008803,1786627351.521719,25.520810,1,67.0000,0.8600,78.0000,1350.0000,54.3000,
run,25,1786627352.009025,1786627353.005836,1786627352.507431,26.506521,1,69.0000,0.8600,81.0000,1350.0000,54.3000,
run,26,1786627353.005887,1786627354.035385,1786627353.520636,27.519727,1,69.0000,0.8600,81.0000,1350.0000,54.3000,
run,27,1786627354.035435,1786627355.067156,1786627354.551296,28.550386,1,69.0000,0.8600,81.0000,1350.0000,54.1000,
run,28,1786627355.067206,1786627356.068473,1786627355.567839,29.566930,1,67.0000,0.8600,78.0000,1350.0000,54.3000,
run,29,1786627356.068521,1786627357.052997,1786627356.560759,30.559849,1,69.0000,0.8600,81.0000,1350.0000,54.1000,
run,30,1786627357.053401,1786627358.045078,1786627357.549239,31.548330,1,69.0000,0.8600,81.0000,1350.0000,54.6000,
run,31,1786627358.045197,1786627359.082588,1786627358.563893,32.562983,1,69.0000,0.8600,81.0000,1350.0000,54.4000,
run,32,1786627359.082690,1786627360.084873,1786627359.583782,33.582872,1,69.0000,0.8600,81.0000,1350.0000,54.1000,
run,33,1786627360.084978,1786627361.126069,1786627360.605524,34.604614,1,68.0000,0.8600,79.0000,1350.0000,54.3000,
run,34,1786627361.126184,1786627362.159842,1786627361.643013,35.642103,1,69.0000,0.8600,81.0000,1350.0000,54.3000,
run,35,1786627362.160095,1786627363.156420,1786627362.658257,36.657348,1,69.0000,0.8600,81.0000,1350.0000,54.6000,
run,36,1786627363.156529,1786627364.140602,1786627363.648566,37.647656,1,69.0000,0.8600,81.0000,1350.0000,54.4000,
run,37,1786627364.140704,1786627365.120503,1786627364.630603,38.629694,1,69.0000,0.8600,81.0000,1350.0000,54.5000,
run,38,1786627365.120607,1786627366.148478,1786627365.634542,39.633633,1,67.0000,0.8600,78.0000,1350.0000,54.3000,
run,39,1786627366.148592,1786627367.196534,1786627366.672563,40.671654,1,67.0000,0.8600,78.0000,1350.0000,54.5000,
run,40,1786627367.196693,1786627368.231800,1786627367.714247,41.713337,1,68.0000,0.8600,79.0000,1350.0000,54.5000,
run,41,1786627368.231907,1786627369.283986,1786627368.757946,42.757037,1,69.0000,0.8600,81.0000,1350.0000,54.6000,
run,42,1786627369.284100,1786627370.299231,1786627369.791666,43.790756,1,68.0000,0.8600,79.0000,1350.0000,54.5000,
run,43,1786627370.299423,1786627371.309568,1786627370.804495,44.803586,1,68.0000,0.8600,79.0000,1350.0000,54.5000,
run,44,1786627371.309679,1786627372.346886,1786627371.828283,45.827373,1,68.0000,0.8600,79.0000,1350.0000,54.5000,
run,45,1786627372.346932,1786627373.375526,1786627372.861229,46.860319,1,68.0000,0.8600,79.0000,1350.0000,54.5000,
