phase,i,t_start,t_end,t_mid,dt_s,ok,power_w,voltage_v,current_a,aiclk_mhz,temp_c,error
run,0,1786627956.245840,1786627957.601817,1786627956.923829,0.681507,1,82.0000,0.8600,96.0000,1350.0000,53.7000,
run,1,1786627957.602474,1786627958.592271,1786627958.097373,1.855051,1,69.0000,0.8600,81.0000,1350.0000,53.6000,
run,2,1786627958.592457,1786627959.591139,1786627959.091798,2.849476,1,67.0000,0.8600,78.0000,1350.0000,53.6000,
run,3,1786627959.591248,1786627960.578974,1786627960.085111,3.842789,1,69.0000,0.8600,81.0000,1350.0000,53.4000,
run,4,1786627960.579086,1786627961.574858,1786627961.076972,4.834650,1,69.0000,0.8600,81.0000,1350.0000,53.7000,
run,5,1786627961.575095,1786627962.579415,1786627962.077255,5.834933,1,67.0000,0.8600,78.0000,1350.0000,53.9000,
run,6,1786627962.579526,1786627963.609811,1786627963.094669,6.852347,1,69.0000,0.8600,81.0000,1350.0000,53.9000,
run,7,1786627963.609921,1786627964.654011,1786627964.131966,7.889644,1,70.0000,0.8600,82.0000,1350.0000,53.9000,
run,8,1786627964.654124,1786627965.653924,1786627965.154024,8.911702,1,67.0000,0.8600,78.0000,1350.0000,54.1000,
run,9,1786627965.654031,1786627966.639265,1786627966.146648,9.904326,1,68.0000,0.8600,79.0000,1350.0000,54.1000,
run,10,1786627966.639575,1786627967.606211,1786627967.122893,10.880571,1,69.0000,0.8600,81.0000,1350.0000,53.9000,
run,11,1786627967.606403,1786627968.597078,1786627968.101741,11.859419,1,67.0000,0.8600,78.0000,1350.0000,54.3000,
run,12,1786627968.597188,1786627969.595235,1786627969.096212,12.853890,1,69.0000,0.8600,81.0000,1350.0000,54.1000,
run,13,1786627969.595417,1786627970.580199,1786627970.087808,13.845486,1,69.0000,0.8600,81.0000,1350.0000,54.0000,
run,14,1786627970.580378,1786627971.565370,1786627971.072874,14.830552,1,68.0000,0.8600,79.0000,1350.0000,54.1000,
run,15,1786627971.565417,1786627972.554388,1786627972.059902,15.817580,1,69.0000,0.8600,81.0000,1350.0000,54.1000,
run,16,1786627972.554647,1786627973.537260,1786627973.045953,16.803631,1,69.0000,0.8600,81.0000,1350.0000,54.1000,
run,17,1786627973.537361,1786627974.506589,1786627974.021975,17.779653,1,69.0000,0.8600,81.0000,1350.0000,54.4000,
run,18,1786627974.506703,1786627975.488406,1786627974.997554,18.755232,1,69.0000,0.8600,81.0000,1350.0000,54.1000,
run,19,1786627975.488455,1786627976.469602,1786627975.979028,19.736706,1,69.0000,0.8600,81.0000,1350.0000,54.0000,
run,20,1786627976.469712,1786627977.458030,1786627976.963871,20.721549,1,69.0000,0.8600,81.0000,1350.0000,54.3000,
run,21,1786627977.458351,1786627978.482013,1786627977.970182,21.727860,1,68.0000,0.8600,79.0000,1350.0000,54.3000,
run,22,1786627978.482129,1786627979.487047,1786627978.984588,22.742266,1,67.0000,0.8600,78.0000,1350.0000,54.4000,
run,23,1786627979.487162,1786627980.482892,1786627979.985027,23.742705,1,69.0000,0.8600,81.0000,1350.0000,54.4000,
run,24,1786627980.483004,1786627981.471758,1786627980.977381,24.735059,1,69.0000,0.8600,81.0000,1350.0000,54.3000,
run,25,1786627981.471807,1786627982.450446,1786627981.961127,25.718805,1,67.0000,0.8600,78.0000,1350.0000,54.3000,
run,26,1786627982.450680,1786627983.435825,1786627982.943253,26.700931,1,69.0000,0.8600,81.0000,1350.0000,54.3000,
run,27,1786627983.435933,1786627984.414659,1786627983.925296,27.682974,1,67.0000,0.8600,78.0000,1350.0000,54.5000,
run,28,1786627984.414771,1786627985.400456,1786627984.907614,28.665292,1,67.0000,0.8600,78.0000,1350.0000,54.4000,
run,29,1786627985.400563,1786627986.372048,1786627985.886306,29.643984,1,67.0000,0.8600,78.0000,1350.0000,54.3000,
run,30,1786627986.372158,1786627987.358501,1786627986.865330,30.623008,1,69.0000,0.8600,81.0000,1350.0000,54.5000,
run,31,1786627987.358742,1786627988.344618,1786627987.851680,31.609358,1,67.0000,0.8600,78.0000,1350.0000,54.5000,
run,32,1786627988.344726,1786627989.328173,1786627988.836450,32.594128,1,68.0000,0.8600,79.0000,1350.0000,54.5000,
run,33,1786627989.328365,1786627990.323880,1786627989.826123,33.583801,1,67.0000,0.8600,78.0000,1350.0000,54.5000,
run,34,1786627990.323994,1786627991.362630,1786627990.843312,34.600990,1,67.0000,0.8600,78.0000,1350.0000,54.4000,
run,35,1786627991.362893,1786627992.374790,1786627991.868841,35.626519,1,70.0000,0.8600,82.0000,1350.0000,54.5000,
run,36,1786627992.375036,1786627993.360836,1786627992.867936,36.625614,1,70.0000,0.8600,82.0000,1350.0000,54.5000,
run,37,1786627993.360943,1786627994.375067,1786627993.868005,37.625683,1,69.0000,0.8600,81.0000,1350.0000,54.5000,
run,38,1786627994.375115,1786627995.354993,1786627994.865054,38.622732,1,68.0000,0.8600,79.0000,1350.0000,54.4000,
run,39,1786627995.355107,1786627996.336952,1786627995.846030,39.603708,1,69.0000,0.8600,81.0000,1350.0000,54.6000,
run,40,1786627996.337059,1786627997.319442,1786627996.828250,40.585928,1,68.0000,0.8600,79.0000,1350.0000,54.8000,
run,41,1786627997.319490,1786627998.304033,1786627997.811762,41.569440,1,68.0000,0.8600,79.0000,1350.0000,54.5000,
run,42,1786627998.304352,1786627999.289989,1786627998.797171,42.554849,1,69.0000,0.8600,81.0000,1350.0000,54.6000,
run,43,1786627999.290038,1786628000.260619,1786627999.775329,43.533007,1,68.0000,0.8600,79.0000,1350.0000,54.8000,
run,44,1786628000.260732,1786628001.243230,1786628000.751981,44.509659,1,68.0000,0.8600,79.0000,1350.0000,54.5000,
run,45,1786628001.243418,1786628002.229016,1786628001.736217,45.493895,1,68.0000,0.8600,79.0000,1350.0000,54.5000,
run,46,1786628002.229128,1786628003.215702,1786628002.722414,46.480093,1,69.0000,0.8600,81.0000,1350.0000,54.6000,
run,47,1786628003.215950,1786628004.201726,1786628003.708838,47.466516,1,69.0000,0.8600,81.0000,1350.0000,55.0000,
run,48,1786628004.201776,1786628005.173731,1786628004.687753,48.445431,1,69.0000,0.8600,81.0000,1350.0000,54.6000,
run,49,1786628005.173846,1786628006.154842,1786628005.664344,49.422022,1,42.0000,0.7400,57.0000,800.0000,53.4000,
run,50,1786628006.154949,1786628007.147547,1786628006.651248,50.408926,1,39.0000,0.7400,54.0000,800.0000,51.7000,
