phase,i,t_start,t_end,t_mid,dt_s,ok,power_w,voltage_v,current_a,aiclk_mhz,temp_c,error
run,0,1786628062.668233,1786628064.116454,1786628063.392344,0.727347,1,82.0000,0.8600,96.0000,1350.0000,54.0000,
run,1,1786628064.116698,1786628065.117905,1786628064.617302,1.952305,1,68.0000,0.8600,79.0000,1350.0000,53.9000,
run,2,1786628065.118016,1786628066.105064,1786628065.611540,2.946544,1,67.0000,0.8600,78.0000,1350.0000,54.0000,
run,3,1786628066.105173,1786628067.095820,1786628066.600497,3.935500,1,67.0000,0.8600,78.0000,1350.0000,54.0000,
run,4,1786628067.095926,1786628068.063509,1786628067.579718,4.914721,1,69.0000,0.8600,81.0000,1350.0000,54.0000,
run,5,1786628068.063618,1786628069.039423,1786628068.551521,5.886524,1,68.0000,0.8600,79.0000,1350.0000,54.3000,
run,6,1786628069.039774,1786628070.019776,1786628069.529775,6.864779,1,67.0000,0.8600,78.0000,1350.0000,54.4000,
run,7,1786628070.019882,1786628070.994369,1786628070.507126,7.842129,1,69.0000,0.8600,81.0000,1350.0000,54.0000,
run,8,1786628070.994483,1786628071.995497,1786628071.494990,8.829993,1,69.0000,0.8600,81.0000,1350.0000,54.1000,
run,9,1786628071.995544,1786628072.979498,1786628072.487521,9.822525,1,67.0000,0.8600,78.0000,1350.0000,54.1000,
run,10,1786628072.979607,1786628073.962497,1786628073.471052,10.806056,1,67.0000,0.8600,78.0000,1350.0000,54.4000,
run,11,1786628073.962544,1786628074.949883,1786628074.456213,11.791217,1,69.0000,0.8600,81.0000,1350.0000,54.4000,
run,12,1786628074.950126,1786628075.933132,1786628075.441629,12.776633,1,67.0000,0.8600,78.0000,1350.0000,54.5000,
run,13,1786628075.933241,1786628076.928079,1786628076.430660,13.765664,1,67.0000,0.8600,78.0000,1350.0000,54.5000,
run,14,1786628076.928187,1786628077.900144,1786628077.414165,14.749169,1,67.0000,0.8600,78.0000,1350.0000,54.5000,
run,15,1786628077.900251,1786628078.884688,1786628078.392469,15.727473,1,67.0000,0.8600,78.0000,1350.0000,54.4000,
run,16,1786628078.884736,1786628079.869403,1786628079.377069,16.712073,1,69.0000,0.8600,81.0000,1350.0000,54.4000,
run,17,1786628079.869652,1786628080.854457,1786628080.362055,17.697058,1,67.0000,0.8600,78.0000,1350.0000,54.4000,
run,18,1786628080.854569,1786628081.840671,1786628081.347620,18.682624,1,69.0000,0.8600,81.0000,1350.0000,54.4000,
run,19,1786628081.840719,1786628082.832594,1786628082.336657,19.671660,1,68.0000,0.8600,79.0000,1350.0000,54.5000,
run,20,1786628082.832701,1786628083.814531,1786628083.323616,20.658620,1,67.0000,0.8600,78.0000,1350.0000,54.5000,
run,21,1786628083.814640,1786628084.798856,1786628084.306748,21.641751,1,68.0000,0.8600,79.0000,1350.0000,54.6000,
run,22,1786628084.799100,1786628085.782394,1786628085.290747,22.625751,1,67.0000,0.8600,78.0000,1350.0000,54.8000,
run,23,1786628085.782503,1786628086.768562,1786628086.275532,23.610536,1,67.0000,0.8600,78.0000,1350.0000,54.9000,
run,24,1786628086.768671,1786628087.739974,1786628087.254322,24.589326,1,69.0000,0.8600,81.0000,1350.0000,54.9000,
run,25,1786628087.740085,1786628088.716705,1786628088.228395,25.563399,1,69.0000,0.8600,81.0000,1350.0000,54.9000,
run,26,1786628088.716815,1786628089.699251,1786628089.208033,26.543036,1,69.0000,0.8600,81.0000,1350.0000,54.8000,
run,27,1786628089.699573,1786628090.683237,1786628090.191405,27.526408,1,67.0000,0.8600,78.0000,1350.0000,54.8000,
run,28,1786628090.683412,1786628091.667045,1786628091.175229,28.510232,1,68.0000,0.8600,79.0000,1350.0000,54.6000,
run,29,1786628091.667152,1786628092.638830,1786628092.152991,29.487994,1,67.0000,0.8600,78.0000,1350.0000,54.6000,
run,30,1786628092.638938,1786628093.618186,1786628093.128562,30.463566,1,68.0000,0.8600,79.0000,1350.0000,54.8000,
run,31,1786628093.618366,1786628094.600879,1786628094.109622,31.444626,1,69.0000,0.8600,81.0000,1350.0000,54.9000,
run,32,1786628094.600984,1786628095.584411,1786628095.092697,32.427701,1,68.0000,0.8600,79.0000,1350.0000,54.9000,
run,33,1786628095.584657,1786628096.632926,1786628096.108792,33.443795,1,68.0000,0.8600,79.0000,1350.0000,54.9000,
run,34,1786628096.633034,1786628097.625982,1786628097.129508,34.464511,1,69.0000,0.8600,81.0000,1350.0000,54.8000,
run,35,1786628097.626250,1786628098.596573,1786628098.111411,35.446415,1,69.0000,0.8600,81.0000,1350.0000,54.8000,
run,36,1786628098.596683,1786628099.579371,1786628099.088027,36.423031,1,67.0000,0.8600,78.0000,1350.0000,54.8000,
run,37,1786628099.579481,1786628100.563120,1786628100.071301,37.406304,1,68.0000,0.8600,79.0000,1350.0000,54.8000,
run,38,1786628100.563442,1786628101.548924,1786628101.056183,38.391187,1,67.0000,0.8600,78.0000,1350.0000,54.6000,
run,39,1786628101.549032,1786628102.531574,1786628102.040303,39.375307,1,68.0000,0.8600,79.0000,1350.0000,54.6000,
run,40,1786628102.531684,1786628103.514761,1786628103.023222,40.358226,1,67.0000,0.8600,78.0000,1350.0000,54.9000,
run,41,1786628103.514808,1786628104.500939,1786628104.007874,41.342877,1,69.0000,0.8600,81.0000,1350.0000,54.6000,
run,42,1786628104.501049,1786628105.475563,1786628104.988306,42.323310,1,69.0000,0.8600,81.0000,1350.0000,55.0000,
run,43,1786628105.475810,1786628106.452092,1786628105.963951,43.298955,1,67.0000,0.8600,78.0000,1350.0000,54.6000,
run,44,1786628106.452148,1786628107.432828,1786628106.942488,44.277492,1,68.0000,0.8600,79.0000,1350.0000,54.8000,
run,45,1786628107.432935,1786628108.413942,1786628107.923439,45.258442,1,69.0000,0.8600,81.0000,1350.0000,54.8000,
run,46,1786628108.414051,1786628109.399965,1786628108.907008,46.242012,1,68.0000,0.8600,79.0000,1350.0000,54.9000,
run,47,1786628109.400076,1786628110.373894,1786628109.886985,47.221989,1,69.0000,0.8600,81.0000,1350.0000,55.1000,
run,48,1786628110.374139,1786628111.353399,1786628110.863769,48.198773,1,68.0000,0.8600,79.0000,1350.0000,54.9000,
run,49,1786628111.353504,1786628112.325551,1786628111.839528,49.174531,1,44.0000,0.7400,60.0000,800.0000,55.0000,
run,50,1786628112.325664,1786628113.308488,1786628112.817076,50.152079,1,39.0000,0.7400,54.0000,800.0000,52.6000,
