session,cycle,slot,label,arm,inner,status,start_s,end_s,launches,wall_s,launches_per_s,pre_file,pow_file,clk_file,post_file,tt_smi_version
20260813T134114,0,0,baseline,baseline,0,ok,1786624877.034434,1786624917.074942,0,40,0,raw/c0-s0-baseline.pre.csv,raw/c0-s0-baseline.pow.csv,raw/c0-s0-baseline.clk.csv,,6.2.0
20260813T134114,0,1,idle-0,idle,0,ok,1786624920.131956,1786624970.875311,34036,48.001242,709.065,raw/c0-s1-idle-0.pre.csv,raw/c0-s1-idle-0.pow.csv,raw/c0-s1-idle-0.clk.csv,,6.2.0
20260813T134114,0,2,rv-200000,rv,200000,ok,1786624973.466320,1786625023.875249,19588,48.002432,408.063,raw/c0-s2-rv-200000.pre.csv,raw/c0-s2-rv-200000.pow.csv,raw/c0-s2-rv-200000.clk.csv,,6.2.0
20260813T134114,0,3,noc-4096,noc,4096,ok,1786625026.513309,1786625076.986665,16362,48.000633,340.871,raw/c0-s3-noc-4096.pre.csv,raw/c0-s3-noc-4096.pow.csv,raw/c0-s3-noc-4096.clk.csv,,6.2.0
20260813T134114,0,4,mm-4096,mm,4096,ok,1786625080.088809,1786625130.483484,29599,48.000049,616.645,raw/c0-s4-mm-4096.pre.csv,raw/c0-s4-mm-4096.pow.csv,raw/c0-s4-mm-4096.clk.csv,,6.2.0
20260813T134114,0,5,sfpu-4096,sfpu,4096,ok,1786625133.414809,1786625184.012338,23820,48.001008,496.240,raw/c0-s5-sfpu-4096.pre.csv,raw/c0-s5-sfpu-4096.pow.csv,raw/c0-s5-sfpu-4096.clk.csv,,6.2.0
20260813T134114,0,6,rv-800000,rv,800000,ok,1786625186.755744,1786625237.202736,8630,48.003313,179.779,raw/c0-s6-rv-800000.pre.csv,raw/c0-s6-rv-800000.pow.csv,raw/c0-s6-rv-800000.clk.csv,,6.2.0
20260813T134114,0,7,noc-16384,noc,16384,ok,1786625239.554926,1786625289.999935,6415,48.007289,133.626,raw/c0-s7-noc-16384.pre.csv,raw/c0-s7-noc-16384.pow.csv,raw/c0-s7-noc-16384.clk.csv,,6.2.0
20260813T134114,0,8,mm-16384,mm,16384,ok,1786625292.644706,1786625343.007636,21448,48.000564,446.828,raw/c0-s8-mm-16384.pre.csv,raw/c0-s8-mm-16384.pow.csv,raw/c0-s8-mm-16384.clk.csv,,6.2.0
20260813T134114,0,9,sfpu-16384,sfpu,16384,ok,1786625345.982300,1786625396.412937,12651,48.003055,263.546,raw/c0-s9-sfpu-16384.pre.csv,raw/c0-s9-sfpu-16384.pow.csv,raw/c0-s9-sfpu-16384.clk.csv,,6.2.0
20260813T134114,0,10,noc-4096__control,noc,4096,ok,1786625399.280309,1786625449.604689,16365,48.000929,340.931,raw/c0-s10-noc-4096__control.pre.csv,raw/c0-s10-noc-4096__control.pow.csv,raw/c0-s10-noc-4096__control.clk.csv,,6.2.0
20260813T134114,1,0,baseline,baseline,0,ok,1786625452.126869,1786625492.168098,0,40,0,raw/c1-s0-baseline.pre.csv,raw/c1-s0-baseline.pow.csv,raw/c1-s0-baseline.clk.csv,,6.2.0
20260813T134114,1,1,idle-0,idle,0,ok,1786625495.422115,1786625545.835507,34052,48.000456,709.410,raw/c1-s1-idle-0.pre.csv,raw/c1-s1-idle-0.pow.csv,raw/c1-s1-idle-0.clk.csv,,6.2.0
20260813T134114,1,2,rv-200000,rv,200000,ok,1786625549.042250,1786625599.314213,19616,48.001792,408.651,raw/c1-s2-rv-200000.pre.csv,raw/c1-s2-rv-200000.pow.csv,raw/c1-s2-rv-200000.clk.csv,,6.2.0
20260813T134114,1,3,noc-4096,noc,4096,ok,1786625602.633432,1786625652.936299,16379,48.001427,341.219,raw/c1-s3-noc-4096.pre.csv,raw/c1-s3-noc-4096.pow.csv,raw/c1-s3-noc-4096.clk.csv,,6.2.0
20260813T134114,1,4,mm-4096,mm,4096,ok,1786625655.770726,1786625706.131563,29477,48.001332,614.087,raw/c1-s4-mm-4096.pre.csv,raw/c1-s4-mm-4096.pow.csv,raw/c1-s4-mm-4096.clk.csv,,6.2.0
20260813T134114,1,5,sfpu-4096,sfpu,4096,ok,1786625708.850590,1786625759.226484,23828,48.001443,496.402,raw/c1-s5-sfpu-4096.pre.csv,raw/c1-s5-sfpu-4096.pow.csv,raw/c1-s5-sfpu-4096.clk.csv,,6.2.0
20260813T134114,1,6,rv-800000,rv,800000,ok,1786625761.968930,1786625812.232921,8628,48.000365,179.749,raw/c1-s6-rv-800000.pre.csv,raw/c1-s6-rv-800000.pow.csv,raw/c1-s6-rv-800000.clk.csv,,6.2.0
20260813T134114,1,7,noc-16384,noc,16384,ok,1786625815.077642,1786625865.343348,6413,48.000256,133.603,raw/c1-s7-noc-16384.pre.csv,raw/c1-s7-noc-16384.pow.csv,raw/c1-s7-noc-16384.clk.csv,,6.2.0
20260813T134114,1,8,mm-16384,mm,16384,ok,1786625868.125605,1786625918.459987,21441,48.001511,446.673,raw/c1-s8-mm-16384.pre.csv,raw/c1-s8-mm-16384.pow.csv,raw/c1-s8-mm-16384.clk.csv,,6.2.0
20260813T134114,1,9,sfpu-16384,sfpu,16384,ok,1786625921.427678,1786625971.753652,12593,48.002559,262.340,raw/c1-s9-sfpu-16384.pre.csv,raw/c1-s9-sfpu-16384.pow.csv,raw/c1-s9-sfpu-16384.clk.csv,,6.2.0
20260813T134114,1,10,noc-4096__control,noc,4096,ok,1786625974.750721,1786626025.060127,16375,48.000449,341.143,raw/c1-s10-noc-4096__control.pre.csv,raw/c1-s10-noc-4096__control.pow.csv,raw/c1-s10-noc-4096__control.clk.csv,,6.2.0
20260813T134114,2,0,baseline,baseline,0,ok,1786626027.648403,1786626067.688716,0,40,0,raw/c2-s0-baseline.pre.csv,raw/c2-s0-baseline.pow.csv,raw/c2-s0-baseline.clk.csv,,6.2.0
20260813T134114,2,1,idle-0,idle,0,ok,1786626070.962608,1786626121.275314,34129,48.000900,711.008,raw/c2-s1-idle-0.pre.csv,raw/c2-s1-idle-0.pow.csv,raw/c2-s1-idle-0.clk.csv,,6.2.0
20260813T134114,2,2,rv-200000,rv,200000,ok,1786626123.833488,1786626174.264638,19593,48.001887,408.171,raw/c2-s2-rv-200000.pre.csv,raw/c2-s2-rv-200000.pow.csv,raw/c2-s2-rv-200000.clk.csv,,6.2.0
