label,arm,inner,launches,wall_s,launches_per_s
idle-0,idle,0,27985,40.000896,699.609
rv-200000,rv,200000,16257,40.001856,406.406
noc-4096,noc,4096,13603,40.000434,340.071
mm-4096,mm,4096,24424,40.001406,610.579
sfpu-4096,sfpu,4096,19773,40.001960,494.301
rv-800000,rv,800000,7175,40.005067,179.352
noc-16384,noc,16384,5342,40.001534,133.545
mm-16384,mm,16384,17876,40.001069,446.888
sfpu-16384,sfpu,16384,10509,40.000395,262.722
noc-4096__control,noc,4096,13671,40.001793,341.760
idle-0,idle,0,28031,40.001176,700.754
rv-200000,rv,200000,16211,40.000827,405.267
noc-4096,noc,4096,13588,40.002684,339.677
mm-4096,mm,4096,24562,40.001017,614.034
sfpu-4096,sfpu,4096,19833,40.000932,495.813
rv-800000,rv,800000,7172,40.005229,179.277
noc-16384,noc,16384,5329,40.005727,133.206
mm-16384,mm,16384,17711,40.000005,442.775
sfpu-16384,sfpu,16384,10530,40.000658,263.246
noc-4096__control,noc,4096,13608,40.000347,340.197
idle-0,idle,0,28210,40.001323,705.227
rv-200000,rv,200000,16265,40.002347,406.601
noc-4096,noc,4096,13580,40.000255,339.498
mm-4096,mm,4096,23559,40.001518,588.953
sfpu-4096,sfpu,4096,19409,40.000860,485.215
rv-800000,rv,800000,7171,40.004208,179.256
noc-16384,noc,16384,5343,40.004489,133.560
mm-16384,mm,16384,17829,40.002190,445.701
sfpu-16384,sfpu,16384,10532,40.000246,263.298
noc-4096__control,noc,4096,13567,40.002334,339.155
