session,cycle,slot,label,arm,inner,status,launches,wall_s,launches_per_s,power_w,power_sd_w,samples,attempts,sample_failures,pre_idle_w,pre_idle_samples,delta_w,aiclk_mhz,temp_c,sysfs_aiclk_mean,sysfs_aiclk_min,sysfs_aiclk_max,sysfs_aiclk_drift_pct,sysfs_arcclk_mean,therm_trip_delta,clock_samples,power_bracket_w,bracket_lag_s,bracket_samples,tt_smi_version,note
20260813T124852,0,0,baseline,baseline,0,ok,0,40,0,34.9677,0.9481,31,31,0,35.5000,2,-0.5323,800.0,37.8,800.0,800.0,800.0,0.000,800.0,0,120,,,0,6.2.0,
20260813T124852,0,1,idle-0,idle,0,ok,27985,40.000896,699.609,64.6875,1.3060,32,32,0,37.0000,2,27.6875,1350.0,45.8,1350.0,1350.0,1350.0,0.000,800.0,0,131,,,0,6.2.0,
20260813T124852,0,2,rv-200000,rv,200000,ok,16257,40.001856,406.406,66.7188,0.6342,32,32,0,38.0000,2,28.7188,1350.0,50.2,1350.0,1350.0,1350.0,0.000,800.0,0,130,,,0,6.2.0,
20260813T124852,0,3,noc-4096,noc,4096,ok,13603,40.000434,340.071,67.5161,0.7244,31,31,0,38.5000,2,29.0161,1350.0,52.2,1350.0,1350.0,1350.0,0.000,800.0,0,130,,,0,6.2.0,
20260813T124852,0,4,mm-4096,mm,4096,ok,24424,40.001406,610.579,67.8387,0.8980,31,31,0,39.0000,2,28.8387,1350.0,53.2,1350.0,1350.0,1350.0,0.000,800.0,0,130,,,0,6.2.0,
20260813T124852,0,5,sfpu-4096,sfpu,4096,ok,19773,40.001960,494.301,67.9688,0.8975,32,32,0,39.0000,2,28.9688,1350.0,53.6,1350.0,1350.0,1350.0,0.000,800.0,0,130,,,0,6.2.0,
20260813T124852,0,6,rv-800000,rv,800000,ok,7175,40.005067,179.352,68.2188,0.9064,32,32,0,40.5000,2,27.7188,1350.0,53.8,1350.0,1350.0,1350.0,0.000,800.0,0,129,,,0,6.2.0,
20260813T124852,0,7,noc-16384,noc,16384,ok,5342,40.001534,133.545,68.2500,0.9158,32,32,0,39.0000,2,29.2500,1350.0,54.0,1350.0,1350.0,1350.0,0.000,800.0,0,129,,,0,6.2.0,
20260813T124852,0,8,mm-16384,mm,16384,ok,17876,40.001069,446.888,68.7812,1.3133,32,32,0,39.0000,2,29.7812,1350.0,54.2,1350.0,1350.0,1350.0,0.000,800.0,0,130,,,0,6.2.0,
20260813T124852,0,9,sfpu-16384,sfpu,16384,ok,10509,40.000395,262.722,68.4516,0.7676,31,31,0,39.0000,2,29.4516,1350.0,54.3,1350.0,1350.0,1350.0,0.000,800.0,0,130,,,0,6.2.0,
