t,aiclk,arcclk,axiclk,therm_trip
1786621735.433713,800,800,960,0
1786621735.685779,800,800,960,0
1786621735.936251,800,800,960,0
1786621736.186770,800,800,960,0
1786621736.437241,800,800,960,0
1786621736.687811,800,800,960,0
1786621736.938356,800,800,960,0
1786621737.188813,800,800,960,0
1786621737.439350,800,800,960,0
1786621737.689816,800,800,960,0
1786621737.940300,800,800,960,0
1786621738.190947,800,800,960,0
1786621738.441471,800,800,960,0
1786621738.691942,800,800,960,0
1786621738.942468,800,800,960,0
1786621739.192939,800,800,960,0
1786621739.443465,800,800,960,0
1786621739.693940,800,800,960,0
1786621739.944457,800,800,960,0
1786621740.194932,800,800,960,0
1786621740.445515,800,800,960,0
1786621740.695989,800,800,960,0
1786621740.946525,800,800,960,0
1786621741.196985,800,800,960,0
1786621741.447520,800,800,960,0
1786621741.697981,800,800,960,0
1786621741.948510,800,800,960,0
1786621742.198987,800,800,960,0
1786621742.449517,800,800,960,0
1786621742.699962,800,800,960,0
1786621742.950526,800,800,960,0
1786621743.200982,800,800,960,0
1786621743.451509,800,800,960,0
1786621743.701976,800,800,960,0
1786621743.952502,800,800,960,0
1786621744.202961,800,800,960,0
1786621744.453498,800,800,960,0
1786621744.703970,800,800,960,0
1786621744.954482,800,800,960,0
1786621745.204961,800,800,960,0
1786621745.455493,800,800,960,0
1786621745.705998,800,800,960,0
1786621745.956530,800,800,960,0
1786621746.206983,800,800,960,0
1786621746.457514,800,800,960,0
1786621746.707978,800,800,960,0
1786621746.958504,800,800,960,0
1786621747.208979,800,800,960,0
1786621747.459499,800,800,960,0
1786621747.709967,800,800,960,0
1786621747.960485,800,800,960,0
1786621748.210958,800,800,960,0
1786621748.461483,800,800,960,0
1786621748.711950,800,800,960,0
1786621748.962472,800,800,960,0
1786621749.212953,800,800,960,0
1786621749.463461,800,800,960,0
1786621749.713925,800,800,960,0
1786621749.964425,800,800,960,0
1786621750.214892,800,800,960,0
1786621750.465419,800,800,960,0
1786621750.715953,800,800,960,0
1786621750.966475,800,800,960,0
1786621751.216952,800,800,960,0
1786621751.467479,800,800,960,0
1786621751.717953,800,800,960,0
1786621751.968458,800,800,960,0
1786621752.218936,800,800,960,0
1786621752.469465,800,800,960,0
1786621752.719934,800,800,960,0
1786621752.970446,800,800,960,0
1786621753.220921,800,800,960,0
1786621753.471447,800,800,960,0
1786621753.721924,800,800,960,0
1786621753.972427,800,800,960,0
1786621754.222889,800,800,960,0
1786621754.473409,800,800,960,0
1786621754.723873,800,800,960,0
1786621754.974321,800,800,960,0
1786621755.224791,800,800,960,0
1786621755.475248,800,800,960,0
1786621755.725791,800,800,960,0
1786621755.976301,800,800,960,0
1786621756.226768,800,800,960,0
1786621756.477231,800,800,960,0
1786621756.727741,800,800,960,0
1786621756.978212,800,800,960,0
1786621757.228727,800,800,960,0
1786621757.479200,800,800,960,0
1786621757.729721,800,800,960,0
1786621757.980189,800,800,960,0
1786621758.230723,800,800,960,0
1786621758.481190,800,800,960,0
1786621758.731721,800,800,960,0
1786621758.982409,800,800,960,0
1786621759.232879,800,800,960,0
1786621759.483349,800,800,960,0
1786621759.733814,800,800,960,0
1786621759.984330,800,800,960,0
1786621760.234787,800,800,960,0
1786621760.485260,800,800,960,0
1786621760.735765,800,800,960,0
1786621760.986294,800,800,960,0
1786621761.236767,800,800,960,0
1786621761.487226,800,800,960,0
1786621761.737746,800,800,960,0
1786621761.988214,800,800,960,0
1786621762.238743,800,800,960,0
1786621762.489213,800,800,960,0
1786621762.739737,800,800,960,0
1786621762.990199,800,800,960,0
1786621763.240880,800,800,960,0
1786621763.491355,800,800,960,0
1786621763.741808,800,800,960,0
1786621763.992335,800,800,960,0
1786621764.242794,800,800,960,0
1786621764.493328,800,800,960,0
1786621764.743810,800,800,960,0
1786621764.994339,800,800,960,0
1786621765.244802,800,800,960,0
1786621765.495326,800,800,960,0
1786621765.745801,800,800,960,0
1786621765.996292,800,800,960,0
1786621766.246819,800,800,960,0
1786621766.497422,800,800,960,0
1786621766.747872,800,800,960,0
1786621766.998364,800,800,960,0
1786621767.248978,800,800,960,0
1786621767.499663,800,800,960,0
1786621767.750350,800,800,960,0
1786621768.000930,800,800,960,0
1786621768.251453,800,800,960,0
1786621768.501926,800,800,960,0
1786621768.752436,800,800,960,0
1786621769.002908,800,800,960,0
1786621769.253436,800,800,960,0
1786621769.503906,800,800,960,0
1786621769.754412,800,800,960,0
1786621770.004888,800,800,960,0
1786621770.255417,800,800,960,0
1786621770.505885,800,800,960,0
1786621770.756347,800,800,960,0
1786621771.006816,800,800,960,0
1786621771.257346,800,800,960,0
1786621771.507817,800,800,960,0
1786621771.758340,800,800,960,0
1786621772.008795,800,800,960,0
1786621772.259255,800,800,960,0
1786621772.509778,800,800,960,0
1786621772.760221,800,800,960,0
1786621773.010753,800,800,960,0
1786621773.261221,800,800,960,0
1786621773.511748,800,800,960,0
1786621773.762198,800,800,960,0
1786621774.012732,800,800,960,0
1786621774.263204,800,800,960,0
1786621774.513710,800,800,960,0
1786621774.764176,800,800,960,0
1786621775.014876,800,800,960,0
1786621775.265739,800,800,960,0
1786621775.516356,800,800,960,0
1786621775.766963,800,800,960,0
