t,aiclk,arcclk,axiclk,therm_trip
1786621824.090432,800,800,960,0
1786621824.342037,800,800,960,0
1786621824.592663,800,800,960,0
1786621824.843143,1350,800,960,0
1786621825.093623,1350,800,960,0
1786621825.344134,1350,800,960,0
1786621825.594692,1350,800,960,0
1786621825.845240,1350,800,960,0
1786621826.095730,1350,800,960,0
1786621826.346136,1350,800,960,0
1786621826.596600,1350,800,960,0
1786621826.847352,1350,800,960,0
1786621827.097813,1350,800,960,0
1786621827.348302,1350,800,960,0
1786621827.598877,1350,800,960,0
1786621827.849468,1350,800,960,0
1786621828.099942,1350,800,960,0
1786621828.350469,1350,800,960,0
1786621828.600934,1350,800,960,0
1786621828.851462,1350,800,960,0
1786621829.101946,1350,800,960,0
1786621829.352462,1350,800,960,0
1786621829.602935,1350,800,960,0
1786621829.853751,1350,800,960,0
1786621830.104407,1350,800,960,0
1786621830.354865,1350,800,960,0
1786621830.605303,1350,800,960,0
1786621830.855777,1350,800,960,0
1786621831.106249,1350,800,960,0
1786621831.356766,1350,800,960,0
1786621831.607222,1350,800,960,0
1786621831.857710,1350,800,960,0
1786621832.108169,1350,800,960,0
1786621832.358703,1350,800,960,0
1786621832.609162,1350,800,960,0
1786621832.859643,1350,800,960,0
1786621833.110189,1350,800,960,0
1786621833.360677,1350,800,960,0
1786621833.611132,1350,800,960,0
1786621833.861650,1350,800,960,0
1786621834.112116,1350,800,960,0
1786621834.362661,1350,800,960,0
1786621834.613117,1350,800,960,0
1786621834.863670,1350,800,960,0
1786621835.114439,1350,800,960,0
1786621835.365011,1350,800,960,0
1786621835.615542,1350,800,960,0
1786621835.866010,1350,800,960,0
1786621836.116500,1350,800,960,0
1786621836.366966,1350,800,960,0
1786621836.617486,1350,800,960,0
1786621836.867914,1350,800,960,0
1786621837.118455,1350,800,960,0
1786621837.369065,1350,800,960,0
1786621837.619722,1350,800,960,0
1786621837.870320,1350,800,960,0
1786621838.120899,1350,800,960,0
1786621838.371551,1350,800,960,0
1786621838.622006,1350,800,960,0
1786621838.872534,1350,800,960,0
1786621839.123008,1350,800,960,0
1786621839.373544,1350,800,960,0
1786621839.624002,1350,800,960,0
1786621839.874550,1350,800,960,0
1786621840.125034,1350,800,960,0
1786621840.375719,1350,800,960,0
1786621840.626175,1350,800,960,0
1786621840.876709,1350,800,960,0
1786621841.127187,1350,800,960,0
1786621841.377753,1350,800,960,0
1786621841.628220,1350,800,960,0
1786621841.878746,1350,800,960,0
1786621842.129205,1350,800,960,0
1786621842.379738,1350,800,960,0
1786621842.630205,1350,800,960,0
1786621842.880739,1350,800,960,0
1786621843.131197,1350,800,960,0
1786621843.381840,1350,800,960,0
1786621843.632307,1350,800,960,0
1786621843.882763,1350,800,960,0
1786621844.133231,1350,800,960,0
1786621844.383828,1350,800,960,0
