t,aiclk,arcclk,axiclk,therm_trip
1786621960.247573,800,800,960,0
1786621960.499226,800,800,960,0
1786621960.749800,1350,800,960,0
1786621961.000267,1350,800,960,0
1786621961.250864,1350,800,960,0
1786621961.501345,1350,800,960,0
1786621961.751810,1350,800,960,0
1786621962.002296,1350,800,960,0
1786621962.252769,1350,800,960,0
1786621962.503241,1350,800,960,0
1786621962.753782,1350,800,960,0
1786621963.004253,1350,800,960,0
1786621963.254784,1350,800,960,0
1786621963.505247,1350,800,960,0
1786621963.755777,1350,800,960,0
1786621964.006241,1350,800,960,0
1786621964.256765,1350,800,960,0
1786621964.507241,1350,800,960,0
1786621964.757770,1350,800,960,0
1786621965.008244,1350,800,960,0
1786621965.258747,1350,800,960,0
1786621965.509218,1350,800,960,0
1786621965.759703,1350,800,960,0
1786621966.010162,1350,800,960,0
1786621966.260763,1350,800,960,0
1786621966.511268,1350,800,960,0
1786621966.761756,1350,800,960,0
1786621967.012232,1350,800,960,0
1786621967.262768,1350,800,960,0
1786621967.513238,1350,800,960,0
1786621967.763771,1350,800,960,0
1786621968.014252,1350,800,960,0
1786621968.264767,1350,800,960,0
1786621968.515223,1350,800,960,0
1786621968.765728,1350,800,960,0
1786621969.016198,1350,800,960,0
1786621969.266706,1350,800,960,0
1786621969.517174,1350,800,960,0
1786621969.767661,1350,800,960,0
1786621970.018122,1350,800,960,0
1786621970.268655,1350,800,960,0
1786621970.519125,1350,800,960,0
1786621970.769631,1350,800,960,0
1786621971.020111,1350,800,960,0
1786621971.270638,1350,800,960,0
1786621971.521179,1350,800,960,0
1786621971.771704,1350,800,960,0
1786621972.022172,1350,800,960,0
1786621972.272689,1350,800,960,0
1786621972.523160,1350,800,960,0
1786621972.773684,1350,800,960,0
1786621973.024146,1350,800,960,0
1786621973.274687,1350,800,960,0
1786621973.525151,1350,800,960,0
1786621973.775659,1350,800,960,0
1786621974.026129,1350,800,960,0
1786621974.276675,1350,800,960,0
1786621974.527139,1350,800,960,0
1786621974.777651,1350,800,960,0
1786621975.028121,1350,800,960,0
1786621975.278648,1350,800,960,0
1786621975.529113,1350,800,960,0
1786621975.779655,1350,800,960,0
1786621976.030140,1350,800,960,0
1786621976.280671,1350,800,960,0
1786621976.531192,1350,800,960,0
1786621976.781721,1350,800,960,0
1786621977.032182,1350,800,960,0
1786621977.282701,1350,800,960,0
1786621977.533172,1350,800,960,0
1786621977.783693,1350,800,960,0
1786621978.034145,1350,800,960,0
1786621978.284675,1350,800,960,0
1786621978.535127,1350,800,960,0
1786621978.785641,1350,800,960,0
1786621979.036106,1350,800,960,0
1786621979.286645,1350,800,960,0
1786621979.537118,1350,800,960,0
1786621979.787643,1350,800,960,0
1786621980.038118,1350,800,960,0
1786621980.288641,1350,800,960,0
1786621980.539104,1350,800,960,0
1786621980.789635,1350,800,960,0
1786621981.040088,1350,800,960,0
1786621981.290685,1350,800,960,0
1786621981.541155,1350,800,960,0
1786621981.791752,1350,800,960,0
1786621982.042216,1350,800,960,0
1786621982.292729,1350,800,960,0
1786621982.543211,1350,800,960,0
1786621982.793731,1350,800,960,0
