phase,i,t_start,t_end,t_mid,dt_s,ok,power_w,voltage_v,current_a,aiclk_mhz,temp_c,error
run,0,1786621960.264363,1786621961.613183,1786621960.938773,0.677360,1,82.0000,0.8600,96.0000,1350.0000,53.0000,
run,1,1786621961.613501,1786621962.653728,1786621962.133615,1.872201,1,67.0000,0.8600,78.0000,1350.0000,52.6000,
run,2,1786621962.653838,1786621963.685561,1786621963.169700,2.908287,1,68.0000,0.8600,79.0000,1350.0000,52.6000,
run,3,1786621963.685672,1786621964.721458,1786621964.203565,3.942152,1,69.0000,0.8600,81.0000,1350.0000,52.8000,
run,4,1786621964.721567,1786621965.771101,1786621965.246334,4.984921,1,67.0000,0.8600,78.0000,1350.0000,53.0000,
run,5,1786621965.771205,1786621966.764169,1786621966.267687,6.006274,1,67.0000,0.8600,78.0000,1350.0000,53.1000,
run,6,1786621966.764586,1786621967.753533,1786621967.259059,6.997646,1,67.0000,0.8600,78.0000,1350.0000,53.1000,
run,7,1786621967.753644,1786621968.769244,1786621968.261444,8.000031,1,68.0000,0.8600,79.0000,1350.0000,53.0000,
run,8,1786621968.769427,1786621969.805238,1786621969.287333,9.025920,1,68.0000,0.8600,79.0000,1350.0000,53.2000,
run,9,1786621969.805344,1786621970.844174,1786621970.324759,10.063346,1,68.0000,0.8600,79.0000,1350.0000,53.2000,
run,10,1786621970.844383,1786621971.825008,1786621971.334695,11.073282,1,67.0000,0.8600,78.0000,1350.0000,53.2000,
run,11,1786621971.825226,1786621972.883807,1786621972.354517,12.093103,1,67.0000,0.8600,78.0000,1350.0000,53.2000,
run,12,1786621972.883912,1786621973.910603,1786621973.397257,13.135844,1,69.0000,0.8600,81.0000,1350.0000,53.2000,
run,13,1786621973.910714,1786621974.961154,1786621974.435934,14.174520,1,67.0000,0.8600,78.0000,1350.0000,53.5000,
run,14,1786621974.961261,1786621975.952525,1786621975.456893,15.195480,1,67.0000,0.8600,78.0000,1350.0000,53.5000,
run,15,1786621975.952635,1786621977.032495,1786621976.492565,16.231152,1,67.0000,0.8600,78.0000,1350.0000,53.6000,
run,16,1786621977.032661,1786621978.143518,1786621977.588089,17.326676,1,69.0000,0.8600,81.0000,1350.0000,53.5000,
run,17,1786621978.143566,1786621979.172452,1786621978.658009,18.396596,1,69.0000,0.8600,81.0000,1350.0000,53.6000,
run,18,1786621979.172562,1786621980.221783,1786621979.697173,19.435760,1,69.0000,0.8600,81.0000,1350.0000,53.6000,
run,19,1786621980.221834,1786621981.260422,1786621980.741128,20.479715,1,69.0000,0.8600,81.0000,1350.0000,53.5000,
run,20,1786621981.260532,1786621982.288934,1786621981.774733,21.513319,1,68.0000,0.8600,79.0000,1350.0000,53.5000,
run,21,1786621982.289141,1786621983.338750,1786621982.813945,22.552532,1,67.0000,0.8600,78.0000,1350.0000,53.6000,
run,22,1786621983.338800,1786621984.360647,1786621983.849723,23.588310,1,68.0000,0.8600,79.0000,1350.0000,53.7000,
run,23,1786621984.360756,1786621985.414919,1786621984.887838,24.626425,1,69.0000,0.8600,81.0000,1350.0000,53.9000,
run,24,1786621985.415028,1786621986.397912,1786621985.906470,25.645057,1,69.0000,0.8600,81.0000,1350.0000,53.5000,
run,25,1786621986.398025,1786621987.380449,1786621986.889237,26.627824,1,69.0000,0.8600,81.0000,1350.0000,53.9000,
run,26,1786621987.380666,1786621988.369783,1786621987.875225,27.613811,1,69.0000,0.8600,81.0000,1350.0000,53.5000,
run,27,1786621988.369896,1786621989.422718,1786621988.896307,28.634894,1,69.0000,0.8600,81.0000,1350.0000,53.7000,
run,28,1786621989.422765,1786621990.502234,1786621989.962500,29.701087,1,69.0000,0.8600,81.0000,1350.0000,53.9000,
run,29,1786621990.502424,1786621991.477492,1786621990.989958,30.728545,1,69.0000,0.8600,81.0000,1350.0000,53.9000,
run,30,1786621991.477603,1786621992.463866,1786621991.970735,31.709321,1,67.0000,0.8600,78.0000,1350.0000,54.0000,
run,31,1786621992.464079,1786621993.462860,1786621992.963470,32.702057,1,67.0000,0.8600,78.0000,1350.0000,53.9000,
run,32,1786621993.462974,1786621994.488214,1786621993.975594,33.714180,1,68.0000,0.8600,79.0000,1350.0000,53.9000,
run,33,1786621994.488397,1786621995.531763,1786621995.010080,34.748667,1,67.0000,0.8600,78.0000,1350.0000,53.9000,
run,34,1786621995.531882,1786621996.537120,1786621996.034501,35.773088,1,68.0000,0.8600,79.0000,1350.0000,54.1000,
run,35,1786621996.537346,1786621997.589418,1786621997.063382,36.801969,1,67.0000,0.8600,78.0000,1350.0000,54.1000,
run,36,1786621997.589626,1786621998.581000,1786621998.085313,37.823900,1,67.0000,0.8600,78.0000,1350.0000,54.0000,
run,37,1786621998.581112,1786621999.612141,1786621999.096626,38.835213,1,68.0000,0.8600,79.0000,1350.0000,54.0000,
run,38,1786621999.612248,1786622000.662878,1786622000.137563,39.876150,1,67.0000,0.8600,78.0000,1350.0000,54.0000,
run,39,1786622000.662988,1786622001.651737,1786622001.157362,40.895949,1,69.0000,0.8600,81.0000,1350.0000,54.0000,
run,40,1786622001.651847,1786622002.705254,1786622002.178551,41.917138,1,39.0000,0.7400,54.0000,800.0000,52.2000,
