t,aiclk,arcclk,axiclk,therm_trip
1786622097.145970,800,800,960,0
1786622097.397758,800,800,960,0
1786622097.648221,1350,800,960,0
1786622097.898771,1350,800,960,0
1786622098.149675,1350,800,960,0
1786622098.400313,1350,800,960,0
1786622098.650810,1350,800,960,0
1786622098.901483,1350,800,960,0
1786622099.151915,1350,800,960,0
1786622099.402435,1350,800,960,0
1786622099.652927,1350,800,960,0
1786622099.903665,1350,800,960,0
1786622100.154086,1350,800,960,0
1786622100.404583,1350,800,960,0
1786622100.655023,1350,800,960,0
1786622100.905516,1350,800,960,0
1786622101.155937,1350,800,960,0
1786622101.406409,1350,800,960,0
1786622101.656867,1350,800,960,0
1786622101.907296,1350,800,960,0
1786622102.157717,1350,800,960,0
1786622102.408256,1350,800,960,0
1786622102.659118,1350,800,960,0
1786622102.909941,1350,800,960,0
1786622103.160429,1350,800,960,0
1786622103.410890,1350,800,960,0
1786622103.661365,1350,800,960,0
1786622103.911796,1350,800,960,0
1786622104.162217,1350,800,960,0
1786622104.412694,1350,800,960,0
1786622104.663144,1350,800,960,0
1786622104.913643,1350,800,960,0
1786622105.164159,1350,800,960,0
1786622105.414750,1350,800,960,0
1786622105.665633,1350,800,960,0
1786622105.916202,1350,800,960,0
1786622106.166686,1350,800,960,0
1786622106.417105,1350,800,960,0
1786622106.667591,1350,800,960,0
1786622106.918033,1350,800,960,0
1786622107.168520,1350,800,960,0
1786622107.418989,1350,800,960,0
1786622107.669775,1350,800,960,0
1786622107.920605,1350,800,960,0
1786622108.171026,1350,800,960,0
1786622108.421547,1350,800,960,0
1786622108.671986,1350,800,960,0
1786622108.922504,1350,800,960,0
1786622109.172944,1350,800,960,0
1786622109.423461,1350,800,960,0
1786622109.673888,1350,800,960,0
1786622109.924372,1350,800,960,0
1786622110.174900,1350,800,960,0
1786622110.425517,1350,800,960,0
1786622110.676323,1350,800,960,0
1786622110.927057,1350,800,960,0
1786622111.177561,1350,800,960,0
1786622111.427991,1350,800,960,0
1786622111.678479,1350,800,960,0
1786622111.928906,1350,800,960,0
1786622112.179401,1350,800,960,0
1786622112.429892,1350,800,960,0
1786622112.680693,1350,800,960,0
1786622112.931267,1350,800,960,0
1786622113.181763,1350,800,960,0
1786622113.432225,1350,800,960,0
1786622113.682742,1350,800,960,0
1786622113.933163,1350,800,960,0
1786622114.183658,1350,800,960,0
1786622114.434082,1350,800,960,0
1786622114.684578,1350,800,960,0
1786622114.935011,1350,800,960,0
1786622115.185496,1350,800,960,0
1786622115.436073,1350,800,960,0
1786622115.686862,1350,800,960,0
1786622115.937493,1350,800,960,0
1786622116.187912,1350,800,960,0
1786622116.438396,1350,800,960,0
1786622116.688829,1350,800,960,0
1786622116.939252,1350,800,960,0
1786622117.189739,1350,800,960,0
1786622117.440162,1350,800,960,0
1786622117.690699,1350,800,960,0
1786622117.941562,1350,800,960,0
1786622118.192027,1350,800,960,0
1786622118.442520,1350,800,960,0
1786622118.692939,1350,800,960,0
1786622118.943422,1350,800,960,0
1786622119.193843,1350,800,960,0
1786622119.444262,1350,800,960,0
1786622119.694761,1350,800,960,0
1786622119.945183,1350,800,960,0
1786622120.195694,1350,800,960,0
1786622120.446217,1350,800,960,0
1786622120.696764,1350,800,960,0
1786622120.947383,1350,800,960,0
1786622121.197802,1350,800,960,0
1786622121.448225,1350,800,960,0
1786622121.698733,1350,800,960,0
1786622121.949156,1350,800,960,0
1786622122.199637,1350,800,960,0
1786622122.450057,1350,800,960,0
1786622122.700575,1350,800,960,0
1786622122.951167,1350,800,960,0
1786622123.201653,1350,800,960,0
1786622123.452074,1350,800,960,0
1786622123.702553,1350,800,960,0
1786622123.952976,1350,800,960,0
1786622124.203450,1350,800,960,0
1786622124.453870,1350,800,960,0
1786622124.704291,1350,800,960,0
1786622124.954709,1350,800,960,0
1786622125.205178,1350,800,960,0
1786622125.455770,1350,800,960,0
1786622125.706351,1350,800,960,0
1786622125.957073,1350,800,960,0
1786622126.207551,1350,800,960,0
1786622126.457978,1350,800,960,0
1786622126.708477,1350,800,960,0
1786622126.958903,1350,800,960,0
1786622127.209509,1350,800,960,0
1786622127.459926,1350,800,960,0
1786622127.710457,1350,800,960,0
1786622127.961238,1350,800,960,0
1786622128.212038,1350,800,960,0
1786622128.462515,1350,800,960,0
1786622128.712938,1350,800,960,0
1786622128.963423,1350,800,960,0
1786622129.213839,1350,800,960,0
1786622129.464258,1350,800,960,0
1786622129.714741,1350,800,960,0
1786622129.965182,1350,800,960,0
1786622130.215667,1350,800,960,0
1786622130.466111,1350,800,960,0
1786622130.716759,1350,800,960,0
1786622130.967611,1350,800,960,0
1786622131.218161,1350,800,960,0
1786622131.468690,1350,800,960,0
1786622131.719110,1350,800,960,0
1786622131.969593,1350,800,960,0
1786622132.220093,1350,800,960,0
1786622132.470803,1350,800,960,0
1786622132.721570,1350,800,960,0
1786622132.972155,1350,800,960,0
1786622133.222675,1350,800,960,0
1786622133.473101,1350,800,960,0
1786622133.723591,1350,800,960,0
1786622133.974021,1350,800,960,0
1786622134.224537,1350,800,960,0
1786622134.475000,1350,800,960,0
1786622134.725499,1350,800,960,0
1786622134.975964,1350,800,960,0
1786622135.226450,1350,800,960,0
1786622135.476871,1350,800,960,0
1786622135.727526,1350,800,960,0
1786622135.978316,1350,800,960,0
1786622136.228747,1350,800,960,0
1786622136.479220,1350,800,960,0
1786622136.729707,1350,800,960,0
1786622136.980129,1350,800,960,0
1786622137.230617,1350,800,960,0
1786622137.481036,1350,800,960,0
1786622137.731609,1350,800,960,0
1786622137.982403,1350,800,960,0
1786622138.232974,1350,800,960,0
1786622138.483459,1350,800,960,0
1786622138.733881,800,800,960,0
1786622138.984307,800,800,960,0
1786622139.234733,800,800,960,0
1786622139.485200,800,800,960,0
1786622139.735736,800,800,960,0
