phase,i,t_start,t_end,t_mid,dt_s,ok,power_w,voltage_v,current_a,aiclk_mhz,temp_c,error
run,0,1786622412.685347,1786622413.955593,1786622413.320470,0.637789,1,82.0000,0.8600,96.0000,1350.0000,53.7000,
run,1,1786622413.955704,1786622414.957501,1786622414.456603,1.773922,1,69.0000,0.8600,81.0000,1350.0000,53.4000,
run,2,1786622414.957609,1786622415.987209,1786622415.472409,2.789728,1,67.0000,0.8600,78.0000,1350.0000,53.4000,
run,3,1786622415.987590,1786622417.027832,1786622416.507711,3.825030,1,69.0000,0.8600,81.0000,1350.0000,53.5000,
run,4,1786622417.027941,1786622418.080908,1786622417.554424,4.871743,1,67.0000,0.8600,78.0000,1350.0000,53.5000,
run,5,1786622418.081120,1786622419.125803,1786622418.603461,5.920780,1,69.0000,0.8600,81.0000,1350.0000,53.7000,
run,6,1786622419.125852,1786622420.138208,1786622419.632030,6.949349,1,67.0000,0.8600,78.0000,1350.0000,53.6000,
run,7,1786622420.138253,1786622421.137520,1786622420.637887,7.955206,1,67.0000,0.8600,78.0000,1350.0000,53.7000,
run,8,1786622421.137629,1786622422.172215,1786622421.654922,8.972241,1,69.0000,0.8600,81.0000,1350.0000,53.7000,
run,9,1786622422.172397,1786622423.198489,1786622422.685443,10.002762,1,67.0000,0.8600,78.0000,1350.0000,53.9000,
run,10,1786622423.198680,1786622424.252911,1786622423.725796,11.043115,1,67.0000,0.8600,78.0000,1350.0000,54.1000,
run,11,1786622424.253024,1786622425.301897,1786622424.777460,12.094779,1,69.0000,0.8600,81.0000,1350.0000,53.9000,
run,12,1786622425.302002,1786622426.324083,1786622425.813043,13.130362,1,67.0000,0.8600,78.0000,1350.0000,54.0000,
run,13,1786622426.324129,1786622427.357166,1786622426.840647,14.157967,1,67.0000,0.8600,78.0000,1350.0000,53.7000,
run,14,1786622427.357351,1786622428.389803,1786622427.873577,15.190896,1,67.0000,0.8600,78.0000,1350.0000,53.9000,
run,15,1786622428.389989,1786622429.466096,1786622428.928042,16.245362,1,68.0000,0.8600,79.0000,1350.0000,54.0000,
run,16,1786622429.466200,1786622430.520190,1786622429.993195,17.310514,1,67.0000,0.8600,78.0000,1350.0000,54.0000,
run,17,1786622430.520236,1786622431.556981,1786622431.038609,18.355928,1,67.0000,0.8600,78.0000,1350.0000,54.1000,
run,18,1786622431.557028,1786622432.559172,1786622432.058100,19.375419,1,67.0000,0.8600,78.0000,1350.0000,54.3000,
run,19,1786622432.559350,1786622433.537899,1786622433.048624,20.365943,1,67.0000,0.8600,78.0000,1350.0000,54.0000,
run,20,1786622433.538144,1786622434.526791,1786622434.032467,21.349787,1,67.0000,0.8600,78.0000,1350.0000,54.1000,
run,21,1786622434.526896,1786622435.561874,1786622435.044385,22.361704,1,70.0000,0.8600,82.0000,1350.0000,54.3000,
run,22,1786622435.561988,1786622436.572412,1786622436.067200,23.384519,1,67.0000,0.8600,78.0000,1350.0000,53.9000,
run,23,1786622436.572523,1786622437.603794,1786622437.088159,24.405478,1,69.0000,0.8600,81.0000,1350.0000,54.3000,
run,24,1786622437.603898,1786622438.644395,1786622438.124146,25.441466,1,68.0000,0.8600,79.0000,1350.0000,54.3000,
run,25,1786622438.644602,1786622439.679836,1786622439.162219,26.479538,1,67.0000,0.8600,78.0000,1350.0000,54.4000,
run,26,1786622439.679943,1786622440.724609,1786622440.202276,27.519595,1,69.0000,0.8600,81.0000,1350.0000,54.3000,
run,27,1786622440.724723,1786622441.731453,1786622441.228088,28.545407,1,69.0000,0.8600,81.0000,1350.0000,54.3000,
run,28,1786622441.731501,1786622442.764503,1786622442.248002,29.565321,1,68.0000,0.8600,79.0000,1350.0000,54.1000,
run,29,1786622442.764610,1786622443.757476,1786622443.261043,30.578362,1,68.0000,0.8600,79.0000,1350.0000,54.1000,
run,30,1786622443.757841,1786622444.758739,1786622444.258290,31.575609,1,69.0000,0.8600,81.0000,1350.0000,54.4000,
run,31,1786622444.758791,1786622445.783771,1786622445.271281,32.588600,1,68.0000,0.8600,79.0000,1350.0000,54.4000,
run,32,1786622445.783825,1786622446.818094,1786622446.300960,33.618279,1,67.0000,0.8600,78.0000,1350.0000,54.5000,
run,33,1786622446.818143,1786622447.785827,1786622447.301985,34.619304,1,69.0000,0.8600,81.0000,1350.0000,54.4000,
run,34,1786622447.785934,1786622448.819206,1786622448.302570,35.619889,1,69.0000,0.8600,81.0000,1350.0000,54.4000,
run,35,1786622448.819457,1786622449.826560,1786622449.323009,36.640328,1,69.0000,0.8600,81.0000,1350.0000,54.8000,
run,36,1786622449.826664,1786622450.853639,1786622450.340152,37.657471,1,70.0000,0.8600,82.0000,1350.0000,54.6000,
run,37,1786622450.853687,1786622451.910342,1786622451.382014,38.699333,1,68.0000,0.8600,79.0000,1350.0000,54.5000,
run,38,1786622451.910389,1786622452.928271,1786622452.419330,39.736649,1,70.0000,0.8600,82.0000,1350.0000,54.5000,
run,39,1786622452.928452,1786622453.963952,1786622453.446202,40.763521,1,68.0000,0.8600,79.0000,1350.0000,54.6000,
run,40,1786622453.964170,1786622454.998565,1786622454.481367,41.798687,1,42.0000,0.7400,57.0000,800.0000,53.1000,
