phase,i,t_start,t_end,t_mid,dt_s,ok,power_w,voltage_v,current_a,aiclk_mhz,temp_c,error
run,0,1786622503.956616,1786622505.000828,1786622504.478722,0.524350,1,69.0000,0.8600,81.0000,1350.0000,54.6000,
run,1,1786622505.001189,1786622506.021769,1786622505.511479,1.557107,1,68.0000,0.8600,79.0000,1350.0000,54.8000,
run,2,1786622506.021847,1786622507.051561,1786622506.536704,2.582332,1,68.0000,0.8600,79.0000,1350.0000,54.8000,
run,3,1786622507.051667,1786622508.055074,1786622507.553371,3.598999,1,67.0000,0.8600,78.0000,1350.0000,54.8000,
run,4,1786622508.055169,1786622509.071174,1786622508.563172,4.608800,1,82.0000,0.8600,96.0000,1350.0000,54.8000,
run,5,1786622509.071268,1786622510.107648,1786622509.589458,5.635086,1,42.0000,0.7400,57.0000,800.0000,53.1000,
run,6,1786622510.107816,1786622511.401574,1786622510.754695,6.800323,1,84.0000,0.8600,98.0000,1350.0000,55.0000,
run,7,1786622511.401687,1786622512.436154,1786622511.918920,7.964548,1,67.0000,0.8600,78.0000,1350.0000,54.5000,
run,8,1786622512.436259,1786622513.425625,1786622512.930942,8.976570,1,68.0000,0.8600,79.0000,1350.0000,54.4000,
run,9,1786622513.425718,1786622514.451504,1786622513.938611,9.984239,1,68.0000,0.8600,79.0000,1350.0000,54.8000,
run,10,1786622514.451554,1786622515.484623,1786622514.968089,11.013717,1,68.0000,0.8600,79.0000,1350.0000,54.6000,
run,11,1786622515.484840,1786622516.510530,1786622515.997685,12.043313,1,69.0000,0.8600,81.0000,1350.0000,54.5000,
run,12,1786622516.510636,1786622517.507142,1786622517.008889,13.054517,1,69.0000,0.8600,81.0000,1350.0000,55.0000,
run,13,1786622517.507238,1786622518.495079,1786622518.001158,14.046786,1,68.0000,0.8600,79.0000,1350.0000,54.6000,
run,14,1786622518.495177,1786622519.474850,1786622518.985014,15.030642,1,69.0000,0.8600,81.0000,1350.0000,54.9000,
run,15,1786622519.474950,1786622520.502851,1786622519.988901,16.034529,1,69.0000,0.8600,81.0000,1350.0000,54.6000,
run,16,1786622520.503066,1786622521.535266,1786622521.019166,17.064794,1,68.0000,0.8600,79.0000,1350.0000,54.6000,
run,17,1786622521.535446,1786622522.561431,1786622522.048438,18.094066,1,69.0000,0.8600,81.0000,1350.0000,54.6000,
run,18,1786622522.561548,1786622523.599266,1786622523.080407,19.126035,1,69.0000,0.8600,81.0000,1350.0000,54.8000,
run,19,1786622523.599450,1786622524.599910,1786622524.099680,20.145308,1,68.0000,0.8600,79.0000,1350.0000,54.9000,
run,20,1786622524.599956,1786622525.590176,1786622525.095066,21.140694,1,69.0000,0.8600,81.0000,1350.0000,54.9000,
run,21,1786622525.590481,1786622526.619447,1786622526.104964,22.150592,1,69.0000,0.8600,81.0000,1350.0000,55.0000,
run,22,1786622526.619558,1786622527.624485,1786622527.122022,23.167650,1,68.0000,0.8600,79.0000,1350.0000,54.8000,
run,23,1786622527.624605,1786622528.613051,1786622528.118828,24.164456,1,68.0000,0.8600,79.0000,1350.0000,54.6000,
run,24,1786622528.613372,1786622529.623646,1786622529.118509,25.164137,1,69.0000,0.8600,81.0000,1350.0000,54.6000,
run,25,1786622529.623748,1786622530.620960,1786622530.122354,26.167982,1,67.0000,0.8600,78.0000,1350.0000,54.5000,
run,26,1786622530.621186,1786622531.614166,1786622531.117676,27.163304,1,68.0000,0.8600,79.0000,1350.0000,54.9000,
run,27,1786622531.614264,1786622532.591483,1786622532.102874,28.148502,1,69.0000,0.8600,81.0000,1350.0000,54.8000,
run,28,1786622532.591581,1786622533.622344,1786622533.106963,29.152591,1,69.0000,0.8600,81.0000,1350.0000,54.8000,
run,29,1786622533.622391,1786622534.656906,1786622534.139648,30.185276,1,69.0000,0.8600,81.0000,1350.0000,54.9000,
run,30,1786622534.656955,1786622535.660816,1786622535.158885,31.204513,1,69.0000,0.8600,81.0000,1350.0000,54.8000,
run,31,1786622535.661004,1786622536.661458,1786622536.161231,32.206859,1,69.0000,0.8600,81.0000,1350.0000,54.6000,
run,32,1786622536.661509,1786622537.655416,1786622537.158463,33.204091,1,69.0000,0.8600,81.0000,1350.0000,54.8000,
run,33,1786622537.655515,1786622538.681801,1786622538.168658,34.214286,1,68.0000,0.8600,79.0000,1350.0000,54.9000,
run,34,1786622538.681907,1786622539.729967,1786622539.205937,35.251565,1,69.0000,0.8600,81.0000,1350.0000,54.8000,
run,35,1786622539.730215,1786622540.793666,1786622540.261940,36.307568,1,68.0000,0.8600,79.0000,1350.0000,54.8000,
run,36,1786622540.793764,1786622541.857196,1786622541.325480,37.371108,1,68.0000,0.8600,79.0000,1350.0000,54.9000,
run,37,1786622541.857381,1786622542.910130,1786622542.383756,38.429384,1,69.0000,0.8600,81.0000,1350.0000,54.9000,
run,38,1786622542.910237,1786622543.949672,1786622543.429955,39.475583,1,69.0000,0.8600,81.0000,1350.0000,54.8000,
run,39,1786622543.949779,1786622544.993889,1786622544.471834,40.517462,1,68.0000,0.8600,79.0000,1350.0000,55.0000,
run,40,1786622544.993995,1786622546.053066,1786622545.523530,41.569159,1,68.0000,0.8600,79.0000,1350.0000,54.8000,
run,41,1786622546.053367,1786622547.045797,1786622546.549582,42.595210,1,69.0000,0.8600,81.0000,1350.0000,54.8000,
run,42,1786622547.045919,1786622548.114269,1786622547.580094,43.625722,1,69.0000,0.8600,81.0000,1350.0000,55.0000,
run,43,1786622548.114439,1786622549.162135,1786622548.638288,44.683916,1,68.0000,0.8600,79.0000,1350.0000,54.9000,
run,44,1786622549.162243,1786622550.198630,1786622549.680436,45.726064,1,68.0000,0.8600,79.0000,1350.0000,55.0000,
run,45,1786622550.198731,1786622551.258643,1786622550.728687,46.774315,1,68.0000,0.8600,79.0000,1350.0000,55.0000,
run,46,1786622551.258863,1786622552.264255,1786622551.761559,47.807188,1,42.0000,0.7400,57.0000,800.0000,53.4000,
run,47,1786622552.264446,1786622553.341407,1786622552.802927,48.848555,1,39.0000,0.7400,54.0000,800.0000,51.6000,
