phase,i,t_start,t_end,t_mid,dt_s,ok,power_w,voltage_v,current_a,aiclk_mhz,temp_c,error
run,0,1786622736.790372,1786622737.788496,1786622737.289434,0.502112,1,39.0000,0.7400,53.0000,800.0000,50.5000,
run,1,1786622737.788602,1786622738.826461,1786622738.307531,1.520210,1,39.0000,0.7400,53.0000,800.0000,50.4000,
run,2,1786622738.826512,1786622739.871404,1786622739.348958,2.561636,1,39.0000,0.7400,54.0000,800.0000,50.4000,
run,3,1786622739.871452,1786622740.885262,1786622740.378357,3.591035,1,39.0000,0.7400,54.0000,800.0000,49.8000,
run,4,1786622740.885566,1786622741.915787,1786622741.400676,4.613355,1,39.0000,0.7400,54.0000,800.0000,49.6000,
run,5,1786622741.915867,1786622742.906033,1786622742.410950,5.623628,1,42.0000,0.7400,57.0000,800.0000,49.6000,
run,6,1786622742.906132,1786622743.954225,1786622743.430178,6.642857,1,41.0000,0.7400,56.0000,800.0000,49.4000,
run,7,1786622743.954271,1786622745.006645,1786622744.480458,7.693137,1,38.0000,0.7400,52.0000,800.0000,48.7000,
run,8,1786622745.006692,1786622746.057166,1786622745.531929,8.744608,1,42.0000,0.7400,57.0000,800.0000,49.0000,
run,9,1786622746.057447,1786622747.044874,1786622746.551161,9.763839,1,39.0000,0.7400,54.0000,800.0000,48.1000,
run,10,1786622747.044992,1786622748.101486,1786622747.573239,10.785917,1,39.0000,0.7400,54.0000,800.0000,48.5000,
run,11,1786622748.101535,1786622749.152129,1786622748.626832,11.839510,1,39.0000,0.7400,54.0000,800.0000,47.8000,
run,12,1786622749.152176,1786622750.204580,1786622749.678378,12.891056,1,39.0000,0.7400,53.0000,800.0000,47.8000,
run,13,1786622750.204691,1786622751.240161,1786622750.722426,13.935105,1,39.0000,0.7400,53.0000,800.0000,47.6000,
run,14,1786622751.240387,1786622752.263005,1786622751.751696,14.964375,1,38.0000,0.7400,52.0000,800.0000,47.6000,
run,15,1786622752.263209,1786622753.310482,1786622752.786846,15.999524,1,39.0000,0.7400,54.0000,800.0000,47.1000,
run,16,1786622753.310533,1786622754.368093,1786622753.839313,17.051991,1,38.0000,0.7400,52.0000,800.0000,46.9000,
run,17,1786622754.368140,1786622755.374909,1786622754.871524,18.084203,1,39.0000,0.7400,53.0000,800.0000,46.9000,
run,18,1786622755.375010,1786622756.378812,1786622755.876911,19.089590,1,38.0000,0.7400,52.0000,800.0000,46.7000,
run,19,1786622756.379067,1786622757.378789,1786622756.878928,20.091607,1,38.0000,0.7400,52.0000,800.0000,46.8000,
run,20,1786622757.378895,1786622758.440501,1786622757.909698,21.122376,1,39.0000,0.7400,53.0000,800.0000,46.4000,
run,21,1786622758.440552,1786622759.519877,1786622758.980215,22.192893,1,38.0000,0.7400,52.0000,800.0000,46.3000,
run,22,1786622759.519992,1786622760.582233,1786622760.051112,23.263791,1,41.0000,0.7400,56.0000,800.0000,46.3000,
run,23,1786622760.582417,1786622761.625565,1786622761.103991,24.316669,1,38.0000,0.7400,52.0000,800.0000,46.0000,
run,24,1786622761.625796,1786622762.611358,1786622762.118577,25.331256,1,42.0000,0.7400,57.0000,800.0000,45.8000,
run,25,1786622762.611461,1786622763.619261,1786622763.115361,26.328040,1,39.0000,0.7400,54.0000,800.0000,45.8000,
run,26,1786622763.619436,1786622764.659701,1786622764.139568,27.352247,1,38.0000,0.7400,52.0000,800.0000,45.7000,
run,27,1786622764.659811,1786622765.714746,1786622765.187279,28.399957,1,38.0000,0.7400,52.0000,800.0000,45.5000,
run,28,1786622765.715081,1786622766.734519,1786622766.224800,29.437479,1,38.0000,0.7400,52.0000,800.0000,45.4000,
run,29,1786622766.734742,1786622767.828033,1786622767.281387,30.494066,1,38.0000,0.7400,52.0000,800.0000,44.9000,
run,30,1786622767.828146,1786622768.874745,1786622768.351445,31.564124,1,38.0000,0.7400,52.0000,800.0000,45.0000,
run,31,1786622768.874843,1786622769.921197,1786622769.398020,32.610698,1,39.0000,0.7400,54.0000,800.0000,45.2000,
run,32,1786622769.921363,1786622770.979638,1786622770.450501,33.663179,1,38.0000,0.7400,52.0000,800.0000,44.8000,
run,33,1786622770.979862,1786622771.982209,1786622771.481035,34.693714,1,38.0000,0.7400,52.0000,800.0000,44.5000,
run,34,1786622771.982395,1786622773.052224,1786622772.517309,35.729988,1,38.0000,0.7400,52.0000,800.0000,44.6000,
run,35,1786622773.052409,1786622774.055114,1786622773.553761,36.766440,1,38.0000,0.7400,52.0000,800.0000,44.6000,
run,36,1786622774.055453,1786622775.063968,1786622774.559711,37.772389,1,38.0000,0.7400,52.0000,800.0000,44.6000,
run,37,1786622775.064071,1786622776.105467,1786622775.584769,38.797447,1,38.0000,0.7400,52.0000,800.0000,44.1000,
run,38,1786622776.105681,1786622777.119221,1786622776.612451,39.825130,1,41.0000,0.7400,56.0000,800.0000,44.4000,
