t,aiclk,arcclk,axiclk,therm_trip
1786622779.591975,800,800,960,0
1786622779.843763,800,800,960,0
1786622780.094229,1350,800,960,0
1786622780.344768,1350,800,960,0
1786622780.595222,1350,800,960,0
1786622780.845709,1350,800,960,0
1786622781.096150,1350,800,960,0
1786622781.346692,1350,800,960,0
1786622781.597113,1350,800,960,0
1786622781.847627,1350,800,960,0
1786622782.098072,1350,800,960,0
1786622782.348560,1350,800,960,0
1786622782.598977,1350,800,960,0
1786622782.849460,1350,800,960,0
1786622783.099899,1350,800,960,0
1786622783.350379,1350,800,960,0
1786622783.600794,1350,800,960,0
1786622783.851207,1350,800,960,0
1786622784.101693,1350,800,960,0
1786622784.352108,1350,800,960,0
1786622784.602623,1350,800,960,0
1786622784.853038,1350,800,960,0
1786622785.103537,1350,800,960,0
1786622785.353951,1350,800,960,0
1786622785.604436,1350,800,960,0
1786622785.854849,1350,800,960,0
1786622786.105270,1350,800,960,0
1786622786.355788,1350,800,960,0
1786622786.606304,1350,800,960,0
1786622786.856819,1350,800,960,0
1786622787.107253,1350,800,960,0
1786622787.357752,1350,800,960,0
1786622787.608197,1350,800,960,0
1786622787.858677,1350,800,960,0
1786622788.109091,1350,800,960,0
1786622788.359610,1350,800,960,0
1786622788.610081,1350,800,960,0
1786622788.860564,1350,800,960,0
1786622789.110999,1350,800,960,0
1786622789.361510,1350,800,960,0
1786622789.611924,1350,800,960,0
1786622789.862424,1350,800,960,0
1786622790.112849,1350,800,960,0
1786622790.363289,1350,800,960,0
1786622790.613732,1350,800,960,0
1786622790.864154,1350,800,960,0
1786622791.114657,1350,800,960,0
1786622791.365120,1350,800,960,0
1786622791.615710,1350,800,960,0
1786622791.866153,1350,800,960,0
1786622792.116640,1350,800,960,0
1786622792.367104,1350,800,960,0
1786622792.617615,1350,800,960,0
1786622792.868038,1350,800,960,0
1786622793.118538,1350,800,960,0
1786622793.369011,1350,800,960,0
1786622793.619491,1350,800,960,0
1786622793.869961,1350,800,960,0
1786622794.120446,1350,800,960,0
1786622794.370868,1350,800,960,0
1786622794.621321,1350,800,960,0
1786622794.871740,1350,800,960,0
1786622795.122169,1350,800,960,0
1786622795.372655,1350,800,960,0
1786622795.623077,1350,800,960,0
1786622795.873572,1350,800,960,0
1786622796.124010,1350,800,960,0
1786622796.374549,1350,800,960,0
1786622796.625001,1350,800,960,0
1786622796.875575,1350,800,960,0
1786622797.126012,1350,800,960,0
1786622797.376499,1350,800,960,0
1786622797.626934,1350,800,960,0
1786622797.877451,1350,800,960,0
1786622798.127878,1350,800,960,0
1786622798.378296,1350,800,960,0
1786622798.628740,1350,800,960,0
1786622798.879159,1350,800,960,0
1786622799.129671,1350,800,960,0
1786622799.380089,1350,800,960,0
1786622799.630575,1350,800,960,0
1786622799.880992,1350,800,960,0
1786622800.131479,1350,800,960,0
1786622800.381897,1350,800,960,0
1786622800.632393,1350,800,960,0
1786622800.882812,1350,800,960,0
1786622801.133235,1350,800,960,0
1786622801.383716,1350,800,960,0
1786622801.634138,1350,800,960,0
1786622801.884680,1350,800,960,0
1786622802.135104,1350,800,960,0
1786622802.385587,1350,800,960,0
1786622802.636045,1350,800,960,0
1786622802.886549,1350,800,960,0
1786622803.136971,1350,800,960,0
1786622803.387449,1350,800,960,0
1786622803.637869,1350,800,960,0
1786622803.888292,1350,800,960,0
1786622804.138762,1350,800,960,0
1786622804.389201,1350,800,960,0
1786622804.639706,1350,800,960,0
1786622804.890127,1350,800,960,0
1786622805.140618,1350,800,960,0
1786622805.391037,1350,800,960,0
1786622805.641516,1350,800,960,0
1786622805.891939,1350,800,960,0
1786622806.142411,1350,800,960,0
1786622806.392832,1350,800,960,0
1786622806.643249,1350,800,960,0
1786622806.893736,1350,800,960,0
1786622807.144246,1350,800,960,0
1786622807.394724,1350,800,960,0
1786622807.645141,1350,800,960,0
1786622807.895617,1350,800,960,0
1786622808.146037,1350,800,960,0
1786622808.396521,1350,800,960,0
1786622808.646959,1350,800,960,0
1786622808.897442,1350,800,960,0
