phase,i,t_start,t_end,t_mid,dt_s,ok,power_w,voltage_v,current_a,aiclk_mhz,temp_c,error
run,0,1786622779.606141,1786622780.881235,1786622780.243688,0.640164,1,80.0000,0.8600,94.0000,1350.0000,47.5000,
run,1,1786622780.881427,1786622781.936967,1786622781.409197,1.805673,1,64.0000,0.8600,75.0000,1350.0000,47.3000,
run,2,1786622781.937206,1786622782.933409,1786622782.435308,2.831783,1,67.0000,0.8600,78.0000,1350.0000,47.6000,
run,3,1786622782.933596,1786622783.932206,1786622783.432901,3.829376,1,64.0000,0.8600,75.0000,1350.0000,47.8000,
run,4,1786622783.932385,1786622784.965568,1786622784.448977,4.845453,1,64.0000,0.8600,75.0000,1350.0000,48.1000,
run,5,1786622784.965677,1786622785.983535,1786622785.474606,5.871082,1,64.0000,0.8600,75.0000,1350.0000,48.2000,
run,6,1786622785.983644,1786622787.004696,1786622786.494170,6.890646,1,67.0000,0.8600,78.0000,1350.0000,48.5000,
run,7,1786622787.004845,1786622788.048688,1786622787.526767,7.923242,1,64.0000,0.8600,75.0000,1350.0000,48.4000,
run,8,1786622788.048803,1786622789.103090,1786622788.575946,8.972422,1,64.0000,0.8600,75.0000,1350.0000,48.9000,
run,9,1786622789.103196,1786622790.125618,1786622789.614407,10.010883,1,64.0000,0.8600,75.0000,1350.0000,48.9000,
run,10,1786622790.125725,1786622791.131439,1786622790.628582,11.025058,1,67.0000,0.8600,78.0000,1350.0000,49.1000,
run,11,1786622791.131544,1786622792.174210,1786622791.652877,12.049352,1,67.0000,0.8600,78.0000,1350.0000,49.5000,
run,12,1786622792.174444,1786622793.216905,1786622792.695674,13.092150,1,67.0000,0.8600,78.0000,1350.0000,49.3000,
run,13,1786622793.217018,1786622794.276866,1786622793.746942,14.143417,1,67.0000,0.8600,78.0000,1350.0000,49.5000,
run,14,1786622794.276970,1786622795.306722,1786622794.791846,15.188322,1,67.0000,0.8600,78.0000,1350.0000,49.6000,
run,15,1786622795.306831,1786622796.328880,1786622795.817856,16.214331,1,64.0000,0.8600,75.0000,1350.0000,49.6000,
run,16,1786622796.328985,1786622797.375878,1786622796.852432,17.248907,1,67.0000,0.8600,78.0000,1350.0000,49.8000,
run,17,1786622797.376034,1786622798.424249,1786622797.900142,18.296617,1,67.0000,0.8600,78.0000,1350.0000,50.0000,
run,18,1786622798.424438,1786622799.470159,1786622798.947299,19.343774,1,67.0000,0.8600,78.0000,1350.0000,50.0000,
run,19,1786622799.470267,1786622800.499234,1786622799.984750,20.381226,1,67.0000,0.8600,78.0000,1350.0000,50.4000,
run,20,1786622800.499339,1786622801.497011,1786622800.998175,21.394651,1,67.0000,0.8600,78.0000,1350.0000,50.4000,
run,21,1786622801.497117,1786622802.534256,1786622802.015687,22.412162,1,67.0000,0.8600,78.0000,1350.0000,50.5000,
run,22,1786622802.534479,1786622803.572403,1786622803.053442,23.449917,1,67.0000,0.8600,78.0000,1350.0000,50.7000,
run,23,1786622803.572515,1786622804.568780,1786622804.070647,24.467123,1,67.0000,0.8600,78.0000,1350.0000,50.8000,
run,24,1786622804.568891,1786622805.600685,1786622805.084788,25.481264,1,67.0000,0.8600,78.0000,1350.0000,50.8000,
run,25,1786622805.600792,1786622806.622934,1786622806.111863,26.508339,1,67.0000,0.8600,78.0000,1350.0000,50.9000,
run,26,1786622806.623043,1786622807.620922,1786622807.121982,27.518458,1,67.0000,0.8600,78.0000,1350.0000,51.0000,
run,27,1786622807.621165,1786622808.652090,1786622808.136627,28.533103,1,67.0000,0.8600,78.0000,1350.0000,51.2000,
run,28,1786622808.652198,1786622809.682553,1786622809.167375,29.563851,1,67.0000,0.8600,78.0000,1350.0000,51.0000,
run,29,1786622809.682661,1786622810.716723,1786622810.199692,30.596168,1,67.0000,0.8600,78.0000,1350.0000,51.2000,
run,30,1786622810.716823,1786622811.720522,1786622811.218673,31.615148,1,67.0000,0.8600,78.0000,1350.0000,51.3000,
run,31,1786622811.720628,1786622812.714579,1786622812.217603,32.614079,1,67.0000,0.8600,78.0000,1350.0000,51.6000,
run,32,1786622812.714815,1786622813.745137,1786622813.229976,33.626452,1,67.0000,0.8600,78.0000,1350.0000,51.6000,
run,33,1786622813.745185,1786622814.781451,1786622814.263318,34.659794,1,67.0000,0.8600,78.0000,1350.0000,51.4000,
run,34,1786622814.781566,1786622815.814975,1786622815.298270,35.694746,1,67.0000,0.8600,78.0000,1350.0000,51.7000,
run,35,1786622815.815226,1786622816.825467,1786622816.320346,36.716822,1,67.0000,0.8600,78.0000,1350.0000,51.8000,
run,36,1786622816.825572,1786622817.820201,1786622817.322886,37.719362,1,67.0000,0.8600,78.0000,1350.0000,51.6000,
run,37,1786622817.820571,1786622818.850019,1786622818.335295,38.731770,1,68.0000,0.8600,79.0000,1350.0000,51.8000,
run,38,1786622818.850126,1786622819.868991,1786622819.359559,39.756034,1,68.0000,0.8600,79.0000,1350.0000,51.9000,
run,39,1786622819.869038,1786622820.900386,1786622820.384712,40.781188,1,67.0000,0.8600,78.0000,1350.0000,51.9000,
run,40,1786622820.900497,1786622821.924715,1786622821.412606,41.809081,1,42.0000,0.7400,57.0000,800.0000,50.8000,
run,41,1786622821.924822,1786622822.917421,1786622822.421121,42.817597,1,41.0000,0.7400,56.0000,800.0000,48.6000,
