t,aiclk,arcclk,axiclk,therm_trip
1786623187.800401,800,800,960,0
1786623188.052411,800,800,960,0
1786623188.302875,800,800,960,0
1786623188.553319,1350,800,960,0
1786623188.803760,1350,800,960,0
1786623189.054185,1350,800,960,0
1786623189.304738,1350,800,960,0
1786623189.555180,1350,800,960,0
1786623189.805681,1350,800,960,0
1786623190.056139,1350,800,960,0
1786623190.306614,1350,800,960,0
1786623190.557039,1350,800,960,0
1786623190.807518,1350,800,960,0
1786623191.057941,1350,800,960,0
1786623191.308455,1350,800,960,0
1786623191.558874,1350,800,960,0
1786623191.809328,1350,800,960,0
1786623192.059819,1350,800,960,0
1786623192.310240,1350,800,960,0
1786623192.560719,1350,800,960,0
1786623192.811156,1350,800,960,0
1786623193.061641,1350,800,960,0
1786623193.312099,1350,800,960,0
1786623193.562580,1350,800,960,0
1786623193.813033,1350,800,960,0
1786623194.063563,1350,800,960,0
1786623194.314002,1350,800,960,0
1786623194.564495,1350,800,960,0
1786623194.814917,1350,800,960,0
1786623195.065421,1350,800,960,0
1786623195.315856,1350,800,960,0
1786623195.566337,1350,800,960,0
1786623195.816756,1350,800,960,0
1786623196.067178,1350,800,960,0
1786623196.317656,1350,800,960,0
1786623196.568075,1350,800,960,0
1786623196.818601,1350,800,960,0
1786623197.069022,1350,800,960,0
1786623197.319563,1350,800,960,0
1786623197.569990,1350,800,960,0
1786623197.820481,1350,800,960,0
1786623198.070903,1350,800,960,0
1786623198.321408,1350,800,960,0
1786623198.571837,1350,800,960,0
1786623198.822258,1350,800,960,0
1786623199.072736,1350,800,960,0
1786623199.323162,1350,800,960,0
1786623199.573646,1350,800,960,0
1786623199.824069,1350,800,960,0
1786623200.074567,1350,800,960,0
1786623200.324996,1350,800,960,0
1786623200.575486,1350,800,960,0
1786623200.825921,1350,800,960,0
1786623201.076408,1350,800,960,0
1786623201.326830,1350,800,960,0
1786623201.577256,1350,800,960,0
1786623201.827730,1350,800,960,0
1786623202.078176,1350,800,960,0
1786623202.328799,1350,800,960,0
1786623202.579603,1350,800,960,0
1786623202.830196,1350,800,960,0
1786623203.080845,1350,800,960,0
1786623203.331467,1350,800,960,0
1786623203.581894,1350,800,960,0
1786623203.832374,1350,800,960,0
1786623204.082797,1350,800,960,0
