phase,i,t_start,t_end,t_mid,dt_s,ok,power_w,voltage_v,current_a,aiclk_mhz,temp_c,error
run,0,1786623187.814401,1786623189.134483,1786623188.474442,0.662655,1,82.0000,0.8600,96.0000,1350.0000,54.3000,
run,1,1786623189.134592,1786623190.146525,1786623189.640559,1.828772,1,67.0000,0.8600,78.0000,1350.0000,54.1000,
run,2,1786623190.146638,1786623191.130637,1786623190.638637,2.826850,1,67.0000,0.8600,78.0000,1350.0000,54.3000,
run,3,1786623191.130684,1786623192.142657,1786623191.636671,3.824884,1,69.0000,0.8600,81.0000,1350.0000,54.3000,
run,4,1786623192.142868,1786623193.172017,1786623192.657443,4.845656,1,68.0000,0.8600,79.0000,1350.0000,54.4000,
run,5,1786623193.172065,1786623194.171880,1786623193.671973,5.860186,1,68.0000,0.8600,79.0000,1350.0000,54.0000,
run,6,1786623194.171991,1786623195.198458,1786623194.685225,6.873438,1,69.0000,0.8600,81.0000,1350.0000,54.3000,
run,7,1786623195.198563,1786623196.185965,1786623195.692264,7.880477,1,69.0000,0.8600,81.0000,1350.0000,54.3000,
run,8,1786623196.186070,1786623197.193017,1786623196.689544,8.877757,1,69.0000,0.8600,81.0000,1350.0000,54.3000,
run,9,1786623197.193193,1786623198.229639,1786623197.711416,9.899629,1,69.0000,0.8600,81.0000,1350.0000,54.4000,
run,10,1786623198.229687,1786623199.230682,1786623198.730184,10.918397,1,69.0000,0.8600,81.0000,1350.0000,54.4000,
run,11,1786623199.230787,1786623200.215148,1786623199.722968,11.911181,1,69.0000,0.8600,81.0000,1350.0000,54.3000,
run,12,1786623200.215254,1786623201.239041,1786623200.727148,12.915361,1,69.0000,0.8600,81.0000,1350.0000,54.3000,
run,13,1786623201.239151,1786623202.211435,1786623201.725293,13.913506,1,68.0000,0.8600,79.0000,1350.0000,54.4000,
run,14,1786623202.211648,1786623203.215785,1786623202.713717,14.901930,1,69.0000,0.8600,81.0000,1350.0000,54.5000,
run,15,1786623203.215896,1786623204.275852,1786623203.745874,15.934087,1,68.0000,0.8600,79.0000,1350.0000,54.5000,
run,16,1786623204.275963,1786623205.279975,1786623204.777969,16.966182,1,68.0000,0.8600,79.0000,1350.0000,54.6000,
run,17,1786623205.280082,1786623206.333338,1786623205.806710,17.994923,1,68.0000,0.8600,79.0000,1350.0000,54.8000,
run,18,1786623206.333385,1786623207.376862,1786623206.855124,19.043337,1,69.0000,0.8600,81.0000,1350.0000,54.6000,
run,19,1786623207.377078,1786623208.355097,1786623207.866087,20.054301,1,69.0000,0.8600,81.0000,1350.0000,54.8000,
run,20,1786623208.355205,1786623209.380422,1786623208.867813,21.056026,1,68.0000,0.8600,79.0000,1350.0000,54.8000,
run,21,1786623209.380528,1786623210.354898,1786623209.867713,22.055926,1,67.0000,0.8600,78.0000,1350.0000,54.5000,
run,22,1786623210.355010,1786623211.416829,1786623210.885920,23.074133,1,67.0000,0.8600,78.0000,1350.0000,54.8000,
run,23,1786623211.416938,1786623212.428833,1786623211.922886,24.111099,1,68.0000,0.8600,79.0000,1350.0000,54.6000,
run,24,1786623212.429039,1786623213.404766,1786623212.916902,25.105115,1,69.0000,0.8600,81.0000,1350.0000,54.5000,
run,25,1786623213.404875,1786623214.396797,1786623213.900836,26.089049,1,69.0000,0.8600,81.0000,1350.0000,54.4000,
run,26,1786623214.396909,1786623215.380789,1786623214.888849,27.077062,1,69.0000,0.8600,81.0000,1350.0000,54.6000,
run,27,1786623215.380903,1786623216.408402,1786623215.894653,28.082866,1,69.0000,0.8600,81.0000,1350.0000,54.6000,
run,28,1786623216.408511,1786623217.388533,1786623216.898522,29.086735,1,69.0000,0.8600,81.0000,1350.0000,54.5000,
run,29,1786623217.388784,1786623218.437060,1786623217.912922,30.101135,1,67.0000,0.8600,78.0000,1350.0000,54.5000,
run,30,1786623218.437169,1786623219.422905,1786623218.930037,31.118250,1,68.0000,0.8600,79.0000,1350.0000,54.8000,
run,31,1786623219.423016,1786623220.410990,1786623219.917003,32.105216,1,69.0000,0.8600,81.0000,1350.0000,54.8000,
run,32,1786623220.411101,1786623221.438666,1786623220.924883,33.113096,1,68.0000,0.8600,79.0000,1350.0000,54.5000,
run,33,1786623221.438771,1786623222.453660,1786623221.946215,34.134429,1,69.0000,0.8600,81.0000,1350.0000,54.8000,
run,34,1786623222.453899,1786623223.463679,1786623222.958789,35.147002,1,69.0000,0.8600,81.0000,1350.0000,54.8000,
run,35,1786623223.463800,1786623224.506908,1786623223.985354,36.173567,1,68.0000,0.8600,79.0000,1350.0000,54.8000,
run,36,1786623224.507015,1786623225.500128,1786623225.003572,37.191785,1,69.0000,0.8600,81.0000,1350.0000,54.8000,
run,37,1786623225.500238,1786623226.542164,1786623226.021201,38.209414,1,68.0000,0.8600,79.0000,1350.0000,54.8000,
run,38,1786623226.542211,1786623227.577659,1786623227.059935,39.248148,1,69.0000,0.8600,81.0000,1350.0000,54.9000,
run,39,1786623227.577900,1786623228.634944,1786623228.106422,40.294635,1,68.0000,0.8600,79.0000,1350.0000,54.9000,
run,40,1786623228.634992,1786623229.667140,1786623229.151066,41.339279,1,42.0000,0.7400,57.0000,800.0000,54.0000,
run,41,1786623229.667188,1786623231.057259,1786623230.362223,42.550436,1,82.0000,0.8600,96.0000,1350.0000,55.0000,
