phase,i,t_start,t_end,t_mid,dt_s,ok,power_w,voltage_v,current_a,aiclk_mhz,temp_c,error
run,0,1786622871.305808,1786622872.635886,1786622871.970847,0.668836,1,82.0000,0.8600,96.0000,1350.0000,52.7000,
run,1,1786622872.635994,1786622873.707209,1786622873.171602,1.869591,1,68.0000,0.8600,79.0000,1350.0000,52.6000,
run,2,1786622873.707469,1786622874.753549,1786622874.230509,2.928498,1,67.0000,0.8600,78.0000,1350.0000,52.5000,
run,3,1786622874.753662,1786622875.792801,1786622875.273232,3.971221,1,68.0000,0.8600,79.0000,1350.0000,52.5000,
run,4,1786622875.792905,1786622876.813470,1786622876.303187,5.001176,1,68.0000,0.8600,79.0000,1350.0000,52.7000,
run,5,1786622876.813581,1786622877.830208,1786622877.321894,6.019884,1,67.0000,0.8600,78.0000,1350.0000,52.6000,
run,6,1786622877.830419,1786622878.881505,1786622878.355962,7.053951,1,68.0000,0.8600,79.0000,1350.0000,52.7000,
run,7,1786622878.881747,1786622879.893709,1786622879.387728,8.085717,1,69.0000,0.8600,81.0000,1350.0000,53.0000,
run,8,1786622879.893822,1786622880.927471,1786622880.410646,9.108636,1,67.0000,0.8600,78.0000,1350.0000,52.8000,
run,9,1786622880.927575,1786622881.939874,1786622881.433724,10.131713,1,68.0000,0.8600,79.0000,1350.0000,53.2000,
run,10,1786622881.939978,1786622882.957261,1786622882.448619,11.146609,1,68.0000,0.8600,79.0000,1350.0000,52.8000,
run,11,1786622882.957440,1786622884.004714,1786622883.481077,12.179066,1,67.0000,0.8600,78.0000,1350.0000,53.0000,
run,12,1786622884.004954,1786622885.014428,1786622884.509691,13.207680,1,67.0000,0.8600,78.0000,1350.0000,53.2000,
run,13,1786622885.014540,1786622886.085373,1786622885.549957,14.247946,1,69.0000,0.8600,81.0000,1350.0000,53.5000,
run,14,1786622886.085482,1786622887.133953,1786622886.609717,15.307707,1,68.0000,0.8600,79.0000,1350.0000,53.1000,
run,15,1786622887.134067,1786622888.228948,1786622887.681507,16.379496,1,67.0000,0.8600,78.0000,1350.0000,53.1000,
run,16,1786622888.229064,1786622889.260200,1786622888.744632,17.442621,1,69.0000,0.8600,81.0000,1350.0000,53.2000,
run,17,1786622889.260517,1786622890.301092,1786622889.780805,18.478794,1,67.0000,0.8600,78.0000,1350.0000,53.2000,
run,18,1786622890.301195,1786622891.313609,1786622890.807402,19.505392,1,69.0000,0.8600,81.0000,1350.0000,53.5000,
run,19,1786622891.313718,1786622892.388266,1786622891.850992,20.548981,1,67.0000,0.8600,78.0000,1350.0000,53.4000,
run,20,1786622892.388479,1786622893.459713,1786622892.924096,21.622085,1,67.0000,0.8600,78.0000,1350.0000,53.7000,
run,21,1786622893.459826,1786622894.499603,1786622893.979715,22.677704,1,67.0000,0.8600,78.0000,1350.0000,53.6000,
run,22,1786622894.499838,1786622895.536223,1786622895.018031,23.716020,1,68.0000,0.8600,79.0000,1350.0000,53.4000,
run,23,1786622895.536402,1786622896.626511,1786622896.081457,24.779446,1,67.0000,0.8600,78.0000,1350.0000,53.6000,
run,24,1786622896.626581,1786622897.698955,1786622897.162768,25.860758,1,69.0000,0.8600,81.0000,1350.0000,53.9000,
run,25,1786622897.699014,1786622898.740887,1786622898.219950,26.917939,1,69.0000,0.8600,81.0000,1350.0000,53.7000,
run,26,1786622898.740999,1786622899.778480,1786622899.259740,27.957729,1,69.0000,0.8600,81.0000,1350.0000,53.7000,
run,27,1786622899.778651,1786622900.790995,1786622900.284823,28.982812,1,69.0000,0.8600,81.0000,1350.0000,53.6000,
run,28,1786622900.791097,1786622901.800421,1786622901.295759,29.993748,1,67.0000,0.8600,78.0000,1350.0000,53.9000,
run,29,1786622901.800531,1786622902.861231,1786622902.330881,31.028871,1,69.0000,0.8600,81.0000,1350.0000,54.0000,
run,30,1786622902.861485,1786622903.935061,1786622903.398273,32.096262,1,69.0000,0.8600,81.0000,1350.0000,53.7000,
run,31,1786622903.935168,1786622904.996855,1786622904.466011,33.164000,1,69.0000,0.8600,81.0000,1350.0000,53.9000,
run,32,1786622904.997093,1786622906.034926,1786622905.516010,34.213999,1,67.0000,0.8600,78.0000,1350.0000,53.7000,
run,33,1786622906.035187,1786622907.117369,1786622906.576278,35.274267,1,69.0000,0.8600,81.0000,1350.0000,53.7000,
run,34,1786622907.117472,1786622908.197175,1786622907.657324,36.355313,1,67.0000,0.8600,78.0000,1350.0000,54.0000,
run,35,1786622908.197459,1786622909.462714,1786622908.830087,37.528076,1,69.0000,0.8600,81.0000,1350.0000,53.9000,
run,36,1786622909.462907,1786622910.656100,1786622910.059504,38.757493,1,67.0000,0.8600,78.0000,1350.0000,54.0000,
run,37,1786622910.656193,1786622911.573488,1786622911.114841,39.812830,1,67.0000,0.8600,78.0000,1350.0000,54.1000,
run,38,1786622911.573583,1786622912.778594,1786622912.176089,40.874078,1,67.0000,0.8600,78.0000,1350.0000,53.9000,
run,39,1786622912.778672,1786622913.462155,1786622913.120413,41.818403,1,42.0000,0.7400,57.0000,800.0000,52.6000,
run,40,1786622913.462251,1786622914.564898,1786622914.013575,42.711564,1,39.0000,0.7400,54.0000,800.0000,50.7000,
