t,aiclk,arcclk,axiclk,therm_trip
1786623052.034546,800,800,960,0
1786623052.288171,800,800,960,0
1786623052.539329,1350,800,960,0
1786623052.789824,1350,800,960,0
1786623053.040292,1350,800,960,0
1786623053.290757,1350,800,960,0
1786623053.541241,1350,800,960,0
1786623053.791840,1350,800,960,0
1786623054.042265,1350,800,960,0
1786623054.292747,1350,800,960,0
1786623054.543172,1350,800,960,0
1786623054.793643,1350,800,960,0
1786623055.044061,1350,800,960,0
1786623055.294555,1350,800,960,0
1786623055.544994,1350,800,960,0
1786623055.795475,1350,800,960,0
1786623056.045895,1350,800,960,0
1786623056.296378,1350,800,960,0
1786623056.546846,1350,800,960,0
1786623056.797267,1350,800,960,0
1786623057.047761,1350,800,960,0
1786623057.298185,1350,800,960,0
1786623057.548665,1350,800,960,0
1786623057.799088,1350,800,960,0
1786623058.049575,1350,800,960,0
1786623058.299998,1350,800,960,0
1786623058.550529,1350,800,960,0
1786623058.801255,1350,800,960,0
1786623059.051849,1350,800,960,0
1786623059.302332,1350,800,960,0
1786623059.552763,1350,800,960,0
1786623059.803193,1350,800,960,0
1786623060.053680,1350,800,960,0
1786623060.304102,1350,800,960,0
1786623060.554650,1350,800,960,0
1786623060.805076,1350,800,960,0
1786623061.055575,1350,800,960,0
1786623061.306012,1350,800,960,0
1786623061.556835,1350,800,960,0
1786623061.807258,1350,800,960,0
1786623062.057768,1350,800,960,0
1786623062.308192,1350,800,960,0
1786623062.558692,1350,800,960,0
1786623062.809115,1350,800,960,0
1786623063.059607,1350,800,960,0
1786623063.310034,1350,800,960,0
1786623063.560637,1350,800,960,0
1786623063.811538,1350,800,960,0
1786623064.062438,1350,800,960,0
1786623064.312900,1350,800,960,0
1786623064.563426,1350,800,960,0
1786623064.813856,1350,800,960,0
1786623065.064338,1350,800,960,0
1786623065.314759,1350,800,960,0
1786623065.565194,1350,800,960,0
1786623065.815687,1350,800,960,0
1786623066.066123,1350,800,960,0
1786623066.316621,1350,800,960,0
1786623066.567041,1350,800,960,0
1786623066.817527,1350,800,960,0
1786623067.067946,1350,800,960,0
1786623067.318426,1350,800,960,0
1786623067.568847,1350,800,960,0
1786623067.819270,1350,800,960,0
1786623068.069781,1350,800,960,0
1786623068.320204,1350,800,960,0
1786623068.570765,1350,800,960,0
1786623068.821617,1350,800,960,0
1786623069.072422,1350,800,960,0
1786623069.322941,1350,800,960,0
1786623069.573427,1350,800,960,0
1786623069.823854,1350,800,960,0
1786623070.074343,1350,800,960,0
1786623070.324771,1350,800,960,0
1786623070.575198,1350,800,960,0
1786623070.825667,1350,800,960,0
1786623071.076101,1350,800,960,0
1786623071.326578,1350,800,960,0
1786623071.577000,1350,800,960,0
1786623071.827482,1350,800,960,0
1786623072.077905,1350,800,960,0
1786623072.328384,1350,800,960,0
1786623072.578839,1350,800,960,0
1786623072.829258,1350,800,960,0
1786623073.079744,1350,800,960,0
1786623073.330165,1350,800,960,0
1786623073.580644,1350,800,960,0
1786623073.831133,1350,800,960,0
1786623074.081967,1350,800,960,0
1786623074.332555,1350,800,960,0
1786623074.582976,1350,800,960,0
1786623074.833456,1350,800,960,0
1786623075.083909,1350,800,960,0
1786623075.334383,1350,800,960,0
1786623075.584805,1350,800,960,0
1786623075.835225,1350,800,960,0
1786623076.085709,1350,800,960,0
1786623076.336129,1350,800,960,0
1786623076.586641,1350,800,960,0
1786623076.837060,1350,800,960,0
1786623077.087558,1350,800,960,0
1786623077.337979,1350,800,960,0
1786623077.588458,1350,800,960,0
1786623077.838890,1350,800,960,0
1786623078.089364,1350,800,960,0
1786623078.339786,1350,800,960,0
1786623078.590241,1350,800,960,0
1786623078.840719,1350,800,960,0
1786623079.091140,1350,800,960,0
1786623079.341688,1350,800,960,0
1786623079.592108,1350,800,960,0
1786623079.842592,1350,800,960,0
1786623080.093014,1350,800,960,0
1786623080.343499,1350,800,960,0
1786623080.593965,1350,800,960,0
1786623080.844453,1350,800,960,0
1786623081.094879,1350,800,960,0
1786623081.345303,1350,800,960,0
1786623081.595728,1350,800,960,0
1786623081.846164,1350,800,960,0
1786623082.096712,1350,800,960,0
1786623082.347135,1350,800,960,0
1786623082.597616,1350,800,960,0
1786623082.848039,1350,800,960,0
1786623083.098526,1350,800,960,0
1786623083.349000,1350,800,960,0
1786623083.599522,1350,800,960,0
1786623083.849991,1350,800,960,0
1786623084.100633,1350,800,960,0
1786623084.351080,1350,800,960,0
