session,cycle,slot,label,arm,inner,status,start_s,end_s,launches,wall_s,launches_per_s,pre_file,pow_file,clk_file,post_file,tt_smi_version
20260813T124852,0,0,baseline,baseline,0,ok,1786621735.400713,1786621775.441876,0,40,0,raw/c0-s0-baseline.pre.csv,raw/c0-s0-baseline.pow.csv,raw/c0-s0-baseline.clk.csv,,6.2.0
20260813T124852,0,1,idle-0,idle,0,ok,1786621778.177796,1786621820.986320,27985,40.000896,699.609,raw/c0-s1-idle-0.pre.csv,raw/c0-s1-idle-0.pow.csv,raw/c0-s1-idle-0.clk.csv,,6.2.0
20260813T124852,0,2,rv-200000,rv,200000,ok,1786621824.054265,1786621866.470806,16257,40.001856,406.406,raw/c0-s2-rv-200000.pre.csv,raw/c0-s2-rv-200000.pow.csv,raw/c0-s2-rv-200000.clk.csv,,6.2.0
20260813T124852,0,3,noc-4096,noc,4096,ok,1786621869.129796,1786621911.578099,13603,40.000434,340.071,raw/c0-s3-noc-4096.pre.csv,raw/c0-s3-noc-4096.pow.csv,raw/c0-s3-noc-4096.clk.csv,,6.2.0
20260813T124852,0,4,mm-4096,mm,4096,ok,1786621914.536046,1786621956.979370,24424,40.001406,610.579,raw/c0-s4-mm-4096.pre.csv,raw/c0-s4-mm-4096.pow.csv,raw/c0-s4-mm-4096.clk.csv,,6.2.0
20260813T124852,0,5,sfpu-4096,sfpu,4096,ok,1786621960.213566,1786622002.588241,19773,40.001960,494.301,raw/c0-s5-sfpu-4096.pre.csv,raw/c0-s5-sfpu-4096.pow.csv,raw/c0-s5-sfpu-4096.clk.csv,,6.2.0
20260813T124852,0,6,rv-800000,rv,800000,ok,1786622005.824036,1786622048.275378,7175,40.005067,179.352,raw/c0-s6-rv-800000.pre.csv,raw/c0-s6-rv-800000.pow.csv,raw/c0-s6-rv-800000.clk.csv,,6.2.0
20260813T124852,0,7,noc-16384,noc,16384,ok,1786622051.574948,1786622093.887573,5342,40.001534,133.545,raw/c0-s7-noc-16384.pre.csv,raw/c0-s7-noc-16384.pow.csv,raw/c0-s7-noc-16384.clk.csv,,6.2.0
20260813T124852,0,8,mm-16384,mm,16384,ok,1786622097.114027,1786622139.489093,17876,40.001069,446.888,raw/c0-s8-mm-16384.pre.csv,raw/c0-s8-mm-16384.pow.csv,raw/c0-s8-mm-16384.clk.csv,,6.2.0
20260813T124852,0,9,sfpu-16384,sfpu,16384,ok,1786622142.205840,1786622184.610394,10509,40.000395,262.722,raw/c0-s9-sfpu-16384.pre.csv,raw/c0-s9-sfpu-16384.pow.csv,raw/c0-s9-sfpu-16384.clk.csv,,6.2.0
20260813T124852,0,10,noc-4096__control,noc,4096,ok,1786622188.315959,1786622230.896385,13671,40.001793,341.760,raw/c0-s10-noc-4096__control.pre.csv,raw/c0-s10-noc-4096__control.pow.csv,raw/c0-s10-noc-4096__control.clk.csv,,6.2.0
20260813T124852,1,0,baseline,baseline,0,ok,1786622233.928643,1786622273.972927,0,40,0,raw/c1-s0-baseline.pre.csv,raw/c1-s0-baseline.pow.csv,raw/c1-s0-baseline.clk.csv,,6.2.0
20260813T124852,1,1,idle-0,idle,0,ok,1786622277.326172,1786622319.717158,28031,40.001176,700.754,raw/c1-s1-idle-0.pre.csv,raw/c1-s1-idle-0.pow.csv,raw/c1-s1-idle-0.clk.csv,,6.2.0
20260813T124852,1,2,rv-200000,rv,200000,ok,1786622322.228745,1786622364.624759,16211,40.000827,405.267,raw/c1-s2-rv-200000.pre.csv,raw/c1-s2-rv-200000.pow.csv,raw/c1-s2-rv-200000.clk.csv,,6.2.0
20260813T124852,1,3,noc-4096,noc,4096,ok,1786622367.323900,1786622409.625226,13588,40.002684,339.677,raw/c1-s3-noc-4096.pre.csv,raw/c1-s3-noc-4096.pow.csv,raw/c1-s3-noc-4096.clk.csv,,6.2.0
20260813T124852,1,4,mm-4096,mm,4096,ok,1786622412.637463,1786622454.910690,24562,40.001017,614.034,raw/c1-s4-mm-4096.pre.csv,raw/c1-s4-mm-4096.pow.csv,raw/c1-s4-mm-4096.clk.csv,,6.2.0
20260813T124852,1,5,sfpu-4096,sfpu,4096,ok,1786622457.506987,1786622500.423413,19833,40.000932,495.813,raw/c1-s5-sfpu-4096.pre.csv,raw/c1-s5-sfpu-4096.pow.csv,raw/c1-s5-sfpu-4096.clk.csv,,6.2.0
20260813T124852,1,6,rv-800000,rv,800000,ok,1786622503.905461,1786622552.449485,7172,40.005229,179.277,raw/c1-s6-rv-800000.pre.csv,raw/c1-s6-rv-800000.pow.csv,raw/c1-s6-rv-800000.clk.csv,,6.2.0
20260813T124852,1,7,noc-16384,noc,16384,ok,1786622555.841849,1786622598.351228,5329,40.005727,133.206,raw/c1-s7-noc-16384.pre.csv,raw/c1-s7-noc-16384.pow.csv,raw/c1-s7-noc-16384.clk.csv,,6.2.0
20260813T124852,1,8,mm-16384,mm,16384,ok,1786622600.706563,1786622643.258718,17711,40.000005,442.775,raw/c1-s8-mm-16384.pre.csv,raw/c1-s8-mm-16384.pow.csv,raw/c1-s8-mm-16384.clk.csv,,6.2.0
20260813T124852,1,9,sfpu-16384,sfpu,16384,ok,1786622645.741882,1786622688.736520,10530,40.000658,263.246,raw/c1-s9-sfpu-16384.pre.csv,raw/c1-s9-sfpu-16384.pow.csv,raw/c1-s9-sfpu-16384.clk.csv,,6.2.0
20260813T124852,1,10,noc-4096__control,noc,4096,ok,1786622691.876741,1786622734.151735,13608,40.000347,340.197,raw/c1-s10-noc-4096__control.pre.csv,raw/c1-s10-noc-4096__control.pow.csv,raw/c1-s10-noc-4096__control.clk.csv,,6.2.0
20260813T124852,2,0,baseline,baseline,0,ok,1786622736.737824,1786622776.778351,0,40,0,raw/c2-s0-baseline.pre.csv,raw/c2-s0-baseline.pow.csv,raw/c2-s0-baseline.clk.csv,,6.2.0
20260813T124852,2,1,idle-0,idle,0,ok,1786622779.556680,1786622821.949516,28210,40.001323,705.227,raw/c2-s1-idle-0.pre.csv,raw/c2-s1-idle-0.pow.csv,raw/c2-s1-idle-0.clk.csv,,6.2.0
20260813T124852,2,2,rv-200000,rv,200000,ok,1786622825.410807,1786622867.862806,16265,40.002347,406.601,raw/c2-s2-rv-200000.pre.csv,raw/c2-s2-rv-200000.pow.csv,raw/c2-s2-rv-200000.clk.csv,,6.2.0
20260813T124852,2,3,noc-4096,noc,4096,ok,1786622871.254142,1786622913.769709,13580,40.000255,339.498,raw/c2-s3-noc-4096.pre.csv,raw/c2-s3-noc-4096.pow.csv,raw/c2-s3-noc-4096.clk.csv,,6.2.0
20260813T124852,2,4,mm-4096,mm,4096,ok,1786622916.172806,1786622958.675120,23559,40.001518,588.953,raw/c2-s4-mm-4096.pre.csv,raw/c2-s4-mm-4096.pow.csv,raw/c2-s4-mm-4096.clk.csv,,6.2.0
20260813T124852,2,5,sfpu-4096,sfpu,4096,ok,1786622962.196986,1786623004.572414,19409,40.000860,485.215,raw/c2-s5-sfpu-4096.pre.csv,raw/c2-s5-sfpu-4096.pow.csv,raw/c2-s5-sfpu-4096.clk.csv,,6.2.0
20260813T124852,2,6,rv-800000,rv,800000,ok,1786623007.132735,1786623049.685814,7171,40.004208,179.256,raw/c2-s6-rv-800000.pre.csv,raw/c2-s6-rv-800000.pow.csv,raw/c2-s6-rv-800000.clk.csv,,6.2.0
20260813T124852,2,7,noc-16384,noc,16384,ok,1786623052.001617,1786623094.374968,5343,40.004489,133.560,raw/c2-s7-noc-16384.pre.csv,raw/c2-s7-noc-16384.pow.csv,raw/c2-s7-noc-16384.clk.csv,,6.2.0
20260813T124852,2,8,mm-16384,mm,16384,ok,1786623097.352097,1786623139.674037,17829,40.002190,445.701,raw/c2-s8-mm-16384.pre.csv,raw/c2-s8-mm-16384.pow.csv,raw/c2-s8-mm-16384.clk.csv,,6.2.0
20260813T124852,2,9,sfpu-16384,sfpu,16384,ok,1786623142.170400,1786623184.579631,10532,40.000246,263.298,raw/c2-s9-sfpu-16384.pre.csv,raw/c2-s9-sfpu-16384.pow.csv,raw/c2-s9-sfpu-16384.clk.csv,,6.2.0
20260813T124852,2,10,noc-4096__control,noc,4096,ok,1786623187.764951,1786623230.279893,13567,40.002334,339.155,raw/c2-s10-noc-4096__control.pre.csv,raw/c2-s10-noc-4096__control.pow.csv,raw/c2-s10-noc-4096__control.clk.csv,,6.2.0
