# dramratebench arch=blackhole magic=0x44524232 grid=12x10 clock_mhz=1350 banks=8
# bytes_per_reader=1048576 tx_bytes=4096 num_tx=256 repeats=3 samecore=absent-on-this-part
# agg_bytes_per_cycle = num_readers * bytes_per_reader / max(t1-t0); each
# reader differences its OWN clock, so a per-core clock epoch cancels
# write region at bank-local +0x01000000; POISON 0xBADDBADD re-laid before EVERY
# write point. witness_ok/stray_writes are -1 in a read row: not zero
# verified, but 'the host did not look, because for a read the DEVICE is
# the witness'. A write row is good only at witness_ok == num_readers AND
# stray_writes == 0 AND tags_ok == num_readers.
arm,repeat,point,num_readers,num_tx,tx_bytes,bytes_per_reader,total_bytes,max_cycles,min_cycles,agg_bytes_per_cycle,agg_gb_per_s,per_reader_bytes_per_cycle,distinct_banks,distinct_dram_cores,tags_ok,max_barrier_spins,measured_readers,direction,witness_ok,stray_writes
onechan,0,0,1,256,4096,1048576,1048576,22658,22658,46.2784,62.476,46.2784,1,1,1,0,1,read,-1,-1
fanchan,0,1,1,256,4096,1048576,1048576,22614,22614,46.3684,62.597,46.3684,1,1,1,0,1,read,-1,-1
onechan,0,2,2,256,4096,1048576,2097152,45460,45301,46.1318,62.278,23.0659,1,1,2,29851,2,read,-1,-1
fanchan,0,3,2,256,4096,1048576,2097152,22652,22516,92.5813,124.985,46.2907,2,2,2,29253,2,read,-1,-1
onechan,0,4,4,256,4096,1048576,4194304,90379,63259,46.4079,62.651,11.6020,1,1,4,55756,4,read,-1,-1
fanchan,0,5,4,256,4096,1048576,4194304,28875,22770,145.2573,196.097,36.3143,4,4,4,55363,4,read,-1,-1
onechan,0,6,8,256,4096,1048576,8388608,184349,62012,45.5040,61.430,5.6880,1,1,8,76200,8,read,-1,-1
fanchan,0,7,8,256,4096,1048576,8388608,45077,22622,186.0951,251.228,23.2619,8,8,8,76276,8,read,-1,-1
onechan,0,8,12,256,4096,1048576,12582912,272383,59195,46.1957,62.364,3.8496,1,1,12,84449,12,read,-1,-1
fanchan,0,9,12,256,4096,1048576,12582912,72405,24274,173.7851,234.610,14.4821,8,8,12,85196,12,read,-1,-1
onechan,0,10,16,256,4096,1048576,16777216,359408,106925,46.6801,63.018,2.9175,1,1,16,90027,16,read,-1,-1
fanchan,0,11,16,256,4096,1048576,16777216,79294,23903,211.5824,285.636,13.2239,8,8,16,89548,16,read,-1,-1
onechan,0,12,24,256,4096,1048576,25165824,534581,103342,47.0758,63.552,1.9615,1,1,24,94711,24,read,-1,-1
fanchan,0,13,24,256,4096,1048576,25165824,122936,34582,204.7067,276.354,8.5294,8,8,24,95023,24,read,-1,-1
onechan,0,14,32,256,4096,1048576,33554432,712237,110940,47.1113,63.600,1.4722,1,1,32,97970,32,read,-1,-1
fanchan,0,15,32,256,4096,1048576,33554432,139770,35444,240.0689,324.093,7.5022,8,8,32,97648,32,read,-1,-1
onechan,0,16,48,256,4096,1048576,50331648,1067623,101467,47.1437,63.644,0.9822,1,1,48,100431,48,read,-1,-1
fanchan,0,17,48,256,4096,1048576,50331648,259134,66112,194.2302,262.211,4.0465,8,8,48,100664,48,read,-1,-1
onechan,0,18,120,256,4096,1048576,125829120,2667541,93380,47.1705,63.680,0.3931,1,1,120,103859,120,read,-1,-1
fanchan,0,19,120,256,4096,1048576,125829120,549214,70392,229.1076,309.295,1.9092,8,8,120,103609,120,read,-1,-1
onechan-write,0,20,1,256,4096,1048576,1048576,22332,22332,46.9540,63.388,46.9540,1,1,1,0,1,write,1,0
fanchan-write,0,21,1,256,4096,1048576,1048576,22290,22290,47.0424,63.507,47.0424,1,1,1,0,1,write,1,0
onechan-write,0,22,2,256,4096,1048576,2097152,44748,44699,46.8658,63.269,23.4329,1,1,2,29309,2,write,2,0
