# dramratebench arch=wormhole magic=0x44524232 grid=8x8 clock_mhz=1000 banks=12
# bytes_per_reader=1048576 tx_bytes=4096 num_tx=256 repeats=3 samecore=absent-on-this-part
# agg_bytes_per_cycle = num_readers * bytes_per_reader / max(t1-t0); each
# reader differences its OWN clock, so a per-core clock epoch cancels
# write region at bank-local +0x01000000; POISON 0xBADDBADD re-laid before EVERY
# write point. witness_ok/stray_writes are -1 in a read row: not zero
# verified, but 'the host did not look, because for a read the DEVICE is
# the witness'. A write row is good only at witness_ok == num_readers AND
# stray_writes == 0 AND tags_ok == num_readers.
arm,repeat,point,num_readers,num_tx,tx_bytes,bytes_per_reader,total_bytes,max_cycles,min_cycles,agg_bytes_per_cycle,agg_gb_per_s,per_reader_bytes_per_cycle,distinct_banks,distinct_dram_cores,tags_ok,max_barrier_spins,measured_readers,direction,witness_ok,stray_writes
onechan-write,0,0,1,256,4096,1048576,1048576,47990,47990,21.8499,21.850,21.8499,1,1,1,0,1,write,1,0
fanchan-write,0,1,1,256,4096,1048576,1048576,48101,48101,21.7995,21.799,21.7995,1,1,1,0,1,write,1,0
onechan-write,0,2,12,256,4096,1048576,12582912,608542,203637,20.6771,20.677,1.7231,1,1,12,20237,12,write,12,0
fanchan-write,0,3,12,256,4096,1048576,12582912,358589,115101,35.0901,35.090,2.9242,12,12,12,20161,12,write,12,0
onechan-write,0,4,48,256,4096,1048576,50331648,2377118,195286,21.1734,21.173,0.4411,1,1,48,21654,48,write,48,0
fanchan-write,0,5,48,256,4096,1048576,50331648,1084857,100328,46.3947,46.395,0.9666,12,12,48,21867,48,write,48,0
onechan-write,0,6,64,256,4096,1048576,67108864,3145597,196119,21.3342,21.334,0.3333,1,1,64,21817,64,write,64,0
fanchan-write,0,7,64,256,4096,1048576,67108864,1311828,153830,51.1568,51.157,0.7993,12,12,64,21721,64,write,64,0
onechan-write,1,0,1,256,4096,1048576,1048576,48174,48174,21.7664,21.766,21.7664,1,1,1,0,1,write,1,0
fanchan-write,1,1,1,256,4096,1048576,1048576,47992,47992,21.8490,21.849,21.8490,1,1,1,0,1,write,1,0
onechan-write,1,2,12,256,4096,1048576,12582912,608621,203633,20.6745,20.674,1.7229,1,1,12,20002,12,write,12,0
fanchan-write,1,3,12,256,4096,1048576,12582912,358077,115253,35.1402,35.140,2.9284,12,12,12,20109,12,write,12,0
onechan-write,1,4,48,256,4096,1048576,50331648,2359630,198163,21.3303,21.330,0.4444,1,1,48,21617,48,write,48,0
fanchan-write,1,5,48,256,4096,1048576,50331648,1095077,100367,45.9617,45.962,0.9575,12,12,48,21769,48,write,48,0
onechan-write,1,6,64,256,4096,1048576,67108864,3159381,197678,21.2411,21.241,0.3319,1,1,64,21940,64,write,64,0
fanchan-write,1,7,64,256,4096,1048576,67108864,1318085,151222,50.9139,50.914,0.7955,12,12,64,21827,64,write,64,0
onechan-write,2,0,1,256,4096,1048576,1048576,47990,47990,21.8499,21.850,21.8499,1,1,1,0,1,write,1,0
fanchan-write,2,1,1,256,4096,1048576,1048576,47992,47992,21.8490,21.849,21.8490,1,1,1,0,1,write,1,0
onechan-write,2,2,12,256,4096,1048576,12582912,607157,203374,20.7243,20.724,1.7270,1,1,12,20056,12,write,12,0
fanchan-write,2,3,12,256,4096,1048576,12582912,358061,115225,35.1418,35.142,2.9285,12,12,12,20309,12,write,12,0
onechan-write,2,4,48,256,4096,1048576,50331648,2364679,194656,21.2848,21.285,0.4434,1,1,48,21628,48,write,48,0
fanchan-write,2,5,48,256,4096,1048576,50331648,1095270,97857,45.9536,45.954,0.9574,12,12,48,21750,48,write,48,0
onechan-write,2,6,64,256,4096,1048576,67108864,3152660,196959,21.2864,21.286,0.3326,1,1,64,21683,64,write,64,0
fanchan-write,2,7,64,256,4096,1048576,67108864,1318645,152766,50.8923,50.892,0.7952,12,12,64,21877,64,write,64,0
