label,arm,inner,launches,wall_s,launches_per_s
idle-0,idle,0,85248,48.000159,1775.994
rv-200000,rv,200000,21651,48.000646,451.056
noc-4096,noc,4096,18752,48.000036,390.666
mm-4096,mm,4096,53820,48.000406,1121.241
sfpu-4096,sfpu,4096,33502,48.001297,697.939
rv-800000,rv,800000,6793,48.003741,141.510
noc-16384,noc,16384,5680,48.001819,118.329
mm-16384,mm,16384,28001,48.001119,583.341
sfpu-16384,sfpu,16384,12505,48.000774,260.517
noc-4096__control,noc,4096,18922,48.000266,394.206
idle-0,idle,0,86327,48.000294,1798.468
rv-200000,rv,200000,21843,48.001848,455.045
noc-4096,noc,4096,18946,48.000630,394.703
mm-4096,mm,4096,54634,48.000342,1138.200
sfpu-4096,sfpu,4096,34115,48.000390,710.723
rv-800000,rv,800000,6792,48.000876,141.497
noc-16384,noc,16384,5690,48.000619,118.540
mm-16384,mm,16384,28016,48.001480,583.649
sfpu-16384,sfpu,16384,12532,48.000975,261.078
noc-4096__control,noc,4096,18905,48.000925,393.847
idle-0,idle,0,86335,48.000543,1798.625
rv-200000,rv,200000,21814,48.001216,454.447
noc-4096,noc,4096,18957,48.002151,394.920
mm-4096,mm,4096,54897,48.000596,1143.673
sfpu-4096,sfpu,4096,34116,48.000102,710.748
rv-800000,rv,800000,6793,48.006036,141.503
noc-16384,noc,16384,5690,48.003410,118.533
mm-16384,mm,16384,27963,48.000847,582.552
sfpu-16384,sfpu,16384,12540,48.003275,261.232
noc-4096__control,noc,4096,18940,48.002095,394.566
idle-0,idle,0,86325,48.000508,1798.418
rv-200000,rv,200000,21903,48.001829,456.295
noc-4096,noc,4096,18905,48.001010,393.846
mm-4096,mm,4096,54675,48.000780,1139.044
idle-0,idle,0,86336,48.000374,1798.653
rv-200000,rv,200000,21853,48.000540,455.266
noc-4096,noc,4096,18800,48.001419,391.655
mm-4096,mm,4096,54890,48.000806,1143.522
sfpu-4096,sfpu,4096,34057,48.001267,709.502
rv-800000,rv,800000,6794,48.001390,141.538
noc-16384,noc,16384,5689,48.007946,118.501
mm-16384,mm,16384,27987,48.001158,583.048
sfpu-16384,sfpu,16384,12537,48.003195,261.170
noc-4096__control,noc,4096,18927,48.001728,394.298
idle-0,idle,0,86035,48.000258,1792.386
rv-200000,rv,200000,21860,48.000807,455.409
noc-4096,noc,4096,18927,48.000305,394.310
mm-4096,mm,4096,54968,48.000611,1145.152
sfpu-4096,sfpu,4096,34099,48.000291,710.392
rv-800000,rv,800000,6794,48.005140,141.527
noc-16384,noc,16384,5691,48.002864,118.555
mm-16384,mm,16384,27996,48.001471,583.232
sfpu-16384,sfpu,16384,12545,48.001110,261.348
noc-4096__control,noc,4096,18931,48.002251,394.377
idle-0,idle,0,85035,48.000172,1771.556
rv-200000,rv,200000,21890,48.001733,456.025
noc-4096,noc,4096,18905,48.000306,393.852
mm-4096,mm,4096,54907,48.000330,1143.888
sfpu-4096,sfpu,4096,34123,48.001186,710.878
rv-800000,rv,800000,6793,48.006232,141.502
noc-16384,noc,16384,5691,48.000429,118.561
mm-16384,mm,16384,28008,48.001396,583.483
sfpu-16384,sfpu,16384,12544,48.000966,261.328
noc-4096__control,noc,4096,18937,48.000136,394.520
idle-0,idle,0,86339,48.000030,1798.728
rv-200000,rv,200000,21893,48.001839,456.087
noc-4096,noc,4096,18935,48.000553,394.475
mm-4096,mm,4096,54741,48.000498,1140.426
sfpu-4096,sfpu,4096,34008,48.000888,708.487
rv-800000,rv,800000,6792,48.001940,141.494
noc-16384,noc,16384,5692,48.001272,118.580
mm-16384,mm,16384,27962,48.000141,582.540
sfpu-16384,sfpu,16384,12536,48.002366,261.154
noc-4096__control,noc,4096,18937,48.002456,394.501
idle-0,idle,0,86128,48.000004,1794.333
rv-200000,rv,200000,21908,48.001665,456.401
noc-4096,noc,4096,18928,48.000808,394.327
mm-4096,mm,4096,54735,48.000112,1140.310
sfpu-4096,sfpu,4096,34091,48.001077,710.213
rv-800000,rv,800000,6795,48.006265,141.544
noc-16384,noc,16384,5692,48.005495,118.570
mm-16384,mm,16384,28017,48.001574,583.668
sfpu-16384,sfpu,16384,12545,48.003614,261.334
noc-4096__control,noc,4096,18923,48.000959,394.221
idle-0,idle,0,86298,48.000133,1797.870
rv-200000,rv,200000,21886,48.002075,455.939
noc-4096,noc,4096,18923,48.001766,394.215
mm-4096,mm,4096,54793,48.000676,1141.505
sfpu-4096,sfpu,4096,34127,48.000906,710.966
rv-800000,rv,800000,6795,48.006171,141.544
noc-16384,noc,16384,5692,48.003579,118.574
mm-16384,mm,16384,27997,48.000918,583.260
sfpu-16384,sfpu,16384,12533,48.000512,261.101
noc-4096__control,noc,4096,18940,48.001659,394.570
