session,cycle,slot,label,arm,inner,status,launches,wall_s,launches_per_s,power_w,power_sd_w,samples,attempts,sample_failures,pre_idle_w,pre_idle_samples,delta_w,aiclk_mhz,temp_c,sysfs_aiclk_mean,sysfs_aiclk_min,sysfs_aiclk_max,sysfs_aiclk_drift_pct,sysfs_arcclk_mean,therm_trip_delta,clock_samples,power_bracket_w,bracket_lag_s,bracket_samples,tt_smi_version,note
20260817T192711,0,0,baseline,baseline,0,ok,0,40,0,15.5273,0.5039,55,55,0,14.5000,4,1.0273,500.0,36.1,500.0,500.0,500.0,0.000,540.0,,96,,,0,6.2.1,
20260817T192711,0,1,idle-0,idle,0,ok,86336,48.000374,1798.653,28.8611,0.5120,72,72,0,15.2500,4,13.6111,1000.0,38.7,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,0,2,rv-200000,rv,200000,ok,21853,48.000540,455.266,29.6761,0.4713,71,71,0,16.2500,4,13.4261,1000.0,40.1,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,0,3,noc-4096,noc,4096,ok,18800,48.001419,391.655,30.0000,0.0000,72,72,0,16.5000,4,13.5000,1000.0,40.4,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,0,4,mm-4096,mm,4096,ok,54890,48.000806,1143.522,31.0278,0.1655,72,72,0,16.5000,4,14.5278,1000.0,40.8,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,0,5,sfpu-4096,sfpu,4096,ok,34057,48.001267,709.502,30.0278,0.1655,72,72,0,16.5000,4,13.5278,1000.0,41.0,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,0,6,rv-800000,rv,800000,ok,6794,48.001390,141.538,30.0000,0.0000,72,72,0,16.5000,4,13.5000,1000.0,41.2,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,0,7,noc-16384,noc,16384,ok,5689,48.007946,118.501,30.0139,0.1179,72,72,0,16.5000,4,13.5139,1000.0,41.2,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,0,8,mm-16384,mm,16384,ok,27987,48.001158,583.048,32.1944,0.3985,72,72,0,16.5000,4,15.6944,1000.0,41.6,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,0,9,sfpu-16384,sfpu,16384,ok,12537,48.003195,261.170,30.9577,0.2026,71,71,0,16.5000,4,14.4577,1000.0,41.5,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,0,10,noc-4096__control,noc,4096,ok,18927,48.001728,394.298,30.4583,0.5018,72,72,0,16.5000,4,13.9583,1000.0,41.5,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,1,0,baseline,baseline,0,ok,0,40,0,16.8727,0.3363,55,55,0,16.5000,4,0.3727,500.0,39.8,500.0,500.0,500.0,0.000,540.0,,96,,,0,6.2.1,
20260817T192711,1,1,idle-0,idle,0,ok,86035,48.000258,1792.386,29.9722,0.1655,72,72,0,16.0000,4,13.9722,1000.0,40.7,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,1,2,rv-200000,rv,200000,ok,21860,48.000807,455.409,30.0139,0.1179,72,72,0,16.5000,4,13.5139,1000.0,41.2,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,1,3,noc-4096,noc,4096,ok,18927,48.000305,394.310,30.2958,0.4596,71,71,0,16.5000,4,13.7958,1000.0,41.4,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,1,4,mm-4096,mm,4096,ok,54968,48.000611,1145.152,31.7500,0.4361,72,72,0,16.5000,4,15.2500,1000.0,42.0,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
20260817T192711,1,5,sfpu-4096,sfpu,4096,ok,34099,48.000291,710.392,31.0000,0.0000,71,71,0,16.5000,4,14.5000,1000.0,41.9,1000.0,1000.0,1000.0,0.000,540.0,,130,,,0,6.2.1,
