phase,i,t_start,t_end,t_mid,dt_s,ok,power_w,voltage_v,current_a,aiclk_mhz,temp_c,error
run,0,1786995124.017442,1786995124.468222,1786995124.242832,0.225494,1,32.0000,0.8600,37.0000,1000.0000,40.5000,
run,1,1786995124.468280,1786995124.924814,1786995124.696547,0.679209,1,30.0000,0.8600,35.0000,1000.0000,40.9000,
run,2,1786995124.924947,1786995125.385576,1786995125.155262,1.137923,1,30.0000,0.8600,35.0000,1000.0000,40.9000,
run,3,1786995125.385686,1786995125.838754,1786995125.612220,1.594882,1,30.0000,0.8600,35.0000,1000.0000,41.0000,
run,4,1786995125.838800,1786995126.297662,1786995126.068231,2.050893,1,30.0000,0.8600,35.0000,1000.0000,41.0000,
run,5,1786995126.297719,1786995126.751040,1786995126.524380,2.507041,1,30.0000,0.8600,35.0000,1000.0000,41.1000,
run,6,1786995126.751100,1786995127.210086,1786995126.980593,2.963254,1,30.0000,0.8600,35.0000,1000.0000,41.1000,
run,7,1786995127.210186,1786995127.665662,1786995127.437924,3.420586,1,30.0000,0.8600,35.0000,1000.0000,41.1000,
run,8,1786995127.665761,1786995128.126060,1786995127.895910,3.878572,1,30.0000,0.8600,35.0000,1000.0000,41.0000,
run,9,1786995128.126154,1786995128.581607,1786995128.353881,4.336543,1,30.0000,0.8600,35.0000,1000.0000,41.0000,
run,10,1786995128.581706,1786995129.039991,1786995128.810848,4.793510,1,30.0000,0.8600,35.0000,1000.0000,41.0000,
run,11,1786995129.040078,1786995129.493613,1786995129.266846,5.249507,1,30.0000,0.8600,35.0000,1000.0000,41.0000,
run,12,1786995129.493714,1786995129.950085,1786995129.721900,5.704561,1,30.0000,0.8600,35.0000,1000.0000,41.0000,
run,13,1786995129.950196,1786995130.403882,1786995130.177039,6.159701,1,30.0000,0.8600,35.0000,1000.0000,41.0000,
run,14,1786995130.403983,1786995130.860055,1786995130.632019,6.614681,1,30.0000,0.8600,35.0000,1000.0000,41.1000,
run,15,1786995130.860101,1786995131.313663,1786995131.086883,7.069544,1,30.0000,0.8600,35.0000,1000.0000,41.1000,
run,16,1786995131.313760,1786995131.774976,1786995131.544368,7.527030,1,30.0000,0.8600,35.0000,1000.0000,41.1000,
run,17,1786995131.775076,1786995132.231215,1786995132.003145,7.985807,1,30.0000,0.8600,35.0000,1000.0000,41.1000,
run,18,1786995132.231314,1786995132.685531,1786995132.458423,8.441084,1,30.0000,0.8600,35.0000,1000.0000,41.0000,
run,19,1786995132.685637,1786995133.140472,1786995132.913054,8.895716,1,30.0000,0.8600,35.0000,1000.0000,41.1000,
run,20,1786995133.140573,1786995133.598592,1786995133.369583,9.352244,1,30.0000,0.8600,35.0000,1000.0000,41.1000,
run,21,1786995133.598702,1786995134.055324,1786995133.827013,9.809675,1,30.0000,0.8600,35.0000,1000.0000,41.1000,
run,22,1786995134.055367,1786995134.512887,1786995134.284127,10.266789,1,30.0000,0.8600,35.0000,1000.0000,41.1000,
run,23,1786995134.512934,1786995134.962317,1786995134.737626,10.720287,1,30.0000,0.8600,35.0000,1000.0000,41.1000,
run,24,1786995134.962363,1786995135.415635,1786995135.188999,11.171661,1,30.0000,0.8600,35.0000,1000.0000,41.1000,
run,25,1786995135.415682,1786995135.874851,1786995135.645267,11.627928,1,30.0000,0.8600,35.0000,1000.0000,41.1000,
run,26,1786995135.874951,1786995136.331170,1786995136.103061,12.085722,1,30.0000,0.8600,35.0000,1000.0000,41.0000,
run,27,1786995136.331233,1786995136.789057,1786995136.560145,12.542807,1,30.0000,0.8600,35.0000,1000.0000,41.1000,
run,28,1786995136.789159,1786995137.242079,1786995137.015619,12.998281,1,30.0000,0.8600,35.0000,1000.0000,41.1000,
run,29,1786995137.242127,1786995137.698793,1786995137.470460,13.453122,1,30.0000,0.8600,35.0000,1000.0000,41.1000,
run,30,1786995137.698839,1786995138.154668,1786995137.926754,13.909415,1,30.0000,0.8600,35.0000,1000.0000,41.2000,
run,31,1786995138.154769,1786995138.614219,1786995138.384494,14.367156,1,30.0000,0.8600,35.0000,1000.0000,41.2000,
run,32,1786995138.614318,1786995139.069659,1786995138.841989,14.824650,1,30.0000,0.8600,35.0000,1000.0000,41.2000,
run,33,1786995139.069758,1786995139.528932,1786995139.299345,15.282007,1,30.0000,0.8600,35.0000,1000.0000,41.2000,
run,34,1786995139.528979,1786995139.982832,1786995139.755905,15.738567,1,30.0000,0.8600,35.0000,1000.0000,41.2000,
run,35,1786995139.982890,1786995140.435815,1786995140.209352,16.192014,1,30.0000,0.8600,35.0000,1000.0000,41.2000,
run,36,1786995140.435862,1786995140.890939,1786995140.663400,16.646062,1,30.0000,0.8600,35.0000,1000.0000,41.2000,
run,37,1786995140.891039,1786995141.346383,1786995141.118711,17.101373,1,30.0000,0.8600,35.0000,1000.0000,41.2000,
run,38,1786995141.346480,1786995141.801648,1786995141.574064,17.556726,1,30.0000,0.8600,35.0000,1000.0000,41.2000,
run,39,1786995141.801743,1786995142.255355,1786995142.028549,18.011211,1,30.0000,0.8600,35.0000,1000.0000,41.2000,
run,40,1786995142.255467,1786995142.712617,1786995142.484042,18.466704,1,30.0000,0.8600,35.0000,1000.0000,41.2000,
run,41,1786995142.712663,1786995143.165627,1786995142.939145,18.921807,1,30.0000,0.8600,35.0000,1000.0000,41.2000,
run,42,1786995143.165731,1786995143.621063,1786995143.393397,19.376059,1,30.0000,0.8600,35.0000,1000.0000,41.2000,
run,43,1786995143.621161,1786995144.078865,1786995143.850013,19.832675,1,30.0000,0.8600,35.0000,1000.0000,41.1000,
run,44,1786995144.078966,1786995144.533040,1786995144.306003,20.288665,1,30.0000,0.8600,35.0000,1000.0000,41.2000,
run,45,1786995144.533087,1786995144.990935,1786995144.762011,20.744673,1,30.0000,0.8600,35.0000,1000.0000,41.2000,
run,46,1786995144.991036,1786995145.444525,1786995145.217781,21.200442,1,30.0000,0.8600,35.0000,1000.0000,41.2000,
run,47,1786995145.444626,1786995145.898800,1786995145.671713,21.654375,1,30.0000,0.8600,35.0000,1000.0000,41.2000,
run,48,1786995145.898901,1786995146.352124,1786995146.125512,22.108174,1,30.0000,0.8600,35.0000,1000.0000,41.1000,
run,49,1786995146.352167,1786995146.808752,1786995146.580460,22.563121,1,30.0000,0.8600,35.0000,1000.0000,41.1000,
run,50,1786995146.808800,1786995147.259446,1786995147.034123,23.016785,1,30.0000,0.8600,35.0000,1000.0000,41.2000,
run,51,1786995147.259547,1786995147.711949,1786995147.485748,23.468410,1,30.0000,0.8600,35.0000,1000.0000,41.2000,
run,52,1786995147.711996,1786995148.171767,1786995147.941881,23.924543,1,30.0000,0.8600,35.0000,1000.0000,41.1000,
run,53,1786995148.171816,1786995148.626178,1786995148.398997,24.381659,1,30.0000,0.8600,35.0000,1000.0000,41.1000,
