t,aiclk,arcclk,axiclk,therm_trip
1786995665.148279,500,540,900,
1786995665.398876,500,540,900,
1786995665.649475,1000,540,900,
1786995665.900170,1000,540,900,
1786995666.151080,1000,540,900,
1786995666.401876,1000,540,900,
1786995666.652801,1000,540,900,
1786995666.903759,1000,540,900,
1786995667.154710,1000,540,900,
1786995667.405678,1000,540,900,
1786995667.656631,1000,540,900,
1786995667.907615,1000,540,900,
1786995668.158586,1000,540,900,
1786995668.409542,1000,540,900,
1786995668.660506,1000,540,900,
1786995668.911481,1000,540,900,
1786995669.162443,1000,540,900,
1786995669.413400,1000,540,900,
1786995669.664370,1000,540,900,
1786995669.915350,1000,540,900,
1786995670.166335,1000,540,900,
1786995670.426431,1000,540,900,
1786995670.677389,1000,540,900,
1786995670.928345,1000,540,900,
1786995671.179323,1000,540,900,
1786995671.430285,1000,540,900,
1786995671.681241,1000,540,900,
1786995671.932203,1000,540,900,
1786995672.183166,1000,540,900,
1786995672.434130,1000,540,900,
1786995672.685094,1000,540,900,
1786995672.936056,1000,540,900,
1786995673.187023,1000,540,900,
1786995673.437977,1000,540,900,
1786995673.688954,1000,540,900,
1786995673.939913,1000,540,900,
1786995674.190880,1000,540,900,
1786995674.441833,1000,540,900,
1786995674.692800,1000,540,900,
1786995674.943760,1000,540,900,
1786995675.194721,1000,540,900,
1786995675.461865,1000,540,900,
1786995675.712824,1000,540,900,
1786995675.963810,1000,540,900,
1786995676.214766,1000,540,900,
1786995676.465661,1000,540,900,
1786995676.716611,1000,540,900,
1786995676.967597,1000,540,900,
1786995677.218552,1000,540,900,
1786995677.469512,1000,540,900,
1786995677.720472,1000,540,900,
1786995677.971450,1000,540,900,
1786995678.222413,1000,540,900,
1786995678.473369,1000,540,900,
1786995678.724325,1000,540,900,
1786995678.975290,1000,540,900,
1786995679.226255,1000,540,900,
1786995679.477211,1000,540,900,
1786995679.728184,1000,540,900,
1786995679.979142,1000,540,900,
1786995680.230049,1000,540,900,
1786995680.481006,1000,540,900,
1786995680.731964,1000,540,900,
1786995680.982926,1000,540,900,
1786995681.233884,1000,540,900,
1786995681.484864,1000,540,900,
1786995681.735817,1000,540,900,
1786995681.986775,1000,540,900,
1786995682.237739,1000,540,900,
1786995682.488699,1000,540,900,
1786995682.739671,1000,540,900,
1786995682.990631,1000,540,900,
