t,aiclk,arcclk,axiclk,therm_trip
1786995956.648017,500,540,900,
1786995956.898529,500,540,900,
1786995957.149119,1000,540,900,
1786995957.399911,1000,540,900,
1786995957.650692,1000,540,900,
1786995957.901557,1000,540,900,
1786995958.152459,1000,540,900,
1786995958.403440,1000,540,900,
1786995958.654398,1000,540,900,
1786995958.905368,1000,540,900,
1786995959.156334,1000,540,900,
1786995959.407334,1000,540,900,
1786995959.658302,1000,540,900,
1786995959.909266,1000,540,900,
1786995960.160232,1000,540,900,
1786995960.411205,1000,540,900,
1786995960.662183,1000,540,900,
1786995960.913153,1000,540,900,
1786995961.164125,1000,540,900,
1786995961.415084,1000,540,900,
1786995961.666053,1000,540,900,
1786995961.917018,1000,540,900,
1786995962.167980,1000,540,900,
1786995962.418951,1000,540,900,
1786995962.669918,1000,540,900,
1786995962.920887,1000,540,900,
1786995963.171847,1000,540,900,
1786995963.422814,1000,540,900,
1786995963.673769,1000,540,900,
1786995963.924744,1000,540,900,
1786995964.175724,1000,540,900,
1786995964.426692,1000,540,900,
1786995964.677659,1000,540,900,
1786995964.928631,1000,540,900,
1786995965.179608,1000,540,900,
1786995965.430573,1000,540,900,
1786995965.681537,1000,540,900,
1786995965.932499,1000,540,900,
1786995966.183489,1000,540,900,
1786995966.434462,1000,540,900,
1786995966.685421,1000,540,900,
1786995966.936398,1000,540,900,
1786995967.187380,1000,540,900,
1786995967.438343,1000,540,900,
1786995967.689307,1000,540,900,
1786995967.940271,1000,540,900,
1786995968.191255,1000,540,900,
1786995968.442236,1000,540,900,
1786995968.693193,1000,540,900,
1786995968.944163,1000,540,900,
1786995969.195134,1000,540,900,
1786995969.446114,1000,540,900,
1786995969.697087,1000,540,900,
1786995969.948065,1000,540,900,
1786995970.199036,1000,540,900,
1786995970.449990,1000,540,900,
1786995970.700961,1000,540,900,
1786995970.951922,1000,540,900,
1786995971.202899,1000,540,900,
1786995971.453874,1000,540,900,
1786995971.704835,1000,540,900,
1786995971.955813,1000,540,900,
1786995972.206778,1000,540,900,
1786995972.457745,1000,540,900,
1786995972.708708,1000,540,900,
1786995972.959690,1000,540,900,
1786995973.210652,1000,540,900,
1786995973.461623,1000,540,900,
1786995973.712589,1000,540,900,
1786995973.963575,1000,540,900,
1786995974.214541,1000,540,900,
1786995974.465495,1000,540,900,
1786995974.716460,1000,540,900,
1786995974.967448,1000,540,900,
1786995975.218425,1000,540,900,
1786995975.469391,1000,540,900,
1786995975.720364,1000,540,900,
1786995975.971348,1000,540,900,
1786995976.222317,1000,540,900,
1786995976.473293,1000,540,900,
1786995976.724265,1000,540,900,
1786995976.975254,1000,540,900,
1786995977.226218,1000,540,900,
1786995977.477181,1000,540,900,
1786995977.728142,1000,540,900,
1786995977.979119,1000,540,900,
1786995978.230103,1000,540,900,
1786995978.481068,1000,540,900,
1786995978.732032,1000,540,900,
1786995978.983001,1000,540,900,
1786995979.233960,1000,540,900,
1786995979.484917,1000,540,900,
1786995979.735891,1000,540,900,
1786995979.986856,1000,540,900,
1786995980.237831,1000,540,900,
1786995980.488791,1000,540,900,
1786995980.739782,1000,540,900,
1786995980.990742,1000,540,900,
1786995981.241711,1000,540,900,
1786995981.492676,1000,540,900,
1786995981.743654,1000,540,900,
1786995981.994621,1000,540,900,
1786995982.245588,1000,540,900,
1786995982.496548,1000,540,900,
1786995982.747531,1000,540,900,
1786995982.998512,1000,540,900,
1786995983.249476,1000,540,900,
1786995983.500444,1000,540,900,
1786995983.751438,1000,540,900,
1786995984.002404,1000,540,900,
1786995984.253368,1000,540,900,
1786995984.504325,1000,540,900,
1786995984.755310,1000,540,900,
1786995985.006274,1000,540,900,
1786995985.257240,1000,540,900,
1786995985.508203,1000,540,900,
1786995985.759168,1000,540,900,
1786995986.010143,1000,540,900,
1786995986.261110,1000,540,900,
1786995986.512073,1000,540,900,
1786995986.763036,1000,540,900,
1786995987.013994,1000,540,900,
1786995987.264961,1000,540,900,
1786995987.515926,1000,540,900,
1786995987.766908,1000,540,900,
1786995988.017882,1000,540,900,
1786995988.268867,1000,540,900,
1786995988.519844,1000,540,900,
1786995988.770810,1000,540,900,
1786995989.021777,1000,540,900,
1786995989.272756,1000,540,900,
1786995989.523727,1000,540,900,
1786995989.774696,1000,540,900,
1786995990.025660,1000,540,900,
1786995990.276628,1000,540,900,
1786995990.527618,1000,540,900,
1786995990.778590,1000,540,900,
1786995991.029570,1000,540,900,
1786995991.280536,1000,540,900,
1786995991.531523,1000,540,900,
1786995991.782488,1000,540,900,
1786995992.033462,1000,540,900,
1786995992.284432,1000,540,900,
1786995992.535445,1000,540,900,
1786995992.786422,1000,540,900,
1786995993.037391,1000,540,900,
1786995993.288363,1000,540,900,
1786995993.539361,1000,540,900,
1786995993.790334,1000,540,900,
1786995994.041305,1000,540,900,
1786995994.292275,1000,540,900,
1786995994.543260,1000,540,900,
1786995994.794226,1000,540,900,
1786995995.045197,1000,540,900,
1786995995.296157,1000,540,900,
1786995995.547119,1000,540,900,
1786995995.798096,1000,540,900,
1786995996.049081,1000,540,900,
1786995996.300048,1000,540,900,
1786995996.551026,1000,540,900,
1786995996.801985,1000,540,900,
1786995997.052962,1000,540,900,
1786995997.303941,1000,540,900,
1786995997.554905,1000,540,900,
1786995997.805869,1000,540,900,
1786995998.056830,1000,540,900,
1786995998.307826,1000,540,900,
1786995998.558790,1000,540,900,
1786995998.809749,1000,540,900,
1786995999.060717,1000,540,900,
1786995999.311711,1000,540,900,
1786995999.562686,1000,540,900,
1786995999.813654,1000,540,900,
1786996000.064617,1000,540,900,
1786996000.315604,1000,540,900,
1786996000.566584,1000,540,900,
1786996000.817555,1000,540,900,
1786996001.068525,1000,540,900,
1786996001.319512,1000,540,900,
1786996001.570480,1000,540,900,
1786996001.821449,1000,540,900,
1786996002.072409,1000,540,900,
1786996002.323390,1000,540,900,
1786996002.574352,1000,540,900,
1786996002.825313,1000,540,900,
1786996003.076275,1000,540,900,
1786996003.327272,1000,540,900,
1786996003.578252,1000,540,900,
1786996003.829220,1000,540,900,
1786996004.080189,1000,540,900,
1786996004.331158,1000,540,900,
1786996004.582120,1000,540,900,
1786996004.833085,1000,540,900,
1786996005.084043,1000,540,900,
1786996005.335006,500,540,900,
1786996005.585973,500,540,900,
