t,aiclk,arcclk,axiclk,therm_trip
1786996405.961070,500,540,900,
1786996406.211581,500,540,900,
1786996406.462211,1000,540,900,
1786996406.712953,1000,540,900,
1786996406.963650,1000,540,900,
1786996407.214413,1000,540,900,
1786996407.465258,1000,540,900,
1786996407.716211,1000,540,900,
1786996407.967163,1000,540,900,
1786996408.218135,1000,540,900,
1786996408.469074,1000,540,900,
1786996408.720016,1000,540,900,
1786996408.970998,1000,540,900,
1786996409.221947,1000,540,900,
1786996409.472905,1000,540,900,
1786996409.723842,1000,540,900,
1786996409.974796,1000,540,900,
1786996410.225741,1000,540,900,
1786996410.476693,1000,540,900,
1786996410.727668,1000,540,900,
1786996410.978621,1000,540,900,
1786996411.229579,1000,540,900,
1786996411.480533,1000,540,900,
1786996411.731508,1000,540,900,
1786996411.982465,1000,540,900,
1786996412.233424,1000,540,900,
1786996412.484374,1000,540,900,
1786996412.735348,1000,540,900,
1786996412.986298,1000,540,900,
1786996413.237255,1000,540,900,
1786996413.488212,1000,540,900,
1786996413.739170,1000,540,900,
1786996413.990150,1000,540,900,
1786996414.241102,1000,540,900,
1786996414.492053,1000,540,900,
1786996414.743006,1000,540,900,
1786996414.993956,1000,540,900,
1786996415.244908,1000,540,900,
1786996415.495859,1000,540,900,
1786996415.746801,1000,540,900,
1786996415.997752,1000,540,900,
1786996416.248716,1000,540,900,
1786996416.499681,1000,540,900,
1786996416.750627,1000,540,900,
1786996417.001576,1000,540,900,
1786996417.252530,1000,540,900,
1786996417.503495,1000,540,900,
1786996417.754452,1000,540,900,
1786996418.005396,1000,540,900,
1786996418.256356,1000,540,900,
1786996418.507328,1000,540,900,
1786996418.758284,1000,540,900,
1786996419.009235,1000,540,900,
1786996419.260190,1000,540,900,
1786996419.511137,1000,540,900,
1786996419.762083,1000,540,900,
1786996420.013037,1000,540,900,
1786996420.263985,1000,540,900,
1786996420.514954,1000,540,900,
1786996420.765904,1000,540,900,
1786996421.016874,1000,540,900,
1786996421.267839,1000,540,900,
1786996421.518795,1000,540,900,
1786996421.769770,1000,540,900,
1786996422.020726,1000,540,900,
1786996422.271699,1000,540,900,
1786996422.522650,1000,540,900,
1786996422.773607,1000,540,900,
1786996423.024561,1000,540,900,
1786996423.275532,1000,540,900,
1786996423.526484,1000,540,900,
1786996423.777437,1000,540,900,
1786996424.028388,1000,540,900,
1786996424.279360,1000,540,900,
1786996424.530323,1000,540,900,
1786996424.781276,1000,540,900,
1786996425.032235,1000,540,900,
1786996425.283186,1000,540,900,
1786996425.534150,1000,540,900,
1786996425.785105,1000,540,900,
1786996426.036058,1000,540,900,
1786996426.287009,1000,540,900,
1786996426.537957,1000,540,900,
1786996426.788908,1000,540,900,
1786996427.039862,1000,540,900,
1786996427.290817,1000,540,900,
1786996427.541767,1000,540,900,
1786996427.792725,1000,540,900,
1786996428.043685,1000,540,900,
1786996428.294647,1000,540,900,
1786996428.545613,1000,540,900,
1786996428.796572,1000,540,900,
1786996429.047550,1000,540,900,
1786996429.298503,1000,540,900,
1786996429.549457,1000,540,900,
1786996429.800413,1000,540,900,
1786996430.051384,1000,540,900,
1786996430.302327,1000,540,900,
1786996430.553286,1000,540,900,
1786996430.804239,1000,540,900,
1786996431.055212,1000,540,900,
1786996431.306165,1000,540,900,
1786996431.557108,1000,540,900,
1786996431.808064,1000,540,900,
1786996432.059025,1000,540,900,
1786996432.309979,1000,540,900,
1786996432.560935,1000,540,900,
1786996432.811894,1000,540,900,
1786996433.062843,1000,540,900,
1786996433.313796,1000,540,900,
1786996433.564772,1000,540,900,
1786996433.815751,1000,540,900,
1786996434.066712,1000,540,900,
1786996434.317666,1000,540,900,
1786996434.568622,1000,540,900,
1786996434.819600,1000,540,900,
1786996435.070562,1000,540,900,
1786996435.321511,1000,540,900,
1786996435.572464,1000,540,900,
1786996435.823442,1000,540,900,
1786996436.074400,1000,540,900,
1786996436.325345,1000,540,900,
1786996436.576301,1000,540,900,
1786996436.827271,1000,540,900,
1786996437.078243,1000,540,900,
1786996437.329195,1000,540,900,
1786996437.580155,1000,540,900,
1786996437.831106,1000,540,900,
1786996438.082051,1000,540,900,
1786996438.333007,1000,540,900,
1786996438.583969,1000,540,900,
1786996438.834923,1000,540,900,
1786996439.085887,1000,540,900,
1786996439.336835,1000,540,900,
1786996439.587812,1000,540,900,
1786996439.838770,1000,540,900,
1786996440.089732,1000,540,900,
1786996440.340692,1000,540,900,
1786996440.591684,1000,540,900,
