t,aiclk,arcclk,axiclk,therm_trip
1786996156.706695,500,540,900,
1786996156.957200,500,540,900,
1786996157.207806,1000,540,900,
1786996157.458576,1000,540,900,
1786996157.709210,1000,540,900,
1786996157.959810,1000,540,900,
1786996158.210398,1000,540,900,
1786996158.461203,1000,540,900,
1786996158.712152,1000,540,900,
1786996158.963110,1000,540,900,
1786996159.214070,1000,540,900,
1786996159.465037,1000,540,900,
1786996159.716009,1000,540,900,
1786996159.966972,1000,540,900,
1786996160.217937,1000,540,900,
1786996160.468898,1000,540,900,
1786996160.719877,1000,540,900,
1786996160.970838,1000,540,900,
1786996161.221805,1000,540,900,
1786996161.472756,1000,540,900,
1786996161.723732,1000,540,900,
1786996161.974698,1000,540,900,
1786996162.225660,1000,540,900,
1786996162.476619,1000,540,900,
1786996162.727593,1000,540,900,
1786996162.978558,1000,540,900,
1786996163.229516,1000,540,900,
1786996163.480471,1000,540,900,
1786996163.731452,1000,540,900,
1786996163.982413,1000,540,900,
1786996164.233368,1000,540,900,
1786996164.484337,1000,540,900,
1786996164.735316,1000,540,900,
1786996164.986269,1000,540,900,
1786996165.237226,1000,540,900,
1786996165.488181,1000,540,900,
1786996165.739140,1000,540,900,
1786996165.990094,1000,540,900,
1786996166.241047,1000,540,900,
1786996166.492009,1000,540,900,
1786996166.742972,1000,540,900,
1786996166.993937,1000,540,900,
1786996167.244899,1000,540,900,
1786996167.495869,1000,540,900,
1786996167.746827,1000,540,900,
1786996167.997783,1000,540,900,
1786996168.248747,1000,540,900,
1786996168.499727,1000,540,900,
1786996168.750686,1000,540,900,
1786996169.001643,1000,540,900,
1786996169.252602,1000,540,900,
1786996169.503588,1000,540,900,
1786996169.754551,1000,540,900,
1786996170.005514,1000,540,900,
1786996170.256482,1000,540,900,
1786996170.507454,1000,540,900,
1786996170.758418,1000,540,900,
1786996171.009377,1000,540,900,
1786996171.260338,1000,540,900,
1786996171.511314,1000,540,900,
1786996171.762284,1000,540,900,
1786996172.013253,1000,540,900,
1786996172.264210,1000,540,900,
1786996172.515173,1000,540,900,
1786996172.766134,1000,540,900,
1786996173.017094,1000,540,900,
1786996173.268058,1000,540,900,
1786996173.519026,1000,540,900,
1786996173.769980,1000,540,900,
1786996174.020967,1000,540,900,
1786996174.271929,1000,540,900,
1786996174.522896,1000,540,900,
1786996174.773853,1000,540,900,
1786996175.024803,1000,540,900,
1786996175.275786,1000,540,900,
1786996175.526747,1000,540,900,
1786996175.777700,1000,540,900,
1786996176.028664,1000,540,900,
1786996176.279643,1000,540,900,
1786996176.530607,1000,540,900,
1786996176.781569,1000,540,900,
1786996177.032541,1000,540,900,
1786996177.283529,1000,540,900,
1786996177.534494,1000,540,900,
1786996177.785450,1000,540,900,
1786996178.036411,1000,540,900,
1786996178.287415,1000,540,900,
1786996178.538376,1000,540,900,
1786996178.789326,1000,540,900,
1786996179.040290,1000,540,900,
1786996179.291272,1000,540,900,
1786996179.542234,1000,540,900,
1786996179.793189,1000,540,900,
1786996180.044147,1000,540,900,
1786996180.295113,1000,540,900,
1786996180.546069,1000,540,900,
1786996180.797035,1000,540,900,
1786996181.048009,1000,540,900,
1786996181.298975,1000,540,900,
1786996181.549928,1000,540,900,
1786996181.800892,1000,540,900,
1786996182.051856,1000,540,900,
1786996182.302820,1000,540,900,
1786996182.553782,1000,540,900,
1786996182.804763,1000,540,900,
1786996183.055742,1000,540,900,
1786996183.306705,1000,540,900,
1786996183.557665,1000,540,900,
1786996183.808621,1000,540,900,
1786996184.059606,1000,540,900,
1786996184.310567,1000,540,900,
1786996184.561528,1000,540,900,
1786996184.812490,1000,540,900,
1786996185.063474,1000,540,900,
1786996185.314437,1000,540,900,
1786996185.565395,1000,540,900,
1786996185.816362,1000,540,900,
1786996186.067347,1000,540,900,
1786996186.318305,1000,540,900,
1786996186.569265,1000,540,900,
1786996186.820231,1000,540,900,
1786996187.071213,1000,540,900,
1786996187.322171,1000,540,900,
1786996187.573128,1000,540,900,
1786996187.824111,1000,540,900,
1786996188.075080,1000,540,900,
1786996188.326065,1000,540,900,
1786996188.577025,1000,540,900,
1786996188.827985,1000,540,900,
1786996189.078952,1000,540,900,
1786996189.329914,1000,540,900,
1786996189.580887,1000,540,900,
1786996189.831848,1000,540,900,
1786996190.082813,1000,540,900,
1786996190.333779,1000,540,900,
1786996190.584737,1000,540,900,
1786996190.835706,1000,540,900,
1786996191.086663,1000,540,900,
1786996191.337627,1000,540,900,
1786996191.588582,1000,540,900,
1786996191.839563,1000,540,900,
1786996192.090531,1000,540,900,
1786996192.341484,1000,540,900,
1786996192.592451,1000,540,900,
1786996192.843449,1000,540,900,
1786996193.094414,1000,540,900,
1786996193.345379,1000,540,900,
1786996193.596346,1000,540,900,
1786996193.847328,1000,540,900,
1786996194.098286,1000,540,900,
1786996194.349256,1000,540,900,
1786996194.600233,1000,540,900,
1786996194.851208,1000,540,900,
1786996195.102165,1000,540,900,
1786996195.353124,1000,540,900,
1786996195.604084,1000,540,900,
1786996195.855055,1000,540,900,
1786996196.106011,1000,540,900,
1786996196.356976,1000,540,900,
1786996196.607947,1000,540,900,
1786996196.858909,1000,540,900,
1786996197.109874,1000,540,900,
1786996197.360835,1000,540,900,
1786996197.611812,1000,540,900,
1786996197.862772,1000,540,900,
1786996198.113748,1000,540,900,
1786996198.364715,1000,540,900,
1786996198.615697,1000,540,900,
1786996198.866668,1000,540,900,
1786996199.117632,1000,540,900,
1786996199.368590,1000,540,900,
1786996199.619562,1000,540,900,
1786996199.870527,1000,540,900,
1786996200.121480,1000,540,900,
1786996200.372440,1000,540,900,
1786996200.623459,1000,540,900,
1786996200.874426,1000,540,900,
1786996201.125379,1000,540,900,
1786996201.376338,1000,540,900,
1786996201.627335,1000,540,900,
1786996201.878302,1000,540,900,
1786996202.129259,1000,540,900,
1786996202.380229,1000,540,900,
1786996202.631209,1000,540,900,
1786996202.882181,1000,540,900,
1786996203.133147,1000,540,900,
1786996203.384106,1000,540,900,
1786996203.635072,1000,540,900,
1786996203.886038,1000,540,900,
1786996204.137004,1000,540,900,
1786996204.387959,1000,540,900,
1786996204.638914,1000,540,900,
1786996204.889871,1000,540,900,
1786996205.140837,1000,540,900,
1786996205.391812,500,540,900,
