phase,i,t_start,t_end,t_mid,dt_s,ok,power_w,voltage_v,current_a,aiclk_mhz,temp_c,error
run,0,1786996455.923951,1786996456.359752,1786996456.141851,0.218010,1,17.0000,0.7200,24.0000,500.0000,41.8000,
run,1,1786996456.359807,1786996456.801027,1786996456.580417,0.656576,1,17.0000,0.7200,24.0000,500.0000,41.6000,
run,2,1786996456.801120,1786996457.233072,1786996457.017096,1.093254,1,17.0000,0.7200,24.0000,500.0000,41.6000,
run,3,1786996457.233124,1786996457.665547,1786996457.449336,1.525494,1,17.0000,0.7200,24.0000,500.0000,41.6000,
run,4,1786996457.665602,1786996458.105362,1786996457.885482,1.961640,1,17.0000,0.7200,24.0000,500.0000,41.6000,
run,5,1786996458.105466,1786996458.546416,1786996458.325941,2.402099,1,17.0000,0.7200,24.0000,500.0000,41.6000,
run,6,1786996458.546516,1786996458.987326,1786996458.766922,2.843080,1,17.0000,0.7200,24.0000,500.0000,41.5000,
run,7,1786996458.987428,1786996459.430129,1786996459.208779,3.284937,1,17.0000,0.7200,24.0000,500.0000,41.5000,
run,8,1786996459.430232,1786996459.871380,1786996459.650806,3.726964,1,17.0000,0.7200,24.0000,500.0000,41.5000,
run,9,1786996459.871483,1786996460.313987,1786996460.092735,4.168893,1,17.0000,0.7200,24.0000,500.0000,41.5000,
run,10,1786996460.314090,1786996460.752934,1786996460.533512,4.609670,1,17.0000,0.7200,24.0000,500.0000,41.5000,
run,11,1786996460.753036,1786996461.196981,1786996460.975008,5.051167,1,17.0000,0.7200,24.0000,500.0000,41.5000,
run,12,1786996461.197078,1786996461.631006,1786996461.414042,5.490200,1,17.0000,0.7200,24.0000,500.0000,41.5000,
run,13,1786996461.631117,1786996462.070091,1786996461.850604,5.926762,1,17.0000,0.7200,24.0000,500.0000,41.5000,
run,14,1786996462.070192,1786996462.512180,1786996462.291186,6.367344,1,17.0000,0.7200,24.0000,500.0000,41.5000,
run,15,1786996462.512280,1786996462.950817,1786996462.731549,6.807707,1,17.0000,0.7200,24.0000,500.0000,41.3000,
run,16,1786996462.950918,1786996463.394881,1786996463.172900,7.249058,1,17.0000,0.7200,24.0000,500.0000,41.3000,
run,17,1786996463.394983,1786996463.834063,1786996463.614523,7.690681,1,17.0000,0.7200,24.0000,500.0000,41.3000,
run,18,1786996463.834166,1786996464.274860,1786996464.054513,8.130671,1,17.0000,0.7200,24.0000,500.0000,41.3000,
run,19,1786996464.274960,1786996464.715844,1786996464.495402,8.571561,1,17.0000,0.7200,24.0000,500.0000,41.3000,
run,20,1786996464.715950,1786996465.155487,1786996464.935719,9.011877,1,17.0000,0.7200,24.0000,500.0000,41.3000,
run,21,1786996465.155588,1786996465.596892,1786996465.376240,9.452398,1,17.0000,0.7200,24.0000,500.0000,41.2000,
run,22,1786996465.596995,1786996466.038633,1786996465.817814,9.893972,1,17.0000,0.7200,24.0000,500.0000,41.2000,
run,23,1786996466.038732,1786996466.480412,1786996466.259573,10.335731,1,17.0000,0.7200,24.0000,500.0000,41.1000,
run,24,1786996466.480510,1786996466.912806,1786996466.696658,10.772816,1,17.0000,0.7200,24.0000,500.0000,40.9000,
run,25,1786996466.912957,1786996467.357026,1786996467.134992,11.211150,1,17.0000,0.7200,24.0000,500.0000,40.9000,
run,26,1786996467.357128,1786996467.791409,1786996467.574269,11.650427,1,17.0000,0.7200,24.0000,500.0000,40.8000,
run,27,1786996467.791510,1786996468.230836,1786996468.011173,12.087331,1,17.0000,0.7200,24.0000,500.0000,40.8000,
run,28,1786996468.230908,1786996468.671206,1786996468.451057,12.527215,1,17.0000,0.7200,24.0000,500.0000,40.8000,
run,29,1786996468.671309,1786996469.110441,1786996468.890875,12.967034,1,17.0000,0.7200,24.0000,500.0000,40.8000,
run,30,1786996469.110542,1786996469.553774,1786996469.332158,13.408316,1,17.0000,0.7200,23.0000,500.0000,40.8000,
run,31,1786996469.553875,1786996469.991103,1786996469.772489,13.848647,1,17.0000,0.7200,23.0000,500.0000,40.8000,
run,32,1786996469.991153,1786996470.434216,1786996470.212685,14.288843,1,17.0000,0.7200,24.0000,500.0000,40.6000,
