phase,i,t_start,t_end,t_mid,dt_s,ok,power_w,voltage_v,current_a,aiclk_mhz,temp_c,error
run,0,1786996596.941303,1786996597.390076,1786996597.165689,0.224492,1,32.0000,0.8600,37.0000,1000.0000,41.5000,
run,1,1786996597.390186,1786996597.846376,1786996597.618281,0.677083,1,31.0000,0.8600,36.0000,1000.0000,42.1000,
run,2,1786996597.846465,1786996598.304011,1786996598.075238,1.134041,1,31.0000,0.8600,36.0000,1000.0000,42.1000,
run,3,1786996598.304112,1786996598.758712,1786996598.531412,1.590215,1,31.0000,0.8600,36.0000,1000.0000,42.1000,
run,4,1786996598.758815,1786996599.217319,1786996598.988067,2.046870,1,31.0000,0.8600,36.0000,1000.0000,42.1000,
run,5,1786996599.217419,1786996599.669010,1786996599.443214,2.502017,1,31.0000,0.8600,36.0000,1000.0000,42.1000,
run,6,1786996599.669113,1786996600.122224,1786996599.895669,2.954471,1,31.0000,0.8600,36.0000,1000.0000,42.1000,
run,7,1786996600.122325,1786996600.578079,1786996600.350202,3.409005,1,31.0000,0.8600,36.0000,1000.0000,42.1000,
run,8,1786996600.578183,1786996601.035712,1786996600.806948,3.865750,1,31.0000,0.8600,36.0000,1000.0000,42.1000,
run,9,1786996601.035815,1786996601.488921,1786996601.262368,4.321170,1,31.0000,0.8600,36.0000,1000.0000,42.1000,
run,10,1786996601.489022,1786996601.945329,1786996601.717175,4.775978,1,31.0000,0.8600,36.0000,1000.0000,42.1000,
run,11,1786996601.945431,1786996602.396971,1786996602.171201,5.230004,1,31.0000,0.8600,36.0000,1000.0000,42.1000,
run,12,1786996602.397072,1786996602.849364,1786996602.623218,5.682021,1,31.0000,0.8600,36.0000,1000.0000,42.1000,
run,13,1786996602.849467,1786996603.302501,1786996603.075984,6.134786,1,31.0000,0.8600,36.0000,1000.0000,42.1000,
run,14,1786996603.302604,1786996603.757946,1786996603.530275,6.589077,1,31.0000,0.8600,36.0000,1000.0000,42.1000,
run,15,1786996603.758050,1786996604.218296,1786996603.988173,7.046975,1,31.0000,0.8600,36.0000,1000.0000,42.1000,
run,16,1786996604.218397,1786996604.673875,1786996604.446136,7.504939,1,31.0000,0.8600,35.0000,1000.0000,42.1000,
run,17,1786996604.673979,1786996605.131674,1786996604.902827,7.961629,1,32.0000,0.8600,36.0000,1000.0000,42.1000,
run,18,1786996605.131777,1786996605.584977,1786996605.358377,8.417180,1,31.0000,0.8600,36.0000,1000.0000,42.1000,
run,19,1786996605.585082,1786996606.040619,1786996605.812850,8.871653,1,31.0000,0.8600,36.0000,1000.0000,42.1000,
run,20,1786996606.040722,1786996606.493180,1786996606.266951,9.325753,1,31.0000,0.8600,36.0000,1000.0000,42.1000,
run,21,1786996606.493279,1786996606.945764,1786996606.719522,9.778324,1,30.0000,0.8600,35.0000,1000.0000,42.1000,
run,22,1786996606.945867,1786996607.399994,1786996607.172930,10.231733,1,31.0000,0.8600,36.0000,1000.0000,42.1000,
run,23,1786996607.400098,1786996607.858838,1786996607.629468,10.688270,1,31.0000,0.8600,36.0000,1000.0000,42.1000,
run,24,1786996607.858941,1786996608.314100,1786996608.086521,11.145323,1,31.0000,0.8600,36.0000,1000.0000,42.1000,
run,25,1786996608.314206,1786996608.769963,1786996608.542084,11.600887,1,31.0000,0.8600,36.0000,1000.0000,42.1000,
run,26,1786996608.770063,1786996609.225367,1786996608.997715,12.056518,1,31.0000,0.8600,36.0000,1000.0000,42.1000,
run,27,1786996609.225470,1786996609.683946,1786996609.454708,12.513511,1,31.0000,0.8600,36.0000,1000.0000,42.1000,
run,28,1786996609.684050,1786996610.138422,1786996609.911236,12.970039,1,31.0000,0.8600,36.0000,1000.0000,42.1000,
run,29,1786996610.138525,1786996610.598418,1786996610.368472,13.427274,1,31.0000,0.8600,36.0000,1000.0000,42.1000,
run,30,1786996610.598524,1786996611.051493,1786996610.825008,13.883811,1,31.0000,0.8600,36.0000,1000.0000,42.1000,
run,31,1786996611.051594,1786996611.511494,1786996611.281544,14.340346,1,31.0000,0.8600,36.0000,1000.0000,42.1000,
run,32,1786996611.511595,1786996611.966620,1786996611.739108,14.797910,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,33,1786996611.966722,1786996612.424192,1786996612.195457,15.254260,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,34,1786996612.424293,1786996612.880006,1786996612.652149,15.710952,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,35,1786996612.880131,1786996613.337894,1786996613.109012,16.167815,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,36,1786996613.337997,1786996613.792220,1786996613.565108,16.623911,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,37,1786996613.792322,1786996614.248693,1786996614.020508,17.079310,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,38,1786996614.248797,1786996614.701317,1786996614.475057,17.533859,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,39,1786996614.701420,1786996615.151728,1786996614.926574,17.985376,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,40,1786996615.151830,1786996615.606160,1786996615.378995,18.437798,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,41,1786996615.606264,1786996616.063933,1786996615.835098,18.893901,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,42,1786996616.064036,1786996616.517000,1786996616.290518,19.349320,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,43,1786996616.517099,1786996616.973639,1786996616.745369,19.804172,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,44,1786996616.973744,1786996617.427327,1786996617.200536,20.259338,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,45,1786996617.427431,1786996617.885224,1786996617.656328,20.715130,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,46,1786996617.885328,1786996618.337591,1786996618.111460,21.170262,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,47,1786996618.337694,1786996618.791295,1786996618.564495,21.623297,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,48,1786996618.791396,1786996619.248469,1786996619.019932,22.078735,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,49,1786996619.248571,1786996619.700563,1786996619.474567,22.533370,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,50,1786996619.700667,1786996620.152981,1786996619.926824,22.985626,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,51,1786996620.153083,1786996620.606573,1786996620.379828,23.438631,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,52,1786996620.606676,1786996621.061883,1786996620.834280,23.893082,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
run,53,1786996621.215631,1786996621.673909,1786996621.444770,24.503573,1,31.0000,0.8600,36.0000,1000.0000,42.2000,
