t,aiclk,arcclk,axiclk,therm_trip
1786996796.484054,500,540,900,
1786996796.734935,500,540,900,
1786996796.985467,1000,540,900,
1786996797.236418,1000,540,900,
1786996797.487104,1000,540,900,
1786996797.737664,1000,540,900,
1786996797.988135,1000,540,900,
1786996798.238595,1000,540,900,
1786996798.489043,1000,540,900,
1786996798.739490,1000,540,900,
1786996798.989930,1000,540,900,
1786996799.240391,1000,540,900,
1786996799.490889,1000,540,900,
1786996799.741343,1000,540,900,
1786996799.991792,1000,540,900,
1786996800.242235,1000,540,900,
1786996800.492688,1000,540,900,
1786996800.743180,1000,540,900,
1786996800.993633,1000,540,900,
1786996801.244083,1000,540,900,
1786996801.494543,1000,540,900,
1786996801.744983,1000,540,900,
1786996801.995432,1000,540,900,
1786996802.245886,1000,540,900,
1786996802.496330,1000,540,900,
1786996802.746807,1000,540,900,
1786996802.997260,1000,540,900,
1786996803.247706,1000,540,900,
1786996803.498156,1000,540,900,
1786996803.748603,1000,540,900,
1786996803.999098,1000,540,900,
1786996804.249564,1000,540,900,
1786996804.500004,1000,540,900,
1786996804.750460,1000,540,900,
1786996805.000908,1000,540,900,
1786996805.251346,1000,540,900,
1786996805.501801,1000,540,900,
1786996805.752256,1000,540,900,
1786996806.002705,1000,540,900,
1786996806.253144,1000,540,900,
1786996806.503588,1000,540,900,
1786996806.754033,1000,540,900,
1786996807.004491,1000,540,900,
1786996807.254935,1000,540,900,
1786996807.505382,1000,540,900,
1786996807.755825,1000,540,900,
1786996808.006274,1000,540,900,
1786996808.256724,1000,540,900,
1786996808.507204,1000,540,900,
1786996808.757667,1000,540,900,
1786996809.008107,1000,540,900,
1786996809.258556,1000,540,900,
1786996809.509000,1000,540,900,
1786996809.759452,1000,540,900,
1786996810.009901,1000,540,900,
1786996810.260341,1000,540,900,
1786996810.510787,1000,540,900,
1786996810.761225,1000,540,900,
1786996811.011674,1000,540,900,
1786996811.262123,1000,540,900,
1786996811.512574,1000,540,900,
1786996811.763013,1000,540,900,
1786996812.013463,1000,540,900,
1786996812.263911,1000,540,900,
1786996812.514354,1000,540,900,
1786996812.764808,1000,540,900,
1786996813.015304,1000,540,900,
1786996813.265757,1000,540,900,
1786996813.516210,1000,540,900,
1786996813.766662,1000,540,900,
1786996814.017102,1000,540,900,
1786996814.267596,1000,540,900,
1786996814.518039,1000,540,900,
1786996814.768488,1000,540,900,
1786996815.018940,1000,540,900,
1786996815.269386,1000,540,900,
1786996815.519845,1000,540,900,
1786996815.770290,1000,540,900,
1786996816.020741,1000,540,900,
1786996816.271252,1000,540,900,
1786996816.521850,1000,540,900,
1786996816.772289,1000,540,900,
1786996817.022736,1000,540,900,
1786996817.273189,1000,540,900,
1786996817.523687,1000,540,900,
1786996817.774137,1000,540,900,
1786996818.024578,1000,540,900,
1786996818.275073,1000,540,900,
1786996818.525529,1000,540,900,
1786996818.775979,1000,540,900,
1786996819.026421,1000,540,900,
1786996819.276865,1000,540,900,
1786996819.527312,1000,540,900,
1786996819.777773,1000,540,900,
1786996820.028224,1000,540,900,
1786996820.278674,1000,540,900,
1786996820.529115,1000,540,900,
1786996820.779564,1000,540,900,
1786996821.030010,1000,540,900,
1786996821.280466,1000,540,900,
1786996821.530921,1000,540,900,
1786996821.781363,1000,540,900,
1786996822.031823,1000,540,900,
1786996822.282458,1000,540,900,
1786996822.532904,1000,540,900,
1786996822.783398,1000,540,900,
1786996823.033846,1000,540,900,
1786996823.284292,1000,540,900,
1786996823.534742,1000,540,900,
1786996823.785189,1000,540,900,
1786996824.035638,1000,540,900,
1786996824.286100,1000,540,900,
1786996824.536543,1000,540,900,
1786996824.786992,1000,540,900,
1786996825.037427,1000,540,900,
1786996825.287873,1000,540,900,
1786996825.538335,1000,540,900,
1786996825.788779,1000,540,900,
1786996826.039262,1000,540,900,
1786996826.289713,1000,540,900,
1786996826.540157,1000,540,900,
1786996826.790605,1000,540,900,
1786996827.041050,1000,540,900,
1786996827.291536,1000,540,900,
1786996827.542004,1000,540,900,
1786996827.792469,1000,540,900,
1786996828.042982,1000,540,900,
1786996828.293433,1000,540,900,
1786996828.543887,1000,540,900,
1786996828.794333,1000,540,900,
1786996829.044776,1000,540,900,
1786996829.295287,1000,540,900,
1786996829.545739,1000,540,900,
1786996829.796191,1000,540,900,
1786996830.046674,1000,540,900,
1786996830.297134,1000,540,900,
1786996830.547588,1000,540,900,
1786996830.798042,1000,540,900,
1786996831.048706,1000,540,900,
1786996831.299192,1000,540,900,
1786996831.549643,1000,540,900,
1786996831.800104,1000,540,900,
1786996832.050554,1000,540,900,
1786996832.300993,1000,540,900,
1786996832.551441,1000,540,900,
1786996832.801879,1000,540,900,
1786996833.052331,1000,540,900,
1786996833.302819,1000,540,900,
1786996833.553270,1000,540,900,
1786996833.803717,1000,540,900,
1786996834.054160,1000,540,900,
1786996834.304604,1000,540,900,
1786996834.555075,1000,540,900,
1786996834.805527,1000,540,900,
1786996835.055964,1000,540,900,
1786996835.306413,1000,540,900,
1786996835.556871,1000,540,900,
1786996835.807400,1000,540,900,
1786996836.058346,1000,540,900,
1786996836.309116,1000,540,900,
1786996836.559757,1000,540,900,
1786996836.810390,1000,540,900,
1786996837.061035,1000,540,900,
1786996837.311924,1000,540,900,
1786996837.562885,1000,540,900,
1786996837.813846,1000,540,900,
1786996838.064807,1000,540,900,
1786996838.315775,1000,540,900,
1786996838.566734,1000,540,900,
1786996838.817693,1000,540,900,
1786996839.068655,1000,540,900,
1786996839.319635,1000,540,900,
1786996839.570591,1000,540,900,
1786996839.821555,1000,540,900,
1786996840.072502,1000,540,900,
1786996840.323477,1000,540,900,
1786996840.574431,1000,540,900,
1786996840.825396,1000,540,900,
1786996841.076349,1000,540,900,
1786996841.327320,1000,540,900,
1786996841.578276,1000,540,900,
1786996841.829224,1000,540,900,
1786996842.080186,1000,540,900,
1786996842.331136,1000,540,900,
1786996842.582109,1000,540,900,
1786996842.833069,1000,540,900,
1786996843.084030,1000,540,900,
1786996843.334986,1000,540,900,
1786996843.585945,1000,540,900,
1786996843.836904,1000,540,900,
1786996844.087869,1000,540,900,
1786996844.338830,1000,540,900,
1786996844.589779,1000,540,900,
1786996844.840739,1000,540,900,
1786996845.091701,500,540,900,
