t,aiclk,arcclk,axiclk,therm_trip
1786996996.144005,500,540,900,
1786996996.394578,500,540,900,
1786996996.645234,500,540,900,
1786996996.895957,500,540,900,
1786996997.146668,500,540,900,
1786996997.397374,500,540,900,
1786996997.648149,500,540,900,
1786996997.898981,500,540,900,
1786996998.149931,500,540,900,
1786996998.400887,500,540,900,
1786996998.651861,500,540,900,
1786996998.902835,500,540,900,
1786996999.153808,500,540,900,
1786996999.404766,500,540,900,
1786996999.655750,500,540,900,
1786996999.906704,500,540,900,
1786997000.157663,500,540,900,
1786997000.408624,500,540,900,
1786997000.659610,500,540,900,
1786997000.910576,500,540,900,
1786997001.161534,500,540,900,
1786997001.412500,500,540,900,
1786997001.663481,500,540,900,
1786997001.914442,500,540,900,
1786997002.165411,500,540,900,
1786997002.416372,500,540,900,
1786997002.667356,500,540,900,
1786997002.918313,500,540,900,
1786997003.169279,500,540,900,
1786997003.420233,500,540,900,
1786997003.671236,500,540,900,
1786997003.922200,500,540,900,
1786997004.173163,500,540,900,
1786997004.424129,500,540,900,
1786997004.675086,500,540,900,
1786997004.926082,500,540,900,
1786997005.177045,500,540,900,
1786997005.428003,500,540,900,
1786997005.678970,500,540,900,
1786997005.929936,500,540,900,
1786997006.180906,500,540,900,
1786997006.431864,500,540,900,
1786997006.682829,500,540,900,
1786997006.933811,500,540,900,
1786997007.184779,500,540,900,
1786997007.435791,500,540,900,
1786997007.686750,500,540,900,
1786997007.937716,500,540,900,
1786997008.188683,500,540,900,
1786997008.439668,500,540,900,
1786997008.690635,500,540,900,
1786997008.941592,500,540,900,
1786997009.192558,500,540,900,
1786997009.443546,500,540,900,
1786997009.694507,500,540,900,
1786997009.945482,500,540,900,
1786997010.196441,500,540,900,
1786997010.447422,500,540,900,
1786997010.698380,500,540,900,
1786997010.949351,500,540,900,
1786997011.200329,500,540,900,
1786997011.451333,500,540,900,
1786997011.702291,500,540,900,
1786997011.953254,500,540,900,
1786997012.204214,500,540,900,
1786997012.455172,500,540,900,
1786997012.706142,500,540,900,
1786997012.957110,500,540,900,
1786997013.208073,500,540,900,
1786997013.459034,500,540,900,
1786997013.709996,500,540,900,
1786997013.960966,500,540,900,
1786997014.211927,500,540,900,
1786997014.462887,500,540,900,
1786997014.713842,500,540,900,
1786997014.964811,500,540,900,
1786997015.215798,500,540,900,
1786997015.466762,500,540,900,
1786997015.717755,500,540,900,
1786997015.968730,500,540,900,
1786997016.219712,500,540,900,
1786997016.470677,500,540,900,
1786997016.721643,500,540,900,
1786997016.972610,500,540,900,
1786997017.223602,500,540,900,
1786997017.474575,500,540,900,
1786997017.725538,500,540,900,
1786997017.976506,500,540,900,
1786997018.227487,500,540,900,
1786997018.478454,500,540,900,
1786997018.729421,500,540,900,
1786997018.980392,500,540,900,
1786997019.231376,500,540,900,
1786997019.482337,500,540,900,
1786997019.733306,500,540,900,
1786997019.984274,500,540,900,
1786997020.235265,500,540,900,
1786997020.486228,500,540,900,
1786997020.737187,500,540,900,
1786997020.988156,500,540,900,
1786997021.239116,500,540,900,
1786997021.490096,500,540,900,
1786997021.741068,500,540,900,
1786997021.992039,500,540,900,
1786997022.242994,500,540,900,
1786997022.493957,500,540,900,
1786997022.744931,500,540,900,
1786997022.995893,500,540,900,
1786997023.246856,500,540,900,
1786997023.497837,500,540,900,
1786997023.748794,500,540,900,
1786997023.999778,500,540,900,
1786997024.250744,500,540,900,
1786997024.501722,500,540,900,
1786997024.752686,500,540,900,
1786997025.003671,500,540,900,
1786997025.254639,500,540,900,
1786997025.505605,500,540,900,
1786997025.756570,500,540,900,
1786997026.007563,500,540,900,
1786997026.258531,500,540,900,
1786997026.509494,500,540,900,
1786997026.760468,500,540,900,
1786997027.011451,500,540,900,
1786997027.262417,500,540,900,
1786997027.513385,500,540,900,
1786997027.764351,500,540,900,
1786997028.015360,500,540,900,
1786997028.266330,500,540,900,
1786997028.517298,500,540,900,
1786997028.768258,500,540,900,
1786997029.019241,500,540,900,
1786997029.270200,500,540,900,
1786997029.521168,500,540,900,
1786997029.772136,500,540,900,
1786997030.023096,500,540,900,
1786997030.274090,500,540,900,
1786997030.525058,500,540,900,
1786997030.776017,500,540,900,
1786997031.026986,500,540,900,
1786997031.277951,500,540,900,
1786997031.528936,500,540,900,
1786997031.779893,500,540,900,
1786997032.030867,500,540,900,
1786997032.281838,500,540,900,
1786997032.532798,500,540,900,
1786997032.783779,500,540,900,
1786997033.034745,500,540,900,
1786997033.285712,500,540,900,
1786997033.536674,500,540,900,
1786997033.787673,500,540,900,
1786997034.038638,500,540,900,
1786997034.289606,500,540,900,
1786997034.540574,500,540,900,
1786997034.791566,500,540,900,
1786997035.042539,500,540,900,
1786997035.293505,500,540,900,
1786997035.544471,500,540,900,
1786997035.795457,500,540,900,
1786997036.046424,500,540,900,
1786997036.297401,500,540,900,
