phase,i,t_start,t_end,t_mid,dt_s,ok,power_w,voltage_v,current_a,aiclk_mhz,temp_c,error
run,0,1786997187.408799,1786997187.857655,1786997187.633227,0.224515,1,33.0000,0.8600,38.0000,1000.0000,41.9000,
run,1,1786997187.857703,1786997188.330990,1786997188.094347,0.685635,1,32.0000,0.8600,37.0000,1000.0000,42.2000,
run,2,1786997188.331084,1786997188.784217,1786997188.557650,1.148939,1,32.0000,0.8600,37.0000,1000.0000,42.2000,
run,3,1786997188.784318,1786997189.238235,1786997189.011277,1.602565,1,32.0000,0.8600,37.0000,1000.0000,42.4000,
run,4,1786997189.238334,1786997189.692149,1786997189.465241,2.056530,1,33.0000,0.8600,37.0000,1000.0000,42.4000,
run,5,1786997189.692249,1786997190.148116,1786997189.920182,2.511471,1,32.0000,0.8600,37.0000,1000.0000,42.4000,
run,6,1786997190.148221,1786997190.603279,1786997190.375750,2.967039,1,31.0000,0.8600,37.0000,1000.0000,42.5000,
run,7,1786997190.603378,1786997191.058601,1786997190.830989,3.422278,1,32.0000,0.8600,37.0000,1000.0000,42.6000,
run,8,1786997191.058701,1786997191.511586,1786997191.285143,3.876432,1,31.0000,0.8600,37.0000,1000.0000,42.5000,
run,9,1786997191.511686,1786997191.968561,1786997191.740123,4.331412,1,32.0000,0.8600,37.0000,1000.0000,42.6000,
run,10,1786997191.968661,1786997192.425569,1786997192.197115,4.788404,1,31.0000,0.8600,37.0000,1000.0000,42.5000,
run,11,1786997192.425670,1786997192.882951,1786997192.654311,5.245599,1,32.0000,0.8600,37.0000,1000.0000,42.5000,
run,12,1786997192.883056,1786997193.335804,1786997193.109430,5.700719,1,32.0000,0.8600,37.0000,1000.0000,42.5000,
run,13,1786997193.335906,1786997193.790755,1786997193.563330,6.154619,1,32.0000,0.8600,37.0000,1000.0000,42.5000,
run,14,1786997193.790855,1786997194.245889,1786997194.018372,6.609661,1,32.0000,0.8600,37.0000,1000.0000,42.6000,
run,15,1786997194.245988,1786997194.701133,1786997194.473560,7.064849,1,32.0000,0.8600,37.0000,1000.0000,42.5000,
run,16,1786997194.701231,1786997195.151884,1786997194.926558,7.517846,1,32.0000,0.8600,37.0000,1000.0000,42.6000,
run,17,1786997195.151986,1786997195.607077,1786997195.379531,7.970820,1,32.0000,0.8600,37.0000,1000.0000,42.5000,
run,18,1786997195.607178,1786997196.062224,1786997195.834701,8.425990,1,32.0000,0.8600,37.0000,1000.0000,42.6000,
run,19,1786997196.062325,1786997196.518949,1786997196.290637,8.881926,1,32.0000,0.8600,37.0000,1000.0000,42.5000,
run,20,1786997196.519050,1786997196.972158,1786997196.745604,9.336893,1,32.0000,0.8600,37.0000,1000.0000,42.5000,
run,21,1786997196.972259,1786997197.428023,1786997197.200141,9.791429,1,32.0000,0.8600,37.0000,1000.0000,42.5000,
run,22,1786997197.428125,1786997197.881236,1786997197.654680,10.245969,1,32.0000,0.8600,37.0000,1000.0000,42.5000,
run,23,1786997197.881337,1786997198.328787,1786997198.105062,10.696351,1,32.0000,0.8600,37.0000,1000.0000,42.5000,
run,24,1786997198.328905,1786997198.782590,1786997198.555748,11.147036,1,33.0000,0.8600,37.0000,1000.0000,42.8000,
run,25,1786997198.782690,1786997199.235747,1786997199.009218,11.600507,1,33.0000,0.8600,37.0000,1000.0000,42.5000,
run,26,1786997199.235848,1786997199.691019,1786997199.463434,12.054722,1,33.0000,0.8600,37.0000,1000.0000,42.6000,
run,27,1786997199.691117,1786997200.145991,1786997199.918554,12.509842,1,32.0000,0.8600,37.0000,1000.0000,42.6000,
run,28,1786997200.146093,1786997200.599592,1786997200.372842,12.964131,1,32.0000,0.8600,37.0000,1000.0000,42.6000,
run,29,1786997200.599696,1786997201.052864,1786997200.826280,13.417569,1,32.0000,0.8600,37.0000,1000.0000,42.5000,
run,30,1786997201.052966,1786997201.500513,1786997201.276739,13.868028,1,33.0000,0.8600,38.0000,1000.0000,42.6000,
run,31,1786997201.500613,1786997201.946025,1786997201.723319,14.314608,1,32.0000,0.8600,37.0000,1000.0000,42.6000,
run,32,1786997201.946125,1786997202.401814,1786997202.173970,14.765258,1,32.0000,0.8600,37.0000,1000.0000,42.6000,
run,33,1786997202.401915,1786997202.856920,1786997202.629417,15.220706,1,33.0000,0.8600,37.0000,1000.0000,42.6000,
run,34,1786997202.857026,1786997203.303109,1786997203.080068,15.671356,1,32.0000,0.8600,37.0000,1000.0000,42.5000,
run,35,1786997203.303232,1786997203.757703,1786997203.530468,16.121756,1,32.0000,0.8600,37.0000,1000.0000,42.8000,
run,36,1786997203.757805,1786997204.214865,1786997203.986335,16.577623,1,32.0000,0.8600,37.0000,1000.0000,42.8000,
run,37,1786997204.214965,1786997204.668385,1786997204.441675,17.032964,1,32.0000,0.8600,37.0000,1000.0000,42.6000,
run,38,1786997204.668486,1786997205.120918,1786997204.894702,17.485991,1,32.0000,0.8600,37.0000,1000.0000,42.8000,
run,39,1786997205.121018,1786997205.570253,1786997205.345635,17.936924,1,32.0000,0.8600,37.0000,1000.0000,42.8000,
run,40,1786997205.570353,1786997206.025978,1786997205.798165,18.389454,1,33.0000,0.8600,37.0000,1000.0000,42.6000,
run,41,1786997206.026082,1786997206.481406,1786997206.253744,18.845032,1,32.0000,0.8600,37.0000,1000.0000,42.6000,
run,42,1786997206.481506,1786997206.930010,1786997206.705758,19.297047,1,32.0000,0.8600,37.0000,1000.0000,42.8000,
run,43,1786997206.930113,1786997207.385470,1786997207.157791,19.749080,1,32.0000,0.8600,37.0000,1000.0000,42.8000,
run,44,1786997207.385571,1786997207.839329,1786997207.612450,20.203738,1,32.0000,0.8600,37.0000,1000.0000,42.8000,
run,45,1786997207.839427,1786997208.296783,1786997208.068105,20.659394,1,32.0000,0.8600,37.0000,1000.0000,42.6000,
run,46,1786997208.296903,1786997208.750974,1786997208.523939,21.115227,1,32.0000,0.8600,37.0000,1000.0000,42.7000,
run,47,1786997208.751076,1786997209.207129,1786997208.979103,21.570391,1,32.0000,0.8600,37.0000,1000.0000,42.8000,
run,48,1786997209.207229,1786997209.660086,1786997209.433658,22.024946,1,32.0000,0.8600,37.0000,1000.0000,42.8000,
run,49,1786997209.660188,1786997210.116057,1786997209.888123,22.479411,1,32.0000,0.8600,37.0000,1000.0000,42.8000,
run,50,1786997210.116160,1786997210.569034,1786997210.342597,22.933885,1,32.0000,0.8600,37.0000,1000.0000,42.8000,
run,51,1786997210.569135,1786997211.017569,1786997210.793352,23.384641,1,32.0000,0.8600,37.0000,1000.0000,42.6000,
run,52,1786997211.017672,1786997211.471373,1786997211.244523,23.835811,1,33.0000,0.8600,37.0000,1000.0000,42.6000,
run,53,1786997211.471475,1786997211.925946,1786997211.698711,24.289999,1,32.0000,0.8600,37.0000,1000.0000,43.0000,
run,54,1786997211.926048,1786997212.379594,1786997212.152821,24.744110,1,32.0000,0.8600,37.0000,1000.0000,42.8000,
run,55,1786997212.379697,1786997212.834579,1786997212.607138,25.198426,1,32.0000,0.8600,37.0000,1000.0000,42.8000,
run,56,1786997212.834681,1786997213.287817,1786997213.061249,25.652538,1,33.0000,0.8600,37.0000,1000.0000,42.9000,
run,57,1786997213.287922,1786997213.739759,1786997213.513840,26.105129,1,32.0000,0.8600,37.0000,1000.0000,42.8000,
run,58,1786997213.739860,1786997214.195754,1786997213.967807,26.559096,1,32.0000,0.8600,37.0000,1000.0000,42.9000,
run,59,1786997214.195857,1786997214.648865,1786997214.422361,27.013649,1,32.0000,0.8600,37.0000,1000.0000,42.9000,
run,60,1786997214.648968,1786997215.097651,1786997214.873310,27.464598,1,32.0000,0.8600,37.0000,1000.0000,42.9000,
run,61,1786997215.097754,1786997215.552415,1786997215.325085,27.916373,1,32.0000,0.8600,37.0000,1000.0000,42.8000,
run,62,1786997215.552519,1786997216.007786,1786997215.780152,28.371441,1,32.0000,0.8600,37.0000,1000.0000,42.9000,
run,63,1786997216.007887,1786997216.464301,1786997216.236094,28.827383,1,32.0000,0.8600,37.0000,1000.0000,42.9000,
run,64,1786997216.464528,1786997216.919522,1786997216.692025,29.283313,1,32.0000,0.8600,37.0000,1000.0000,42.9000,
run,65,1786997216.919624,1786997217.373635,1786997217.146630,29.737918,1,32.0000,0.8600,37.0000,1000.0000,42.9000,
run,66,1786997217.373736,1786997217.829562,1786997217.601649,30.192938,1,32.0000,0.8600,37.0000,1000.0000,43.0000,
run,67,1786997217.829662,1786997218.283754,1786997218.056708,30.647996,1,32.0000,0.8600,37.0000,1000.0000,43.1000,
run,68,1786997218.283856,1786997218.738827,1786997218.511342,31.102630,1,32.0000,0.8600,37.0000,1000.0000,43.0000,
run,69,1786997218.738927,1786997219.195713,1786997218.967320,31.558609,1,32.0000,0.8600,37.0000,1000.0000,43.1000,
run,70,1786997219.195814,1786997219.651975,1786997219.423894,32.015183,1,33.0000,0.8600,37.0000,1000.0000,43.1000,
run,71,1786997219.652097,1786997220.110116,1786997219.881106,32.472395,1,32.0000,0.8600,37.0000,1000.0000,43.1000,
run,72,1786997220.110219,1786997220.564991,1786997220.337605,32.928894,1,33.0000,0.8600,37.0000,1000.0000,43.1000,
run,73,1786997220.565090,1786997221.013716,1786997220.789403,33.380692,1,32.0000,0.8600,37.0000,1000.0000,43.0000,
run,74,1786997221.013817,1786997221.465405,1786997221.239611,33.830899,1,32.0000,0.8600,37.0000,1000.0000,43.1000,
run,75,1786997221.465508,1786997221.917635,1786997221.691571,34.282860,1,32.0000,0.8600,37.0000,1000.0000,43.1000,
run,76,1786997221.917737,1786997222.370508,1786997222.144122,34.735411,1,32.0000,0.8600,37.0000,1000.0000,43.0000,
run,77,1786997222.370610,1786997222.823545,1786997222.597077,35.188365,1,32.0000,0.8600,37.0000,1000.0000,43.1000,
run,78,1786997222.823647,1786997223.277669,1786997223.050658,35.641947,1,32.0000,0.8600,37.0000,1000.0000,43.1000,
run,79,1786997223.277770,1786997223.730857,1786997223.504314,36.095602,1,32.0000,0.8600,37.0000,1000.0000,43.0000,
run,80,1786997223.730965,1786997224.186305,1786997223.958635,36.549923,1,32.0000,0.8600,37.0000,1000.0000,43.1000,
run,81,1786997224.186407,1786997224.642036,1786997224.414221,37.005510,1,33.0000,0.8600,37.0000,1000.0000,43.0000,
run,82,1786997224.642138,1786997225.095728,1786997224.868933,37.460221,1,32.0000,0.8600,37.0000,1000.0000,43.1000,
run,83,1786997225.095829,1786997225.549122,1786997225.322475,37.913764,1,32.0000,0.8600,37.0000,1000.0000,43.0000,
run,84,1786997225.549223,1786997225.997281,1786997225.773252,38.364540,1,32.0000,0.8600,37.0000,1000.0000,43.1000,
run,85,1786997225.997381,1786997226.443944,1786997226.220663,38.811951,1,33.0000,0.8600,37.0000,1000.0000,43.0000,
run,86,1786997226.444051,1786997226.898755,1786997226.671403,39.262691,1,32.0000,0.8600,37.0000,1000.0000,43.1000,
run,87,1786997226.898855,1786997227.352909,1786997227.125882,39.717171,1,32.0000,0.8600,37.0000,1000.0000,43.0000,
run,88,1786997227.353010,1786997227.800000,1786997227.576505,40.167794,1,32.0000,0.8600,37.0000,1000.0000,43.0000,
run,89,1786997227.800102,1786997228.255644,1786997228.027874,40.619162,1,32.0000,0.8600,37.0000,1000.0000,42.8000,
run,90,1786997228.255746,1786997228.708617,1786997228.482182,41.073470,1,32.0000,0.8600,37.0000,1000.0000,42.9000,
run,91,1786997228.708719,1786997229.158077,1786997228.933398,41.524687,1,33.0000,0.8600,37.0000,1000.0000,43.0000,
run,92,1786997229.158178,1786997229.612052,1786997229.385115,41.976404,1,32.0000,0.8600,37.0000,1000.0000,43.1000,
run,93,1786997229.612150,1786997230.067050,1786997229.839600,42.430888,1,32.0000,0.8600,37.0000,1000.0000,43.1000,
run,94,1786997230.067152,1786997230.524252,1786997230.295702,42.886991,1,32.0000,0.8600,37.0000,1000.0000,43.1000,
run,95,1786997230.524352,1786997230.979457,1786997230.751904,43.343193,1,33.0000,0.8600,37.0000,1000.0000,43.1000,
run,96,1786997230.979558,1786997231.433161,1786997231.206360,43.797648,1,32.0000,0.8600,37.0000,1000.0000,43.0000,
run,97,1786997231.433261,1786997231.886439,1786997231.659850,44.251139,1,32.0000,0.8600,37.0000,1000.0000,43.0000,
run,98,1786997231.886542,1786997232.340428,1786997232.113485,44.704773,1,32.0000,0.8600,37.0000,1000.0000,43.0000,
run,99,1786997232.340530,1786997232.795610,1786997232.568070,45.159359,1,32.0000,0.8600,37.0000,1000.0000,43.1000,
run,100,1786997232.795712,1786997233.252531,1786997233.024121,45.615410,1,32.0000,0.8600,37.0000,1000.0000,43.1000,
run,101,1786997233.252632,1786997233.704739,1786997233.478686,46.069974,1,32.0000,0.8600,37.0000,1000.0000,43.1000,
run,102,1786997233.704840,1786997234.159563,1786997233.932201,46.523490,1,33.0000,0.8600,37.0000,1000.0000,43.1000,
run,103,1786997234.159668,1786997234.614629,1786997234.387148,46.978437,1,32.0000,0.8600,37.0000,1000.0000,43.1000,
run,104,1786997234.614729,1786997235.068509,1786997234.841619,47.432908,1,32.0000,0.8600,37.0000,1000.0000,43.1000,
run,105,1786997235.068610,1786997235.520705,1786997235.294657,47.885946,1,32.0000,0.8600,37.0000,1000.0000,43.1000,
run,106,1786997235.520824,1786997235.987641,1786997235.754232,48.345521,1,18.0000,0.7200,26.0000,500.0000,43.1000,
