phase,i,t_start,t_end,t_mid,dt_s,ok,power_w,voltage_v,current_a,aiclk_mhz,temp_c,error
run,0,1786997578.437317,1786997578.891651,1786997578.664484,0.227294,1,32.0000,0.8600,36.0000,1000.0000,39.9000,
run,1,1786997578.891700,1786997579.352901,1786997579.122301,0.685111,1,30.0000,0.8600,35.0000,1000.0000,40.5000,
run,2,1786997579.352951,1786997579.810223,1786997579.581587,1.144397,1,30.0000,0.8600,35.0000,1000.0000,40.5000,
run,3,1786997579.810271,1786997580.265931,1786997580.038101,1.600911,1,30.0000,0.8600,35.0000,1000.0000,40.6000,
run,4,1786997580.265981,1786997580.723628,1786997580.494804,2.057615,1,30.0000,0.8600,35.0000,1000.0000,40.6000,
run,5,1786997580.723675,1786997581.178708,1786997580.951192,2.514002,1,30.0000,0.8600,35.0000,1000.0000,40.6000,
run,6,1786997581.178751,1786997581.637835,1786997581.408293,2.971103,1,30.0000,0.8600,35.0000,1000.0000,40.6000,
run,7,1786997581.637885,1786997582.092830,1786997581.865357,3.428168,1,30.0000,0.8600,35.0000,1000.0000,40.6000,
run,8,1786997582.092893,1786997582.542250,1786997582.317572,3.880382,1,30.0000,0.8600,35.0000,1000.0000,40.6000,
run,9,1786997582.542300,1786997582.997045,1786997582.769672,4.332482,1,30.0000,0.8600,35.0000,1000.0000,40.6000,
run,10,1786997582.997094,1786997583.448446,1786997583.222770,4.785580,1,30.0000,0.8600,35.0000,1000.0000,40.6000,
run,11,1786997583.448501,1786997583.906402,1786997583.677451,5.240262,1,30.0000,0.8600,35.0000,1000.0000,40.6000,
run,12,1786997583.906451,1786997584.360241,1786997584.133347,5.696157,1,30.0000,0.8600,35.0000,1000.0000,40.8000,
run,13,1786997584.360290,1786997584.819337,1786997584.589813,6.152624,1,30.0000,0.8600,35.0000,1000.0000,40.8000,
run,14,1786997584.819386,1786997585.273592,1786997585.046489,6.609299,1,30.0000,0.8600,35.0000,1000.0000,40.8000,
run,15,1786997585.273642,1786997585.733640,1786997585.503641,7.066451,1,30.0000,0.8600,35.0000,1000.0000,41.0000,
run,16,1786997585.733687,1786997586.191295,1786997585.962491,7.525301,1,30.0000,0.8600,35.0000,1000.0000,41.1000,
run,17,1786997586.191344,1786997586.646354,1786997586.418849,7.981659,1,30.0000,0.8600,35.0000,1000.0000,41.0000,
run,18,1786997586.646402,1786997587.100829,1786997586.873616,8.436426,1,30.0000,0.8600,35.0000,1000.0000,41.0000,
run,19,1786997587.100894,1786997587.548332,1786997587.324613,8.887424,1,30.0000,0.8600,35.0000,1000.0000,41.1000,
run,20,1786997587.548380,1786997588.006387,1786997587.777383,9.340194,1,30.0000,0.8600,35.0000,1000.0000,41.1000,
run,21,1786997588.006436,1786997588.461241,1786997588.233839,9.796649,1,30.0000,0.8600,35.0000,1000.0000,41.1000,
run,22,1786997588.461287,1786997588.915237,1786997588.688262,10.251072,1,30.0000,0.8600,35.0000,1000.0000,41.1000,
run,23,1786997588.915286,1786997589.370442,1786997589.142864,10.705674,1,30.0000,0.8600,35.0000,1000.0000,41.1000,
run,24,1786997589.370489,1786997589.826034,1786997589.598261,11.161072,1,30.0000,0.8600,35.0000,1000.0000,41.2000,
run,25,1786997589.826081,1786997590.279550,1786997590.052815,11.615625,1,30.0000,0.8600,35.0000,1000.0000,41.1000,
run,26,1786997590.279597,1786997590.733865,1786997590.506731,12.069541,1,30.0000,0.8600,35.0000,1000.0000,41.1000,
run,27,1786997590.733911,1786997591.189542,1786997590.961727,12.524537,1,30.0000,0.8600,35.0000,1000.0000,41.2000,
run,28,1786997591.189592,1786997591.643687,1786997591.416640,12.979450,1,30.0000,0.8600,35.0000,1000.0000,41.2000,
run,29,1786997591.643737,1786997592.100088,1786997591.871912,13.434723,1,30.0000,0.8600,35.0000,1000.0000,41.2000,
run,30,1786997592.100138,1786997592.554674,1786997592.327406,13.890216,1,30.0000,0.8600,35.0000,1000.0000,41.4000,
run,31,1786997592.554719,1786997593.009452,1786997592.782086,14.344896,1,30.0000,0.8600,35.0000,1000.0000,41.4000,
run,32,1786997593.009512,1786997593.463495,1786997593.236504,14.799314,1,30.0000,0.8600,35.0000,1000.0000,41.4000,
run,33,1786997593.463545,1786997593.918700,1786997593.691123,15.253933,1,30.0000,0.8600,35.0000,1000.0000,41.4000,
run,34,1786997593.918747,1786997594.381265,1786997594.150006,15.712816,1,30.0000,0.8600,35.0000,1000.0000,41.4000,
run,35,1786997594.381324,1786997594.836149,1786997594.608737,16.171547,1,30.0000,0.8600,35.0000,1000.0000,41.4000,
run,36,1786997594.836198,1786997595.295267,1786997595.065732,16.628543,1,30.0000,0.8600,35.0000,1000.0000,41.4000,
run,37,1786997595.295315,1786997595.750427,1786997595.522871,17.085681,1,30.0000,0.8600,35.0000,1000.0000,41.4000,
run,38,1786997595.750481,1786997596.204383,1786997595.977432,17.540242,1,30.0000,0.8600,35.0000,1000.0000,41.4000,
run,39,1786997596.204445,1786997596.657580,1786997596.431013,17.993823,1,30.0000,0.8600,35.0000,1000.0000,41.4000,
run,40,1786997596.657628,1786997597.113622,1786997596.885625,18.448435,1,30.0000,0.8600,35.0000,1000.0000,41.4000,
run,41,1786997597.113673,1786997597.569371,1786997597.341522,18.904332,1,30.0000,0.8600,35.0000,1000.0000,41.4000,
run,42,1786997597.569418,1786997598.024270,1786997597.796844,19.359654,1,30.0000,0.8600,35.0000,1000.0000,41.4000,
run,43,1786997598.024318,1786997598.476584,1786997598.250451,19.813261,1,31.0000,0.8600,35.0000,1000.0000,41.4000,
run,44,1786997598.476648,1786997598.925960,1786997598.701304,20.264114,1,31.0000,0.8600,35.0000,1000.0000,41.4000,
run,45,1786997598.926008,1786997599.382064,1786997599.154036,20.716846,1,31.0000,0.8600,35.0000,1000.0000,41.4000,
run,46,1786997599.382113,1786997599.837145,1786997599.609629,21.172440,1,30.0000,0.8600,35.0000,1000.0000,41.4000,
run,47,1786997599.837246,1786997600.285141,1786997600.061193,21.624004,1,30.0000,0.8600,35.0000,1000.0000,41.4000,
run,48,1786997600.285192,1786997600.732020,1786997600.508606,22.071417,1,31.0000,0.8600,35.0000,1000.0000,41.4000,
run,49,1786997600.732119,1786997601.191833,1786997600.961976,22.524786,1,30.0000,0.8600,35.0000,1000.0000,41.4000,
run,50,1786997601.191937,1786997601.646615,1786997601.419276,22.982086,1,30.0000,0.8600,35.0000,1000.0000,41.6000,
run,51,1786997601.646719,1786997602.107291,1786997601.877005,23.439815,1,31.0000,0.8600,35.0000,1000.0000,41.6000,
run,52,1786997602.107393,1786997602.562019,1786997602.334706,23.897516,1,30.0000,0.8600,35.0000,1000.0000,41.6000,
run,53,1786997602.562120,1786997603.019873,1786997602.790997,24.353807,1,30.0000,0.8600,35.0000,1000.0000,41.6000,
run,54,1786997603.019975,1786997603.474178,1786997603.247076,24.809886,1,31.0000,0.8600,36.0000,1000.0000,41.6000,
run,55,1786997603.474392,1786997603.935418,1786997603.704905,25.267715,1,31.0000,0.8600,35.0000,1000.0000,41.6000,
run,56,1786997603.935522,1786997604.388059,1786997604.161790,25.724601,1,31.0000,0.8600,35.0000,1000.0000,41.6000,
run,57,1786997604.388160,1786997604.849004,1786997604.618582,26.181392,1,31.0000,0.8600,35.0000,1000.0000,41.6000,
run,58,1786997604.849105,1786997605.305569,1786997605.077337,26.640147,1,31.0000,0.8600,36.0000,1000.0000,41.8000,
run,59,1786997605.305668,1786997605.766783,1786997605.536225,27.099036,1,31.0000,0.8600,36.0000,1000.0000,41.6000,
run,60,1786997605.766884,1786997606.220653,1786997605.993769,27.556579,1,30.0000,0.8600,35.0000,1000.0000,41.9000,
run,61,1786997606.220754,1786997606.679743,1786997606.450248,28.013058,1,31.0000,0.8600,36.0000,1000.0000,41.6000,
run,62,1786997606.679845,1786997607.135679,1786997606.907762,28.470572,1,31.0000,0.8600,35.0000,1000.0000,41.6000,
run,63,1786997607.135781,1786997607.594054,1786997607.364918,28.927728,1,31.0000,0.8600,35.0000,1000.0000,41.8000,
run,64,1786997607.594156,1786997608.050028,1786997607.822092,29.384902,1,30.0000,0.8600,35.0000,1000.0000,42.1000,
run,65,1786997608.050129,1786997608.509573,1786997608.279850,29.842661,1,31.0000,0.8600,36.0000,1000.0000,41.8000,
run,66,1786997608.509675,1786997608.965337,1786997608.737506,30.300316,1,31.0000,0.8600,36.0000,1000.0000,41.9000,
run,67,1786997608.965445,1786997609.414578,1786997609.190011,30.752821,1,31.0000,0.8600,35.0000,1000.0000,41.9000,
run,68,1786997609.414680,1786997609.873785,1786997609.644233,31.207043,1,31.0000,0.8600,36.0000,1000.0000,42.1000,
run,69,1786997609.873887,1786997610.330523,1786997610.102205,31.665015,1,31.0000,0.8600,35.0000,1000.0000,42.1000,
run,70,1786997610.330624,1786997610.791854,1786997610.561239,32.124049,1,31.0000,0.8600,36.0000,1000.0000,41.8000,
run,71,1786997610.791969,1786997611.245735,1786997611.018852,32.581662,1,31.0000,0.8600,36.0000,1000.0000,42.1000,
run,72,1786997611.245837,1786997611.705960,1786997611.475899,33.038709,1,31.0000,0.8600,36.0000,1000.0000,42.0000,
run,73,1786997611.706064,1786997612.163299,1786997611.934681,33.497492,1,31.0000,0.8600,35.0000,1000.0000,42.1000,
run,74,1786997612.163400,1786997612.622064,1786997612.392732,33.955542,1,31.0000,0.8600,36.0000,1000.0000,42.1000,
run,75,1786997612.622165,1786997613.077517,1786997612.849841,34.412652,1,31.0000,0.8600,35.0000,1000.0000,42.1000,
run,76,1786997613.077617,1786997613.524448,1786997613.301033,34.863843,1,31.0000,0.8600,36.0000,1000.0000,42.1000,
run,77,1786997613.524551,1786997613.973329,1786997613.748940,35.311750,1,31.0000,0.8600,36.0000,1000.0000,42.1000,
run,78,1786997613.973439,1786997614.422336,1786997614.197887,35.760698,1,31.0000,0.8600,36.0000,1000.0000,42.1000,
run,79,1786997614.422437,1786997614.882645,1786997614.652541,36.215351,1,31.0000,0.8600,36.0000,1000.0000,42.1000,
run,80,1786997614.882747,1786997615.339592,1786997615.111169,36.673980,1,31.0000,0.8600,36.0000,1000.0000,42.1000,
run,81,1786997615.339692,1786997615.799460,1786997615.569576,37.132386,1,31.0000,0.8600,35.0000,1000.0000,42.1000,
