phase,i,t_start,t_end,t_mid,dt_s,ok,power_w,voltage_v,current_a,aiclk_mhz,temp_c,error
run,0,1786998027.590509,1786998028.052648,1786998027.821579,0.231161,1,33.0000,0.8600,38.0000,1000.0000,42.3000,
run,1,1786998028.052706,1786998028.506958,1786998028.279832,0.689414,1,31.0000,0.8600,36.0000,1000.0000,42.8000,
run,2,1786998028.507051,1786998028.962108,1786998028.734580,1.144162,1,32.0000,0.8600,36.0000,1000.0000,42.9000,
run,3,1786998028.962210,1786998029.420891,1786998029.191550,1.601133,1,32.0000,0.8600,37.0000,1000.0000,42.9000,
run,4,1786998029.420990,1786998029.875262,1786998029.648126,2.057709,1,31.0000,0.8600,36.0000,1000.0000,42.9000,
run,5,1786998029.875363,1786998030.332806,1786998030.104084,2.513667,1,31.0000,0.8600,36.0000,1000.0000,42.9000,
run,6,1786998030.332926,1786998030.783274,1786998030.558100,2.967683,1,31.0000,0.8600,36.0000,1000.0000,42.8000,
run,7,1786998030.783375,1786998031.241140,1786998031.012258,3.421840,1,31.0000,0.8600,36.0000,1000.0000,42.8000,
run,8,1786998031.241241,1786998031.695936,1786998031.468588,3.878171,1,31.0000,0.8600,36.0000,1000.0000,42.8000,
run,9,1786998031.696036,1786998032.155606,1786998031.925821,4.335403,1,32.0000,0.8600,37.0000,1000.0000,42.8000,
run,10,1786998032.155706,1786998032.609818,1786998032.382762,4.792344,1,32.0000,0.8600,36.0000,1000.0000,42.8000,
run,11,1786998032.609919,1786998033.069705,1786998032.839812,5.249395,1,31.0000,0.8600,36.0000,1000.0000,42.8000,
run,12,1786998033.069809,1786998033.527741,1786998033.298775,5.708358,1,32.0000,0.8600,36.0000,1000.0000,42.9000,
run,13,1786998033.527841,1786998033.985490,1786998033.756665,6.166248,1,31.0000,0.8600,36.0000,1000.0000,42.8000,
run,14,1786998033.985592,1786998034.441944,1786998034.213768,6.623351,1,31.0000,0.8600,36.0000,1000.0000,42.9000,
run,15,1786998034.442046,1786998034.899787,1786998034.670917,7.080499,1,31.0000,0.8600,36.0000,1000.0000,42.8000,
run,16,1786998034.899886,1786998035.359241,1786998035.129564,7.539146,1,31.0000,0.8600,36.0000,1000.0000,42.9000,
run,17,1786998035.359336,1786998035.816132,1786998035.587734,7.997317,1,31.0000,0.8600,36.0000,1000.0000,42.9000,
run,18,1786998035.816233,1786998036.274602,1786998036.045418,8.455000,1,32.0000,0.8600,37.0000,1000.0000,42.9000,
run,19,1786998036.274704,1786998036.728989,1786998036.501847,8.911429,1,31.0000,0.8600,36.0000,1000.0000,42.8000,
run,20,1786998036.729089,1786998037.177153,1786998036.953121,9.362704,1,31.0000,0.8600,36.0000,1000.0000,42.9000,
run,21,1786998037.177252,1786998037.638207,1786998037.407730,9.817312,1,31.0000,0.8600,36.0000,1000.0000,42.8000,
run,22,1786998037.638309,1786998038.094812,1786998037.866561,10.276143,1,31.0000,0.8600,36.0000,1000.0000,42.9000,
run,23,1786998038.094917,1786998038.551070,1786998038.322993,10.732576,1,31.0000,0.8600,36.0000,1000.0000,42.8000,
run,24,1786998038.551172,1786998039.009826,1786998038.780499,11.190081,1,31.0000,0.8600,36.0000,1000.0000,42.8000,
run,25,1786998039.009928,1786998039.464381,1786998039.237154,11.646736,1,31.0000,0.8600,36.0000,1000.0000,42.8000,
run,26,1786998039.464483,1786998039.915159,1786998039.689821,12.099403,1,31.0000,0.8600,36.0000,1000.0000,42.8000,
run,27,1786998039.915259,1786998040.372605,1786998040.143932,12.553514,1,32.0000,0.8600,36.0000,1000.0000,42.9000,
run,28,1786998040.372705,1786998040.825828,1786998040.599266,13.008849,1,31.0000,0.8600,36.0000,1000.0000,42.9000,
run,29,1786998040.825930,1786998041.283525,1786998041.054728,13.464310,1,31.0000,0.8600,36.0000,1000.0000,42.9000,
run,30,1786998041.283627,1786998041.738156,1786998041.510892,13.920474,1,31.0000,0.8600,36.0000,1000.0000,42.9000,
run,31,1786998041.738258,1786998042.195855,1786998041.967056,14.376639,1,31.0000,0.8600,36.0000,1000.0000,42.9000,
run,32,1786998042.195957,1786998042.649966,1786998042.422962,14.832544,1,31.0000,0.8600,36.0000,1000.0000,42.9000,
run,33,1786998042.650067,1786998043.106811,1786998042.878439,15.288021,1,32.0000,0.8600,36.0000,1000.0000,42.9000,
run,34,1786998043.106919,1786998043.561555,1786998043.334237,15.743819,1,31.0000,0.8600,36.0000,1000.0000,42.9000,
run,35,1786998043.561673,1786998044.019243,1786998043.790458,16.200041,1,32.0000,0.8600,36.0000,1000.0000,42.9000,
run,36,1786998044.019345,1786998044.475355,1786998044.247350,16.656933,1,31.0000,0.8600,36.0000,1000.0000,42.9000,
run,37,1786998044.475456,1786998044.934173,1786998044.704814,17.114397,1,31.0000,0.8600,36.0000,1000.0000,42.9000,
run,38,1786998044.934273,1786998045.390460,1786998045.162366,17.571949,1,31.0000,0.8600,36.0000,1000.0000,42.8000,
run,39,1786998045.390564,1786998045.847389,1786998045.618977,18.028559,1,31.0000,0.8600,36.0000,1000.0000,42.8000,
run,40,1786998045.847491,1786998046.301594,1786998046.074542,18.484125,1,31.0000,0.8600,36.0000,1000.0000,42.9000,
run,41,1786998046.301695,1786998046.761646,1786998046.531671,18.941253,1,31.0000,0.8600,36.0000,1000.0000,42.9000,
