phase,i,t_start,t_end,t_mid,dt_s,ok,power_w,voltage_v,current_a,aiclk_mhz,temp_c,error
run,0,1786997778.341423,1786997778.839356,1786997778.590389,0.249105,1,31.0000,0.8600,37.0000,1000.0000,42.4000,
run,1,1786997778.839416,1786997779.295640,1786997779.067528,0.726244,1,31.0000,0.8600,36.0000,1000.0000,42.7000,
run,2,1786997779.295709,1786997779.751035,1786997779.523372,1.182087,1,32.0000,0.8600,36.0000,1000.0000,42.9000,
run,3,1786997779.751136,1786997780.206826,1786997779.978981,1.637696,1,31.0000,0.8600,37.0000,1000.0000,42.8000,
run,4,1786997780.206930,1786997780.659541,1786997780.433236,2.091951,1,32.0000,0.8600,36.0000,1000.0000,42.9000,
run,5,1786997780.659645,1786997781.120974,1786997780.890310,2.549025,1,31.0000,0.8600,36.0000,1000.0000,42.9000,
run,6,1786997781.121078,1786997781.575516,1786997781.348297,3.007012,1,31.0000,0.8600,36.0000,1000.0000,42.9000,
run,7,1786997781.575619,1786997782.030848,1786997781.803233,3.461949,1,31.0000,0.8600,37.0000,1000.0000,42.8000,
run,8,1786997782.030951,1786997782.485289,1786997782.258120,3.916836,1,31.0000,0.8600,36.0000,1000.0000,42.8000,
run,9,1786997782.485393,1786997782.932981,1786997782.709187,4.367903,1,31.0000,0.8600,36.0000,1000.0000,42.9000,
run,10,1786997782.933085,1786997783.381787,1786997783.157436,4.816151,1,31.0000,0.8600,36.0000,1000.0000,42.7000,
run,11,1786997783.381891,1786997783.838128,1786997783.610010,5.268725,1,31.0000,0.8600,36.0000,1000.0000,42.8000,
run,12,1786997783.838234,1786997784.291879,1786997784.065057,5.723772,1,31.0000,0.8600,36.0000,1000.0000,42.8000,
run,13,1786997784.291982,1786997784.746859,1786997784.519421,6.178136,1,32.0000,0.8600,36.0000,1000.0000,42.9000,
run,14,1786997784.746965,1786997785.203011,1786997784.974988,6.633703,1,31.0000,0.8600,36.0000,1000.0000,42.9000,
run,15,1786997785.203115,1786997785.661480,1786997785.432297,7.091013,1,32.0000,0.8600,36.0000,1000.0000,42.8000,
run,16,1786997785.661582,1786997786.116257,1786997785.888920,7.547635,1,32.0000,0.8600,37.0000,1000.0000,42.8000,
run,17,1786997786.116362,1786997786.569952,1786997786.343157,8.001873,1,32.0000,0.8600,37.0000,1000.0000,42.8000,
run,18,1786997786.570057,1786997787.024568,1786997786.797312,8.456028,1,31.0000,0.8600,36.0000,1000.0000,42.9000,
run,19,1786997787.024672,1786997787.473211,1786997787.248941,8.907657,1,31.0000,0.8600,36.0000,1000.0000,42.9000,
run,20,1786997787.473315,1786997787.922300,1786997787.697808,9.356523,1,31.0000,0.8600,36.0000,1000.0000,42.6000,
run,21,1786997787.922405,1786997788.376454,1786997788.149429,9.808145,1,31.0000,0.8600,36.0000,1000.0000,42.8000,
run,22,1786997788.376554,1786997788.830087,1786997788.603321,10.262036,1,31.0000,0.8600,36.0000,1000.0000,42.8000,
run,23,1786997788.830194,1786997789.285648,1786997789.057921,10.716636,1,31.0000,0.8600,36.0000,1000.0000,42.8000,
run,24,1786997789.285751,1786997789.740493,1786997789.513122,11.171837,1,31.0000,0.8600,36.0000,1000.0000,42.8000,
run,25,1786997789.740601,1786997790.189229,1786997789.964915,11.623631,1,31.0000,0.8600,36.0000,1000.0000,42.9000,
