t,aiclk,arcclk,axiclk,therm_trip
1786997927.939483,500,540,900,
1786997928.190014,500,540,900,
1786997928.440618,1000,540,900,
1786997928.691451,1000,540,900,
1786997928.942159,1000,540,900,
1786997929.193103,1000,540,900,
1786997929.443939,1000,540,900,
1786997929.694871,1000,540,900,
1786997929.945823,1000,540,900,
1786997930.196789,1000,540,900,
1786997930.447765,1000,540,900,
1786997930.698748,1000,540,900,
1786997930.949712,1000,540,900,
1786997931.200672,1000,540,900,
1786997931.451650,1000,540,900,
1786997931.702602,1000,540,900,
1786997931.953582,1000,540,900,
1786997932.204538,1000,540,900,
1786997932.455563,1000,540,900,
1786997932.706531,1000,540,900,
1786997932.957499,1000,540,900,
1786997933.208463,1000,540,900,
1786997933.459452,1000,540,900,
1786997933.710413,1000,540,900,
1786997933.961371,1000,540,900,
1786997934.212334,1000,540,900,
1786997934.463338,1000,540,900,
1786997934.714300,1000,540,900,
1786997934.965271,1000,540,900,
1786997935.216238,1000,540,900,
1786997935.467213,1000,540,900,
1786997935.718184,1000,540,900,
1786997935.969148,1000,540,900,
1786997936.220116,1000,540,900,
1786997936.471096,1000,540,900,
1786997936.722060,1000,540,900,
1786997936.973030,1000,540,900,
1786997937.223994,1000,540,900,
1786997937.474963,1000,540,900,
1786997937.725920,1000,540,900,
1786997937.976888,1000,540,900,
1786997938.227856,1000,540,900,
1786997938.478820,1000,540,900,
1786997938.729778,1000,540,900,
1786997938.980739,1000,540,900,
1786997939.231716,1000,540,900,
1786997939.482680,1000,540,900,
1786997939.733640,1000,540,900,
1786997939.984593,1000,540,900,
1786997940.235575,1000,540,900,
1786997940.486535,1000,540,900,
1786997940.737505,1000,540,900,
1786997940.988471,1000,540,900,
1786997941.239457,1000,540,900,
1786997941.490428,1000,540,900,
1786997941.741393,1000,540,900,
1786997941.992363,1000,540,900,
1786997942.243344,1000,540,900,
1786997942.494306,1000,540,900,
1786997942.745271,1000,540,900,
1786997942.996237,1000,540,900,
1786997943.247229,1000,540,900,
1786997943.498196,1000,540,900,
1786997943.749164,1000,540,900,
1786997944.000125,1000,540,900,
1786997944.251090,1000,540,900,
1786997944.502051,1000,540,900,
1786997944.753017,1000,540,900,
1786997945.003975,1000,540,900,
1786997945.254943,1000,540,900,
1786997945.505897,1000,540,900,
1786997945.756869,1000,540,900,
1786997946.007840,1000,540,900,
1786997946.258803,1000,540,900,
1786997946.509765,1000,540,900,
1786997946.760729,1000,540,900,
1786997947.011701,1000,540,900,
1786997947.262668,1000,540,900,
1786997947.513637,1000,540,900,
1786997947.764599,1000,540,900,
1786997948.015579,1000,540,900,
1786997948.266543,1000,540,900,
1786997948.517458,1000,540,900,
1786997948.768415,1000,540,900,
1786997949.019396,1000,540,900,
1786997949.270362,1000,540,900,
1786997949.521320,1000,540,900,
1786997949.772291,1000,540,900,
1786997950.023272,1000,540,900,
1786997950.274244,1000,540,900,
1786997950.525206,1000,540,900,
1786997950.776168,1000,540,900,
1786997951.027137,1000,540,900,
1786997951.278110,1000,540,900,
1786997951.529078,1000,540,900,
1786997951.780038,1000,540,900,
1786997952.031016,1000,540,900,
1786997952.281981,1000,540,900,
1786997952.532958,1000,540,900,
1786997952.783921,1000,540,900,
1786997953.034891,1000,540,900,
1786997953.285851,1000,540,900,
1786997953.536811,1000,540,900,
1786997953.787783,1000,540,900,
1786997954.038743,1000,540,900,
1786997954.289707,1000,540,900,
1786997954.540670,1000,540,900,
1786997954.791655,1000,540,900,
1786997955.042616,1000,540,900,
1786997955.293582,1000,540,900,
1786997955.544547,1000,540,900,
1786997955.795538,1000,540,900,
1786997956.046502,1000,540,900,
1786997956.297460,1000,540,900,
1786997956.548426,1000,540,900,
1786997956.799412,1000,540,900,
1786997957.050380,1000,540,900,
1786997957.301338,1000,540,900,
1786997957.552310,1000,540,900,
1786997957.803293,1000,540,900,
1786997958.054260,1000,540,900,
1786997958.305222,1000,540,900,
1786997958.556185,1000,540,900,
1786997958.807153,1000,540,900,
1786997959.058138,1000,540,900,
1786997959.309105,1000,540,900,
1786997959.560067,1000,540,900,
1786997959.811036,1000,540,900,
1786997960.062000,1000,540,900,
1786997960.313348,1000,540,900,
1786997960.564305,1000,540,900,
1786997960.815284,1000,540,900,
1786997961.066248,1000,540,900,
1786997961.317211,1000,540,900,
1786997961.568174,1000,540,900,
1786997961.819132,1000,540,900,
