session,cycle,slot,label,arm,inner,status,start_s,end_s,launches,wall_s,launches_per_s,pre_file,pow_file,clk_file,post_file,tt_smi_version
20260817T192711,0,0,baseline,baseline,0,ok,1786994832.809772,1786994872.833054,0,40,0,raw/c0-s0-baseline.pre.csv,raw/c0-s0-baseline.pow.csv,raw/c0-s0-baseline.clk.csv,,6.2.1
20260817T192711,0,1,idle-0,idle,0,ok,1786994874.212997,1786994922.813354,86336,48.000374,1798.653,raw/c0-s1-idle-0.pre.csv,raw/c0-s1-idle-0.pow.csv,raw/c0-s1-idle-0.clk.csv,,6.2.1
20260817T192711,0,2,rv-200000,rv,200000,ok,1786994924.164690,1786994972.753789,21853,48.000540,455.266,raw/c0-s2-rv-200000.pre.csv,raw/c0-s2-rv-200000.pow.csv,raw/c0-s2-rv-200000.clk.csv,,6.2.1
20260817T192711,0,3,noc-4096,noc,4096,ok,1786994974.072522,1786995022.645838,18800,48.001419,391.655,raw/c0-s3-noc-4096.pre.csv,raw/c0-s3-noc-4096.pow.csv,raw/c0-s3-noc-4096.clk.csv,,6.2.1
20260817T192711,0,4,mm-4096,mm,4096,ok,1786995024.129409,1786995072.704962,54890,48.000806,1143.522,raw/c0-s4-mm-4096.pre.csv,raw/c0-s4-mm-4096.pow.csv,raw/c0-s4-mm-4096.clk.csv,,6.2.1
20260817T192711,0,5,sfpu-4096,sfpu,4096,ok,1786995074.087998,1786995122.668647,34057,48.001267,709.502,raw/c0-s5-sfpu-4096.pre.csv,raw/c0-s5-sfpu-4096.pow.csv,raw/c0-s5-sfpu-4096.clk.csv,,6.2.1
20260817T192711,0,6,rv-800000,rv,800000,ok,1786995123.997222,1786995172.569523,6794,48.001390,141.538,raw/c0-s6-rv-800000.pre.csv,raw/c0-s6-rv-800000.pow.csv,raw/c0-s6-rv-800000.clk.csv,,6.2.1
20260817T192711,0,7,noc-16384,noc,16384,ok,1786995173.949340,1786995222.525123,5689,48.007946,118.501,raw/c0-s7-noc-16384.pre.csv,raw/c0-s7-noc-16384.pow.csv,raw/c0-s7-noc-16384.clk.csv,,6.2.1
20260817T192711,0,8,mm-16384,mm,16384,ok,1786995223.926244,1786995272.524131,27987,48.001158,583.048,raw/c0-s8-mm-16384.pre.csv,raw/c0-s8-mm-16384.pow.csv,raw/c0-s8-mm-16384.clk.csv,,6.2.1
20260817T192711,0,9,sfpu-16384,sfpu,16384,ok,1786995273.749638,1786995322.318368,12537,48.003195,261.170,raw/c0-s9-sfpu-16384.pre.csv,raw/c0-s9-sfpu-16384.pow.csv,raw/c0-s9-sfpu-16384.clk.csv,,6.2.1
20260817T192711,0,10,noc-4096__control,noc,4096,ok,1786995323.698251,1786995372.273041,18927,48.001728,394.298,raw/c0-s10-noc-4096__control.pre.csv,raw/c0-s10-noc-4096__control.pow.csv,raw/c0-s10-noc-4096__control.clk.csv,,6.2.1
20260817T192711,1,0,baseline,baseline,0,ok,1786995373.729865,1786995413.757848,0,40,0,raw/c1-s0-baseline.pre.csv,raw/c1-s0-baseline.pow.csv,raw/c1-s0-baseline.clk.csv,,6.2.1
20260817T192711,1,1,idle-0,idle,0,ok,1786995414.873253,1786995463.463682,86035,48.000258,1792.386,raw/c1-s1-idle-0.pre.csv,raw/c1-s1-idle-0.pow.csv,raw/c1-s1-idle-0.clk.csv,,6.2.1
20260817T192711,1,2,rv-200000,rv,200000,ok,1786995465.069859,1786995513.639433,21860,48.000807,455.409,raw/c1-s2-rv-200000.pre.csv,raw/c1-s2-rv-200000.pow.csv,raw/c1-s2-rv-200000.clk.csv,,6.2.1
20260817T192711,1,3,noc-4096,noc,4096,ok,1786995515.272698,1786995563.844657,18927,48.000305,394.310,raw/c1-s3-noc-4096.pre.csv,raw/c1-s3-noc-4096.pow.csv,raw/c1-s3-noc-4096.clk.csv,,6.2.1
20260817T192711,1,4,mm-4096,mm,4096,ok,1786995565.236907,1786995613.821144,54968,48.000611,1145.152,raw/c1-s4-mm-4096.pre.csv,raw/c1-s4-mm-4096.pow.csv,raw/c1-s4-mm-4096.clk.csv,,6.2.1
20260817T192711,1,5,sfpu-4096,sfpu,4096,ok,1786995615.441674,1786995664.015582,34099,48.000291,710.392,raw/c1-s5-sfpu-4096.pre.csv,raw/c1-s5-sfpu-4096.pow.csv,raw/c1-s5-sfpu-4096.clk.csv,,6.2.1
20260817T192711,1,6,rv-800000,rv,800000,ok,1786995665.131790,1786995713.708498,6794,48.005140,141.527,raw/c1-s6-rv-800000.pre.csv,raw/c1-s6-rv-800000.pow.csv,raw/c1-s6-rv-800000.clk.csv,,6.2.1
20260817T192711,1,7,noc-16384,noc,16384,ok,1786995715.122339,1786995763.717188,5691,48.002864,118.555,raw/c1-s7-noc-16384.pre.csv,raw/c1-s7-noc-16384.pow.csv,raw/c1-s7-noc-16384.clk.csv,,6.2.1
20260817T192711,1,8,mm-16384,mm,16384,ok,1786995764.829878,1786995813.394994,27996,48.001471,583.232,raw/c1-s8-mm-16384.pre.csv,raw/c1-s8-mm-16384.pow.csv,raw/c1-s8-mm-16384.clk.csv,,6.2.1
20260817T192711,1,9,sfpu-16384,sfpu,16384,ok,1786995815.056490,1786995863.638761,12545,48.001110,261.348,raw/c1-s9-sfpu-16384.pre.csv,raw/c1-s9-sfpu-16384.pow.csv,raw/c1-s9-sfpu-16384.clk.csv,,6.2.1
20260817T192711,1,10,noc-4096__control,noc,4096,ok,1786995864.990461,1786995913.567942,18931,48.002251,394.377,raw/c1-s10-noc-4096__control.pre.csv,raw/c1-s10-noc-4096__control.pow.csv,raw/c1-s10-noc-4096__control.clk.csv,,6.2.1
20260817T192711,2,0,baseline,baseline,0,ok,1786995915.236116,1786995955.265041,0,40,0,raw/c2-s0-baseline.pre.csv,raw/c2-s0-baseline.pow.csv,raw/c2-s0-baseline.clk.csv,,6.2.1
20260817T192711,2,1,idle-0,idle,0,ok,1786995956.633259,1786996005.228135,85035,48.000172,1771.556,raw/c2-s1-idle-0.pre.csv,raw/c2-s1-idle-0.pow.csv,raw/c2-s1-idle-0.clk.csv,,6.2.1
20260817T192711,2,2,rv-200000,rv,200000,ok,1786996006.846421,1786996055.424139,21890,48.001733,456.025,raw/c2-s2-rv-200000.pre.csv,raw/c2-s2-rv-200000.pow.csv,raw/c2-s2-rv-200000.clk.csv,,6.2.1
20260817T192711,2,3,noc-4096,noc,4096,ok,1786996056.813008,1786996105.399045,18905,48.000306,393.852,raw/c2-s3-noc-4096.pre.csv,raw/c2-s3-noc-4096.pow.csv,raw/c2-s3-noc-4096.clk.csv,,6.2.1
20260817T192711,2,4,mm-4096,mm,4096,ok,1786996106.716653,1786996155.287665,54907,48.000330,1143.888,raw/c2-s4-mm-4096.pre.csv,raw/c2-s4-mm-4096.pow.csv,raw/c2-s4-mm-4096.clk.csv,,6.2.1
20260817T192711,2,5,sfpu-4096,sfpu,4096,ok,1786996156.692694,1786996205.267766,34123,48.001186,710.878,raw/c2-s5-sfpu-4096.pre.csv,raw/c2-s5-sfpu-4096.pow.csv,raw/c2-s5-sfpu-4096.clk.csv,,6.2.1
