# dramratebench arch=wormhole magic=0x44524231 grid=8x8 clock_mhz=1000 banks=12
# bytes_per_reader=1048576 tx_bytes=4096 num_tx=256 repeats=3 samecore=absent-on-this-part
# agg_bytes_per_cycle = num_readers * bytes_per_reader / max(t1-t0); each
# reader differences its OWN clock, so a per-core clock epoch cancels
arm,repeat,point,num_readers,num_tx,tx_bytes,bytes_per_reader,total_bytes,max_cycles,min_cycles,agg_bytes_per_cycle,agg_gb_per_s,per_reader_bytes_per_cycle,distinct_banks,distinct_dram_cores,tags_ok,max_barrier_spins,measured_readers
onechan,0,0,1,256,4096,1048576,1048576,47356,47356,22.1424,22.142,22.1424,1,1,1,0,1
fanchan,0,1,1,256,4096,1048576,1048576,47386,47386,22.1284,22.128,22.1284,1,1,1,0,1
onechan,0,2,2,256,4096,1048576,2097152,103205,103069,20.3203,20.320,10.1601,1,1,2,8322,2
fanchan,0,3,2,256,4096,1048576,2097152,47356,47257,44.2848,44.285,22.1424,2,2,2,8430,2
onechan,0,4,4,256,4096,1048576,4194304,189375,120744,22.1481,22.148,5.5370,1,1,4,14457,4
fanchan,0,5,4,256,4096,1048576,4194304,65882,47339,63.6639,63.664,15.9160,4,4,4,14641,4
onechan,0,6,8,256,4096,1048576,8388608,383023,122130,21.9011,21.901,2.7376,1,1,8,18393,8
fanchan,0,7,8,256,4096,1048576,8388608,89294,47479,93.9437,93.944,11.7430,8,8,8,18781,8
onechan,0,8,12,256,4096,1048576,12582912,572971,222699,21.9608,21.961,1.8301,1,1,12,20141,12
fanchan,0,9,12,256,4096,1048576,12582912,108055,54438,116.4491,116.449,9.7041,12,12,12,20168,12
onechan,0,10,16,256,4096,1048576,16777216,765234,228354,21.9243,21.924,1.3703,1,1,16,20982,16
fanchan,0,11,16,256,4096,1048576,16777216,167228,64850,100.3254,100.325,6.2703,12,12,16,20767,16
onechan,0,12,24,256,4096,1048576,25165824,1144511,221012,21.9883,21.988,0.9162,1,1,24,21424,24
fanchan,0,13,24,256,4096,1048576,25165824,216637,75597,116.1659,116.166,4.8402,12,12,24,21474,24
onechan,0,14,32,256,4096,1048576,33554432,1519784,214458,22.0784,22.078,0.6900,1,1,32,21613,32
fanchan,0,15,32,256,4096,1048576,33554432,287540,68717,116.6948,116.695,3.6467,12,12,32,21600,32
onechan,0,16,48,256,4096,1048576,50331648,2285848,207349,22.0188,22.019,0.4587,1,1,48,21643,48
fanchan,0,17,48,256,4096,1048576,50331648,397599,88989,126.5890,126.589,2.6373,12,12,48,21630,48
onechan,0,18,64,256,4096,1048576,67108864,3041534,199900,22.0642,22.064,0.3448,1,1,64,21828,64
fanchan,0,19,64,256,4096,1048576,67108864,517636,101752,129.6449,129.645,2.0257,12,12,64,21668,64
onechan,1,0,1,256,4096,1048576,1048576,47348,47348,22.1462,22.146,22.1462,1,1,1,0,1
fanchan,1,1,1,256,4096,1048576,1048576,47193,47193,22.2189,22.219,22.2189,1,1,1,0,1
onechan,1,2,2,256,4096,1048576,2097152,94337,93892,22.2304,22.230,11.1152,1,1,2,8410,2
fanchan,1,3,2,256,4096,1048576,2097152,47342,47257,44.2979,44.298,22.1490,2,2,2,8263,2
onechan,1,4,4,256,4096,1048576,4194304,189555,121721,22.1271,22.127,5.5318,1,1,4,14682,4
fanchan,1,5,4,256,4096,1048576,4194304,65085,47357,64.4435,64.443,16.1109,4,4,4,14924,4
onechan,1,6,8,256,4096,1048576,8388608,383993,123150,21.8457,21.846,2.7307,1,1,8,18799,8
fanchan,1,7,8,256,4096,1048576,8388608,84939,47236,98.7604,98.760,12.3450,8,8,8,18432,8
onechan,1,8,12,256,4096,1048576,12582912,572083,223087,21.9949,21.995,1.8329,1,1,12,20190,12
fanchan,1,9,12,256,4096,1048576,12582912,107976,54888,116.5343,116.534,9.7112,12,12,12,20113,12
onechan,1,10,16,256,4096,1048576,16777216,761598,217499,22.0290,22.029,1.3768,1,1,16,21045,16
fanchan,1,11,16,256,4096,1048576,16777216,184253,63195,91.0553,91.055,5.6910,12,12,16,20834,16
onechan,1,12,24,256,4096,1048576,25165824,1138081,217795,22.1125,22.113,0.9214,1,1,24,21414,24
