2026-08-17 12:34:19.753 | info     |          Device | Opening user mode device driver (tt_cluster.cpp:228)
2026-08-17 12:34:19.754 | info     |             UMD | Cluster constructor started. (cluster.cpp:348)
2026-08-17 12:34:19.754 | info     |             UMD | Creating TopologyDiscovery for architecture: wormhole_b0 (topology_discovery.cpp:95)
2026-08-17 12:34:19.754 | info     |             UMD | Starting topology discovery. (topology_discovery.cpp:114)
2026-08-17 12:34:19.758 | info     |             UMD | Established firmware bundle version: 19.13.2 (topology_discovery.cpp:574)
2026-08-17 12:34:19.776 | info     |             UMD | Completed topology discovery. (topology_discovery.cpp:118)
2026-08-17 12:34:19.865 | info     |             UMD | Opening local chip ids/PCIe ids: {0, 1}/[0, 1] and remote chip ids {2, 3} (cluster.cpp:168)
2026-08-17 12:34:19.865 | info     |             UMD | IOMMU: disabled (cluster.cpp:142)
2026-08-17 12:34:19.865 | info     |             UMD | KMD version: 2.11.0 (cluster.cpp:145)
2026-08-17 12:34:19.865 | info     |             UMD | Cluster constructor completed. (cluster.cpp:520)
2026-08-17 12:34:19.869 | info     |             UMD | Starting devices in cluster (cluster.cpp:1024)
2026-08-17 12:34:19.878 | info     |             UMD | Starting devices in cluster completed. (cluster.cpp:1032)
2026-08-17 12:34:19.947 | info     |          Device | Slow dispatch mode: Using full logical grid (8, 8) (core_descriptor.cpp:220)
2026-08-17 12:34:19.947 | info     |     Distributed | Using custom mesh graph descriptor: /home/nbrown23/tt-metal-0.74/tt-metal/1x4_mesh.textproto (metal_env.cpp:404)
2026-08-17 12:34:19.948 | info     |          Fabric | Logical multi-mesh adjacency: intermesh degree histogram {0:1}; intra-mesh degree histograms mesh0 {1:2, 2:2} (topology_mapper_utils.cpp:2342)
2026-08-17 12:34:19.948 | info     |          Fabric | Physical multi-mesh adjacency: intermesh degree histogram {0:1}; intra-mesh degree histograms mesh0 {1:2, 2:2} (topology_mapper_utils.cpp:2350)
2026-08-17 12:34:19.950 | info     |          Device | Slow dispatch mode: Using full logical grid (8, 8) (core_descriptor.cpp:220)
2026-08-17 12:34:19.955 | info     |    BuildKernels | Using pre-compiled firmware from: /home/nbrown23/tt-metal-0.74/tt-metal/tt_metal/pre-compiled/15423860353964231546/ (build_env_manager.cpp:347)
2026-08-17 12:34:19.961 | info     |    BuildKernels | Using pre-compiled firmware from: /home/nbrown23/tt-metal-0.74/tt-metal/tt_metal/pre-compiled/15423860353964231546/ (build_env_manager.cpp:347)
2026-08-17 12:34:19.964 | info     |    BuildKernels | Using pre-compiled firmware from: /home/nbrown23/tt-metal-0.74/tt-metal/tt_metal/pre-compiled/15423860353964231546/ (build_env_manager.cpp:347)
2026-08-17 12:34:19.964 | info     |    BuildKernels | Using pre-compiled firmware from: /home/nbrown23/tt-metal-0.74/tt-metal/tt_metal/pre-compiled/15423860353964231546/ (build_env_manager.cpp:347)
2026-08-17 12:34:20.010 | warning  |           Metal | Opening subset of mmio devices slows down UMD read/write to remote chips. If opening more devices, consider using CreateDevices API. (device_manager.cpp:261)
FATAL: plan run 0 flow 0 says logical (0,0)->(1,0) is NoC (1,1)->(2,1), but this device says (18,18)->(19,18). Re-run --dump-grid and re-plan.
2026-08-17 12:34:20.017 | info     |          Device | Closing user mode device drivers (tt_cluster.cpp:513)
2026-08-17 12:34:20.018 | info     |             UMD | Closing devices in cluster (cluster.cpp:1037)
2026-08-17 12:34:20.036 | info     |             UMD | Closing devices in cluster completed. (cluster.cpp:1046)
2026-08-17 12:34:20.036 | info     |             UMD | Cluster destructor started. (cluster.cpp:754)
2026-08-17 12:34:20.036 | info     |             UMD | Cluster destructor completed. (cluster.cpp:757)
