# nocbench plan -- built by tt_sim.perf.noc_congestion_plan
# arch=wormhole grid_x=10 grid_y=12 coord_space=noc0
# *_lx/_ly logical, *_nx/_ny the coordinate a kernel addresses, *_px/_py SoC-physical NoC 0
# tt_sim_tensix_coords=1-1,1-2,1-3,1-4,1-5,1-7,1-8,1-9,1-10,2-1,2-2,2-10,3-1,3-3,3-9,4-1,4-4,6-1,6-2,6-5,7-1,7-3,7-7,8-1,8-3,8-8,9-1,9-9
# hops: 22 points, 22 flows
# size: 4 points, 4 flows
# readport: 2 points, 3 flows
# shared: 20 points, 40 flows
run,exp,point,flow,n_flows,mst_lx,mst_ly,mst_nx,mst_ny,mst_px,mst_py,sub_lx,sub_ly,sub_nx,sub_ny,sub_px,sub_py,proc,noc,vc,direction,num_tx,tx_bytes,fwd_hops,rt_hops,shared_payload_links,shared_other_links
0,hops,row+1,0,1,0,0,1,1,1,1,1,0,2,1,2,1,0,0,1,0,64,4096,1,10,0,0
1,hops,row+2,0,1,0,0,1,1,1,1,2,0,3,1,3,1,0,0,1,0,64,4096,2,10,0,0
2,hops,row+3,0,1,0,0,1,1,1,1,3,0,4,1,4,1,0,0,1,0,64,4096,3,10,0,0
3,hops,row+5,0,1,0,0,1,1,1,1,4,0,6,1,6,1,0,0,1,0,64,4096,5,10,0,0
4,hops,row+6,0,1,0,0,1,1,1,1,5,0,7,1,7,1,0,0,1,0,64,4096,6,10,0,0
5,hops,row+7,0,1,0,0,1,1,1,1,6,0,8,1,8,1,0,0,1,0,64,4096,7,10,0,0
6,hops,row+8,0,1,0,0,1,1,1,1,7,0,9,1,9,1,0,0,1,0,64,4096,8,10,0,0
7,hops,col+1,0,1,0,0,1,1,1,1,0,1,1,2,1,2,0,0,1,0,64,4096,1,12,0,0
8,hops,col+2,0,1,0,0,1,1,1,1,0,2,1,3,1,3,0,0,1,0,64,4096,2,12,0,0
9,hops,col+3,0,1,0,0,1,1,1,1,0,3,1,4,1,4,0,0,1,0,64,4096,3,12,0,0
10,hops,col+4,0,1,0,0,1,1,1,1,0,4,1,5,1,5,0,0,1,0,64,4096,4,12,0,0
11,hops,col+6,0,1,0,0,1,1,1,1,0,5,1,7,1,7,0,0,1,0,64,4096,6,12,0,0
12,hops,col+7,0,1,0,0,1,1,1,1,0,6,1,8,1,8,0,0,1,0,64,4096,7,12,0,0
13,hops,col+8,0,1,0,0,1,1,1,1,0,7,1,9,1,9,0,0,1,0,64,4096,8,12,0,0
14,hops,col+9,0,1,0,0,1,1,1,1,0,8,1,10,1,10,0,0,1,0,64,4096,9,12,0,0
