# nocbench-grid arch=wormhole soc_grid_x=10 soc_grid_y=12 logical_grid_x=8 logical_grid_y=8
# noc_x/noc_y are worker_core_from_logical_core(), i.e. the coordinate a kernel addresses.
# phys_x/phys_y are each core's own NOC_NODE_ID, read by a probe kernel on the first
# logical row and column and extended per axis. This is the SoC-physical NoC 0 space,
# which is the only one a link or hop count is valid in.
log_x,log_y,noc_x,noc_y,phys_x,phys_y
0,0,18,18,1,1
1,0,19,18,2,1
2,0,20,18,3,1
3,0,21,18,4,1
4,0,22,18,6,1
5,0,23,18,7,1
6,0,24,18,8,1
7,0,25,18,9,1
0,1,18,19,1,2
1,1,19,19,2,2
2,1,20,19,3,2
3,1,21,19,4,2
4,1,22,19,6,2
5,1,23,19,7,2
6,1,24,19,8,2
7,1,25,19,9,2
0,2,18,20,1,4
1,2,19,20,2,4
2,2,20,20,3,4
3,2,21,20,4,4
4,2,22,20,6,4
5,2,23,20,7,4
6,2,24,20,8,4
7,2,25,20,9,4
0,3,18,21,1,5
1,3,19,21,2,5
2,3,20,21,3,5
3,3,21,21,4,5
4,3,22,21,6,5
5,3,23,21,7,5
6,3,24,21,8,5
7,3,25,21,9,5
0,4,18,22,1,7
1,4,19,22,2,7
2,4,20,22,3,7
3,4,21,22,4,7
4,4,22,22,6,7
5,4,23,22,7,7
6,4,24,22,8,7
7,4,25,22,9,7
0,5,18,23,1,8
1,5,19,23,2,8
2,5,20,23,3,8
3,5,21,23,4,8
4,5,22,23,6,8
5,5,23,23,7,8
6,5,24,23,8,8
7,5,25,23,9,8
0,6,18,24,1,9
1,6,19,24,2,9
2,6,20,24,3,9
3,6,21,24,4,9
4,6,22,24,6,9
5,6,23,24,7,9
6,6,24,24,8,9
7,6,25,24,9,9
0,7,18,25,1,10
1,7,19,25,2,10
2,7,20,25,3,10
3,7,21,25,4,10
4,7,22,25,6,10
5,7,23,25,7,10
6,7,24,25,8,10
7,7,25,25,9,10
