# riscvbench raw points -- see docs/plans/riscv-front-end-benchmark.md
# arch=wormhole magic=0x7B10CF04 probe_mask=0x1FFFFFFFFFFFFF phases=g variants=t1 base_blocks=32 gset=2 group_reps=16 pad=16 stack_addr=0xFFB00798 scratch_addr=0x0016B3A0 div_dividend=0x12345678 div_divisor=3
phase,variant,probe_id,probe,unit,active_threads,thread,n,unroll,cycles
g,t1,0,loop_overhead,-,1,1,32,64,77
g,t1,0,loop_overhead,-,1,1,64,64,141
g,t1,0,loop_overhead,-,1,1,96,64,205
g,t1,0,loop_overhead,-,1,1,128,64,269
g,t1,47,g_1024,RV_FETCH,1,1,32,1024,46017
g,t1,47,g_1024,RV_FETCH,1,1,64,1024,92002
g,t1,47,g_1024,RV_FETCH,1,1,96,1024,137993
g,t1,47,g_1024,RV_FETCH,1,1,128,1024,183988
g,t1,50,g_1792,RV_FETCH,1,1,32,1792,80396
g,t1,50,g_1792,RV_FETCH,1,1,64,1792,160774
g,t1,50,g_1792,RV_FETCH,1,1,96,1792,241164
g,t1,50,g_1792,RV_FETCH,1,1,128,1792,321547
