# riscvbench raw points -- see docs/plans/riscv-front-end-benchmark.md
# arch=wormhole magic=0x7B10CF04 probe_mask=0x1FFFFFFFFFFFFF phases=g variants=t1 base_blocks=32 gset=3 group_reps=16 pad=16 stack_addr=0xFFB007A8 scratch_addr=0x0016B3A0 div_dividend=0x12345678 div_divisor=3
phase,variant,probe_id,probe,unit,active_threads,thread,n,unroll,cycles
g,t1,0,loop_overhead,-,1,1,32,64,77
g,t1,0,loop_overhead,-,1,1,64,64,141
g,t1,0,loop_overhead,-,1,1,96,64,205
g,t1,0,loop_overhead,-,1,1,128,64,269
g,t1,47,g_1024,RV_FETCH,1,1,32,1024,46012
g,t1,47,g_1024,RV_FETCH,1,1,64,1024,92021
g,t1,47,g_1024,RV_FETCH,1,1,96,1024,137964
g,t1,47,g_1024,RV_FETCH,1,1,128,1024,183887
g,t1,51,g_1152,RV_FETCH,1,1,32,1152,51758
g,t1,51,g_1152,RV_FETCH,1,1,64,1152,103460
g,t1,51,g_1152,RV_FETCH,1,1,96,1152,155191
g,t1,51,g_1152,RV_FETCH,1,1,128,1152,206931
