# riscvbench raw points -- see docs/plans/riscv-front-end-benchmark.md
# arch=wormhole magic=0x7B10CF04 probe_mask=0x1FFFFFFFFFFFFF phases=qs variants=t1 base_blocks=32 gset=0 group_reps=16 pad=16 stack_addr=0xFFB00798 scratch_addr=0x0016B3A0 div_dividend=0x12345678 div_divisor=3
phase,variant,probe_id,probe,unit,active_threads,thread,n,unroll,cycles
q,t1,0,loop_overhead,-,1,1,32,64,78
q,t1,0,loop_overhead,-,1,1,64,64,141
q,t1,0,loop_overhead,-,1,1,96,64,205
q,t1,0,loop_overhead,-,1,1,128,64,269
q,t1,27,q_ctrl,TTQUEUE,1,1,1,1,11
q,t1,27,q_ctrl,TTQUEUE,1,1,2,1,7
q,t1,27,q_ctrl,TTQUEUE,1,1,4,1,16
q,t1,27,q_ctrl,TTQUEUE,1,1,8,1,11
q,t1,27,q_ctrl,TTQUEUE,1,1,16,1,24
q,t1,27,q_ctrl,TTQUEUE,1,1,32,1,27
q,t1,27,q_ctrl,TTQUEUE,1,1,64,1,28
q,t1,27,q_ctrl,TTQUEUE,1,1,128,1,22
q,t1,28,q_nop,TTQUEUE,1,1,1,1,5
q,t1,28,q_nop,TTQUEUE,1,1,2,1,9
q,t1,28,q_nop,TTQUEUE,1,1,4,1,22
q,t1,28,q_nop,TTQUEUE,1,1,8,1,34
q,t1,28,q_nop,TTQUEUE,1,1,16,1,46
q,t1,28,q_nop,TTQUEUE,1,1,32,1,55
q,t1,28,q_nop,TTQUEUE,1,1,64,1,103
q,t1,28,q_nop,TTQUEUE,1,1,128,1,188
q,t1,29,q_setdmareg,TTQUEUE,1,1,1,1,5
q,t1,29,q_setdmareg,TTQUEUE,1,1,2,1,9
q,t1,29,q_setdmareg,TTQUEUE,1,1,4,1,28
q,t1,29,q_setdmareg,TTQUEUE,1,1,8,1,29
q,t1,29,q_setdmareg,TTQUEUE,1,1,16,1,45
q,t1,29,q_setdmareg,TTQUEUE,1,1,32,1,67
q,t1,29,q_setdmareg,TTQUEUE,1,1,64,1,101
q,t1,29,q_setdmareg,TTQUEUE,1,1,128,1,180
q,t1,30,q_adddmareg,TTQUEUE,1,1,1,1,5
q,t1,30,q_adddmareg,TTQUEUE,1,1,2,1,9
q,t1,30,q_adddmareg,TTQUEUE,1,1,4,1,22
q,t1,30,q_adddmareg,TTQUEUE,1,1,8,1,36
q,t1,30,q_adddmareg,TTQUEUE,1,1,16,1,47
q,t1,30,q_adddmareg,TTQUEUE,1,1,32,1,61
q,t1,30,q_adddmareg,TTQUEUE,1,1,64,1,111
q,t1,30,q_adddmareg,TTQUEUE,1,1,128,1,308
q,t1,31,q_adddmareg_sync,TTQUEUE,1,1,1,1,19
q,t1,31,q_adddmareg_sync,TTQUEUE,1,1,2,1,18
q,t1,31,q_adddmareg_sync,TTQUEUE,1,1,4,1,28
q,t1,31,q_adddmareg_sync,TTQUEUE,1,1,8,1,36
q,t1,31,q_adddmareg_sync,TTQUEUE,1,1,16,1,61
q,t1,31,q_adddmareg_sync,TTQUEUE,1,1,32,1,109
q,t1,31,q_adddmareg_sync,TTQUEUE,1,1,64,1,205
q,t1,31,q_adddmareg_sync,TTQUEUE,1,1,128,1,396
q,t1,38,q_loop_addi,TTQUEUE,1,1,16,1,35
q,t1,38,q_loop_addi,TTQUEUE,1,1,32,1,50
q,t1,38,q_loop_addi,TTQUEUE,1,1,64,1,86
q,t1,38,q_loop_addi,TTQUEUE,1,1,128,1,158
q,t1,38,q_loop_addi,TTQUEUE,1,1,256,1,302
q,t1,38,q_loop_addi,TTQUEUE,1,1,512,1,590
q,t1,38,q_loop_addi,TTQUEUE,1,1,1024,1,1166
q,t1,39,q_loop_adddmareg,TTQUEUE,1,1,16,1,35
q,t1,39,q_loop_adddmareg,TTQUEUE,1,1,32,1,44
q,t1,39,q_loop_adddmareg,TTQUEUE,1,1,64,1,117
q,t1,39,q_loop_adddmareg,TTQUEUE,1,1,128,1,309
q,t1,39,q_loop_adddmareg,TTQUEUE,1,1,256,1,693
q,t1,39,q_loop_adddmareg,TTQUEUE,1,1,512,1,1461
q,t1,39,q_loop_adddmareg,TTQUEUE,1,1,1024,1,2997
q,t1,40,q_loop_adddmareg_sync,TTQUEUE,1,1,16,1,70
q,t1,40,q_loop_adddmareg_sync,TTQUEUE,1,1,32,1,110
q,t1,40,q_loop_adddmareg_sync,TTQUEUE,1,1,64,1,206
q,t1,40,q_loop_adddmareg_sync,TTQUEUE,1,1,128,1,398
q,t1,40,q_loop_adddmareg_sync,TTQUEUE,1,1,256,1,782
q,t1,40,q_loop_adddmareg_sync,TTQUEUE,1,1,512,1,1550
q,t1,40,q_loop_adddmareg_sync,TTQUEUE,1,1,1024,1,3086
s,t1,0,loop_overhead,-,1,1,32,64,77
s,t1,0,loop_overhead,-,1,1,64,64,141
s,t1,0,loop_overhead,-,1,1,96,64,205
s,t1,0,loop_overhead,-,1,1,128,64,269
s,t1,41,s_loop_addi,TTQUEUE,1,1,4,1,17
s,t1,41,s_loop_addi,TTQUEUE,1,1,8,1,26
s,t1,41,s_loop_addi,TTQUEUE,1,1,16,1,38
s,t1,41,s_loop_addi,TTQUEUE,1,1,32,1,62
s,t1,41,s_loop_addi,TTQUEUE,1,1,64,1,110
s,t1,41,s_loop_addi,TTQUEUE,1,1,128,1,206
s,t1,41,s_loop_addi,TTQUEUE,1,1,256,1,398
